[688, 403]
[folio, [157.0, 30.0, 82.0, 18.0], shoonya_0s87Q7UJHIYR7Y, 5748343]
[paragraph, [11.0, 66.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 84.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 102.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 120.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 138.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 156.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 174.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 192.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 210.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 228.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 246.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 264.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 282.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 300.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 318.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 336.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 354.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 372.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 390.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 408.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 426.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 444.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 462.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 480.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 498.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 516.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 534.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 552.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 570.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 588.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 606.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 624.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
[paragraph, [11.0, 642.0, 378.0, 18.0], ZPYFw4iQDt, 5748343]
