[701, 513]
[section-title, [159.0, 113.0, 192.0, 30.0], shoonya_0sRT38XWTKERDX, 5715309]
[paragraph, [55.0, 152.0, 387.0, 18.0], shoonya_1s1PJRSA6EYHV4, 5715309]
[paragraph, [55.0, 170.0, 387.0, 18.0], shoonya_1s1PJRSA6EYHV4, 5715309]
[paragraph, [55.0, 188.0, 387.0, 18.0], shoonya_1s1PJRSA6EYHV4, 5715309]
[paragraph, [55.0, 206.0, 387.0, 18.0], shoonya_1s1PJRSA6EYHV4, 5715309]
[paragraph, [55.0, 224.0, 387.0, 18.0], shoonya_1s1PJRSA6EYHV4, 5715309]
[paragraph, [55.0, 242.0, 387.0, 18.0], shoonya_1s1PJRSA6EYHV4, 5715309]
[paragraph, [60.0, 273.0, 383.0, 18.0], shoonya_2s44WDS7WNURLM, 5715309]
[paragraph, [60.0, 291.0, 383.0, 18.0], shoonya_2s44WDS7WNURLM, 5715309]
[paragraph, [60.0, 309.0, 383.0, 18.0], shoonya_2s44WDS7WNURLM, 5715309]
[paragraph, [60.0, 327.0, 383.0, 18.0], shoonya_2s44WDS7WNURLM, 5715309]
[paragraph, [60.0, 345.0, 383.0, 18.0], shoonya_2s44WDS7WNURLM, 5715309]
[paragraph, [63.0, 378.0, 378.0, 18.0], KzaEn1Kpbc, 5715309]
[paragraph, [63.0, 396.0, 378.0, 18.0], KzaEn1Kpbc, 5715309]
[paragraph, [63.0, 414.0, 378.0, 18.0], KzaEn1Kpbc, 5715309]
[paragraph, [63.0, 432.0, 378.0, 18.0], KzaEn1Kpbc, 5715309]
[paragraph, [63.0, 450.0, 378.0, 18.0], KzaEn1Kpbc, 5715309]
[paragraph, [63.0, 468.0, 378.0, 18.0], KzaEn1Kpbc, 5715309]
[paragraph, [63.0, 486.0, 378.0, 18.0], KzaEn1Kpbc, 5715309]
[paragraph, [63.0, 504.0, 378.0, 18.0], KzaEn1Kpbc, 5715309]
[paragraph, [63.0, 522.0, 378.0, 18.0], KzaEn1Kpbc, 5715309]
[paragraph, [63.0, 540.0, 378.0, 18.0], KzaEn1Kpbc, 5715309]
[paragraph, [63.0, 558.0, 378.0, 18.0], KzaEn1Kpbc, 5715309]
