[5500, 3644]
[folio, [381.0, 505.0, 238.0, 52.5], EqPw2uSUFF, 5710186]
[folio, [381.0, 557.5, 238.0, 52.5], EqPw2uSUFF, 5710186]
[folio, [381.0, 610.0, 238.0, 52.5], EqPw2uSUFF, 5710186]
[paragraph, [338.0, 949.0, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1001.5, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1054.0, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1106.5, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1159.0, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1211.5, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1264.0, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1316.5, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1369.0, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1421.5, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1474.0, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1526.5, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1579.0, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1631.5, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1684.0, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1736.5, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1789.0, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1841.5, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1894.0, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [338.0, 1946.5, 2659.0, 52.5], shoonya_0sYAWW8UUAD856, 5710186]
[paragraph, [517.0, 2005.0, 2142.0, 52.5], shoonya_1sO0WVDVTS2XNA, 5710186]
[paragraph, [517.0, 2057.5, 2142.0, 52.5], shoonya_1sO0WVDVTS2XNA, 5710186]
[paragraph, [517.0, 2110.0, 2142.0, 52.5], shoonya_1sO0WVDVTS2XNA, 5710186]
