[1754, 1241]
[section-title, [147.0, 153.0, 766.0, 49.5], NSgO_JxoeZ, 5716203]
[answer, [145.0, 375.0, 539.0, 36.0], shoonya_1sD5PIPH2OLGZT, 5716203]
[answer, [145.0, 411.0, 539.0, 36.0], shoonya_1sD5PIPH2OLGZT, 5716203]
[answer, [145.0, 447.0, 539.0, 36.0], shoonya_1sD5PIPH2OLGZT, 5716203]
[answer, [145.0, 483.0, 539.0, 36.0], shoonya_1sD5PIPH2OLGZT, 5716203]
[answer, [145.0, 519.0, 539.0, 36.0], shoonya_1sD5PIPH2OLGZT, 5716203]
[answer, [145.0, 555.0, 539.0, 36.0], shoonya_1sD5PIPH2OLGZT, 5716203]
[answer, [145.0, 591.0, 539.0, 36.0], shoonya_1sD5PIPH2OLGZT, 5716203]
[answer, [140.0, 737.0, 544.0, 36.0], shoonya_2sOWWO4EOKBS35, 5716203]
[answer, [140.0, 773.0, 544.0, 36.0], shoonya_2sOWWO4EOKBS35, 5716203]
[answer, [140.0, 809.0, 544.0, 36.0], shoonya_2sOWWO4EOKBS35, 5716203]
[answer, [140.0, 845.0, 544.0, 36.0], shoonya_2sOWWO4EOKBS35, 5716203]
[answer, [140.0, 881.0, 544.0, 36.0], shoonya_2sOWWO4EOKBS35, 5716203]
[answer, [140.0, 917.0, 544.0, 36.0], shoonya_2sOWWO4EOKBS35, 5716203]
[answer, [140.0, 953.0, 544.0, 36.0], shoonya_2sOWWO4EOKBS35, 5716203]
[answer, [140.0, 989.0, 544.0, 36.0], shoonya_2sOWWO4EOKBS35, 5716203]
[answer, [140.0, 1025.0, 544.0, 36.0], shoonya_2sOWWO4EOKBS35, 5716203]
[answer, [140.0, 1061.0, 544.0, 36.0], shoonya_2sOWWO4EOKBS35, 5716203]
[answer, [153.0, 1222.0, 504.0, 36.0], shoonya_4sKHR4C5M9JYDG, 5716203]
[answer, [153.0, 1258.0, 504.0, 36.0], shoonya_4sKHR4C5M9JYDG, 5716203]
[answer, [153.0, 1294.0, 504.0, 36.0], shoonya_4sKHR4C5M9JYDG, 5716203]
[answer, [153.0, 1330.0, 504.0, 36.0], shoonya_4sKHR4C5M9JYDG, 5716203]
[answer, [153.0, 1366.0, 504.0, 36.0], shoonya_4sKHR4C5M9JYDG, 5716203]
[answer, [134.0, 1488.0, 543.0, 36.0], JRsJK9jp5P, 5716203]
[answer, [134.0, 1524.0, 543.0, 36.0], JRsJK9jp5P, 5716203]
[answer, [134.0, 1560.0, 543.0, 36.0], JRsJK9jp5P, 5716203]
[answer, [134.0, 1596.0, 543.0, 36.0], JRsJK9jp5P, 5716203]
[answer, [134.0, 1632.0, 543.0, 36.0], JRsJK9jp5P, 5716203]
