[588, 379]
[folio, [78.0, 38.0, 148.0, 18.0], f8hwrI5DRM, 6493989]
[paragraph, [51.0, 66.0, 317.0, 18.0], shoonya_0sLDVHMST0Y3FD, 6493989]
[paragraph, [51.0, 84.0, 317.0, 18.0], shoonya_0sLDVHMST0Y3FD, 6493989]
[paragraph, [51.0, 102.0, 317.0, 18.0], shoonya_0sLDVHMST0Y3FD, 6493989]
[paragraph, [51.0, 120.0, 317.0, 18.0], shoonya_0sLDVHMST0Y3FD, 6493989]
[paragraph, [51.0, 138.0, 317.0, 18.0], shoonya_0sLDVHMST0Y3FD, 6493989]
[paragraph, [51.0, 156.0, 317.0, 18.0], shoonya_0sLDVHMST0Y3FD, 6493989]
[paragraph, [51.0, 174.0, 317.0, 18.0], shoonya_0sLDVHMST0Y3FD, 6493989]
[paragraph, [51.0, 192.0, 317.0, 18.0], shoonya_0sLDVHMST0Y3FD, 6493989]
[paragraph, [51.0, 210.0, 317.0, 18.0], shoonya_0sLDVHMST0Y3FD, 6493989]
[paragraph, [51.0, 228.0, 317.0, 18.0], shoonya_0sLDVHMST0Y3FD, 6493989]
[paragraph, [51.0, 246.0, 317.0, 18.0], shoonya_0sLDVHMST0Y3FD, 6493989]
[paragraph, [51.0, 264.0, 317.0, 18.0], shoonya_0sLDVHMST0Y3FD, 6493989]
[paragraph, [51.0, 282.0, 317.0, 18.0], shoonya_0sLDVHMST0Y3FD, 6493989]
[paragraph, [51.0, 300.0, 317.0, 18.0], shoonya_0sLDVHMST0Y3FD, 6493989]
[paragraph, [51.0, 318.0, 317.0, 18.0], shoonya_0sLDVHMST0Y3FD, 6493989]
[paragraph, [49.0, 337.0, 325.0, 18.0], rVUdn5CZk0, 6493989]
[paragraph, [49.0, 355.0, 325.0, 18.0], rVUdn5CZk0, 6493989]
[paragraph, [49.0, 373.0, 325.0, 18.0], rVUdn5CZk0, 6493989]
[paragraph, [49.0, 391.0, 325.0, 18.0], rVUdn5CZk0, 6493989]
[paragraph, [49.0, 409.0, 325.0, 18.0], rVUdn5CZk0, 6493989]
[paragraph, [49.0, 427.0, 325.0, 18.0], rVUdn5CZk0, 6493989]
[paragraph, [49.0, 445.0, 325.0, 18.0], rVUdn5CZk0, 6493989]
[paragraph, [49.0, 463.0, 325.0, 18.0], rVUdn5CZk0, 6493989]
[paragraph, [49.0, 481.0, 325.0, 18.0], rVUdn5CZk0, 6493989]
[paragraph, [49.0, 499.0, 325.0, 18.0], rVUdn5CZk0, 6493989]
[paragraph, [49.0, 517.0, 325.0, 18.0], rVUdn5CZk0, 6493989]
[paragraph, [49.0, 535.0, 325.0, 18.0], rVUdn5CZk0, 6493989]
