[1650, 1275]
[headline, [92.0, 50.0, 389.0, 37.5], GX2py5joTa, 6473961]
[headline, [92.0, 87.5, 389.0, 37.5], GX2py5joTa, 6473961]
[headline, [92.0, 125.0, 389.0, 37.5], GX2py5joTa, 6473961]
[headline, [92.0, 162.5, 389.0, 37.5], GX2py5joTa, 6473961]
[headline, [92.0, 200.0, 389.0, 37.5], GX2py5joTa, 6473961]
[paragraph, [504.0, 98.0, 649.0, 36.0], ce6-NemmLh, 6473961]
[paragraph, [504.0, 134.0, 649.0, 36.0], ce6-NemmLh, 6473961]
[paragraph, [504.0, 170.0, 649.0, 36.0], ce6-NemmLh, 6473961]
[paragraph, [504.0, 206.0, 649.0, 36.0], ce6-NemmLh, 6473961]
[paragraph, [504.0, 242.0, 649.0, 36.0], ce6-NemmLh, 6473961]
[section-title, [748.0, 374.0, 337.0, 49.5], S8rBKwI9es, 6473961]
[ordered-list, [100.0, 430.0, 612.0, 36.0], shoonya_0s22MQ2SPXU1E7, 6473961]
[ordered-list, [100.0, 466.0, 612.0, 36.0], shoonya_0s22MQ2SPXU1E7, 6473961]
[ordered-list, [100.0, 502.0, 612.0, 36.0], shoonya_0s22MQ2SPXU1E7, 6473961]
[ordered-list, [100.0, 538.0, 612.0, 36.0], shoonya_0s22MQ2SPXU1E7, 6473961]
[ordered-list, [100.0, 574.0, 612.0, 36.0], shoonya_0s22MQ2SPXU1E7, 6473961]
[ordered-list, [100.0, 610.0, 612.0, 36.0], shoonya_0s22MQ2SPXU1E7, 6473961]
[ordered-list, [100.0, 646.0, 612.0, 36.0], shoonya_0s22MQ2SPXU1E7, 6473961]
[ordered-list, [100.0, 682.0, 612.0, 36.0], shoonya_0s22MQ2SPXU1E7, 6473961]
[ordered-list, [757.0, 488.0, 417.0, 36.0], GMaoj6tbfI, 6473961]
[ordered-list, [757.0, 524.0, 417.0, 36.0], GMaoj6tbfI, 6473961]
[ordered-list, [757.0, 560.0, 417.0, 36.0], GMaoj6tbfI, 6473961]
[ordered-list, [757.0, 596.0, 417.0, 36.0], GMaoj6tbfI, 6473961]
[ordered-list, [757.0, 632.0, 417.0, 36.0], GMaoj6tbfI, 6473961]
[ordered-list, [757.0, 668.0, 417.0, 36.0], GMaoj6tbfI, 6473961]
[ordered-list, [757.0, 704.0, 417.0, 36.0], GMaoj6tbfI, 6473961]
[ordered-list, [757.0, 740.0, 417.0, 36.0], GMaoj6tbfI, 6473961]
[ordered-list, [757.0, 776.0, 417.0, 36.0], GMaoj6tbfI, 6473961]
[ordered-list, [757.0, 812.0, 417.0, 36.0], GMaoj6tbfI, 6473961]
[ordered-list, [757.0, 848.0, 417.0, 36.0], GMaoj6tbfI, 6473961]
[ordered-list, [757.0, 884.0, 417.0, 36.0], GMaoj6tbfI, 6473961]
[ordered-list, [757.0, 920.0, 417.0, 36.0], GMaoj6tbfI, 6473961]
[ordered-list, [757.0, 956.0, 417.0, 36.0], GMaoj6tbfI, 6473961]
[paragraph, [101.0, 791.0, 623.0, 36.0], E9OwCVTr2G, 6473961]
[paragraph, [101.0, 827.0, 623.0, 36.0], E9OwCVTr2G, 6473961]
[paragraph, [101.0, 863.0, 623.0, 36.0], E9OwCVTr2G, 6473961]
[ordered-list, [98.0, 933.0, 566.0, 36.0], NkobUMmeEC, 6473961]
[ordered-list, [98.0, 969.0, 566.0, 36.0], NkobUMmeEC, 6473961]
[ordered-list, [98.0, 1005.0, 566.0, 36.0], NkobUMmeEC, 6473961]
[ordered-list, [98.0, 1041.0, 566.0, 36.0], NkobUMmeEC, 6473961]
[ordered-list, [98.0, 1077.0, 566.0, 36.0], NkobUMmeEC, 6473961]
[paragraph, [757.0, 1012.0, 372.0, 36.0], AVkAG7rBR5, 6473961]
[section-title, [97.0, 1176.0, 456.0, 49.5], HrlVkTO5Br, 6473961]
[paragraph, [98.0, 1242.0, 479.0, 36.0], oNixAzDDA1, 6473961]
[paragraph, [98.0, 1278.0, 479.0, 36.0], oNixAzDDA1, 6473961]
[paragraph, [98.0, 1314.0, 479.0, 36.0], oNixAzDDA1, 6473961]
[paragraph, [98.0, 1350.0, 479.0, 36.0], oNixAzDDA1, 6473961]
[paragraph, [98.0, 1386.0, 479.0, 36.0], oNixAzDDA1, 6473961]
[paragraph, [98.0, 1422.0, 479.0, 36.0], oNixAzDDA1, 6473961]
[paragraph, [98.0, 1458.0, 479.0, 36.0], oNixAzDDA1, 6473961]
[paragraph, [98.0, 1494.0, 479.0, 36.0], oNixAzDDA1, 6473961]
[paragraph, [606.0, 1243.0, 563.0, 36.0], eiSxOd1OJK, 6473961]
[paragraph, [606.0, 1279.0, 563.0, 36.0], eiSxOd1OJK, 6473961]
[ordered-list, [606.0, 1326.0, 568.0, 36.0], cuJs6f7Fjw, 6473961]
[ordered-list, [606.0, 1362.0, 568.0, 36.0], cuJs6f7Fjw, 6473961]
[ordered-list, [606.0, 1398.0, 568.0, 36.0], cuJs6f7Fjw, 6473961]
[ordered-list, [606.0, 1434.0, 568.0, 36.0], cuJs6f7Fjw, 6473961]
[ordered-list, [606.0, 1470.0, 568.0, 36.0], cuJs6f7Fjw, 6473961]
