[1650, 1050]
[paragraph, [112.0, 121.0, 845.0, 36.0], etH8eRkwy0, 5732402]
[paragraph, [112.0, 157.0, 845.0, 36.0], etH8eRkwy0, 5732402]
[paragraph, [119.0, 353.0, 835.0, 36.0], WTFc4jj3Rm, 5732402]
[paragraph, [119.0, 389.0, 835.0, 36.0], WTFc4jj3Rm, 5732402]
[paragraph, [119.0, 425.0, 835.0, 36.0], WTFc4jj3Rm, 5732402]
[paragraph, [123.0, 500.0, 837.0, 36.0], 6CQVDHgZoy, 5732402]
[paragraph, [123.0, 536.0, 837.0, 36.0], 6CQVDHgZoy, 5732402]
[paragraph, [123.0, 572.0, 837.0, 36.0], 6CQVDHgZoy, 5732402]
[paragraph, [123.0, 608.0, 837.0, 36.0], 6CQVDHgZoy, 5732402]
[paragraph, [123.0, 644.0, 837.0, 36.0], 6CQVDHgZoy, 5732402]
[paragraph, [123.0, 680.0, 837.0, 36.0], 6CQVDHgZoy, 5732402]
[paragraph, [117.0, 734.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 770.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 806.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 842.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 878.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 914.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 950.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 986.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 1022.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 1058.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 1094.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 1130.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 1166.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 1202.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 1238.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 1274.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 1310.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 1346.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 1382.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[paragraph, [117.0, 1418.0, 843.0, 36.0], shoonya_1sK6C08TC13FOT, 5732402]
[folio, [494.0, 1518.0, 148.0, 36.0], TSyTYLZIxe, 5732402]
