[3508, 2481]
[contact-info, [658.0, 431.0, 1139.0, 52.5], c4CKAaKhn7, 6516750]
[contact-info, [658.0, 483.5, 1139.0, 52.5], c4CKAaKhn7, 6516750]
[section-title, [841.0, 596.0, 770.0, 93.0], Xl146z5rsL, 6516750]
[dateline, [1835.0, 1003.0, 416.0, 52.5], 7vku6rGw6K, 6516750]
[paragraph, [211.0, 1242.0, 282.0, 52.5], RO_ax6HY-t, 6516750]
[paragraph, [211.0, 1370.0, 2049.0, 52.5], H4NaZWE_MZ, 6516750]
[paragraph, [211.0, 1422.5, 2049.0, 52.5], H4NaZWE_MZ, 6516750]
[paragraph, [211.0, 1475.0, 2049.0, 52.5], H4NaZWE_MZ, 6516750]
[paragraph, [211.0, 1527.5, 2049.0, 52.5], H4NaZWE_MZ, 6516750]
[paragraph, [211.0, 1580.0, 2049.0, 52.5], H4NaZWE_MZ, 6516750]
[paragraph, [211.0, 1632.5, 2049.0, 52.5], H4NaZWE_MZ, 6516750]
[paragraph, [201.0, 1727.0, 2083.0, 52.5], lEtqBMO5qh, 6516750]
[paragraph, [201.0, 1779.5, 2083.0, 52.5], lEtqBMO5qh, 6516750]
[paragraph, [201.0, 1832.0, 2083.0, 52.5], lEtqBMO5qh, 6516750]
[paragraph, [201.0, 1884.5, 2083.0, 52.5], lEtqBMO5qh, 6516750]
[paragraph, [201.0, 1937.0, 2083.0, 52.5], lEtqBMO5qh, 6516750]
[paragraph, [201.0, 1989.5, 2083.0, 52.5], lEtqBMO5qh, 6516750]
[paragraph, [201.0, 2042.0, 2083.0, 52.5], lEtqBMO5qh, 6516750]
[paragraph, [223.0, 2115.0, 2036.0, 52.5], 01kesPW9bL, 6516750]
[paragraph, [223.0, 2167.5, 2036.0, 52.5], 01kesPW9bL, 6516750]
[paragraph, [223.0, 2220.0, 2036.0, 52.5], 01kesPW9bL, 6516750]
[paragraph, [223.0, 2272.5, 2036.0, 52.5], 01kesPW9bL, 6516750]
[contact-info, [189.0, 2709.0, 453.0, 52.5], 2tzVCPJsjZ, 6516750]
[contact-info, [220.0, 3268.0, 471.0, 52.5], npbc396J4Q, 6516750]
