[1728, 1123]
[headline, [260.0, 258.0, 497.0, 37.5], shoonya_0s3Z29ABSXRM4L, 5752786]
[paragraph, [308.0, 345.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 381.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 417.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 453.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 489.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 525.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 561.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 597.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 633.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 669.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 705.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 741.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 777.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 813.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 849.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 885.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 921.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 957.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 993.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 1029.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 1065.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 1101.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 1137.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 1173.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 1209.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 1245.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 1281.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 1317.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 1353.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 1389.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 1425.0, 353.0, 36.0], g2wijcfPMU, 5752786]
[paragraph, [308.0, 1461.0, 353.0, 36.0], g2wijcfPMU, 5752786]
