[2481, 1654]
[folio, [1188.0, 105.0, 124.0, 36.0], ANEfI5DHRB, 5721730]
[paragraph, [169.0, 211.0, 1265.0, 36.0], ZRI43e_f_L, 5721730]
[paragraph, [169.0, 247.0, 1265.0, 36.0], ZRI43e_f_L, 5721730]
[paragraph, [169.0, 283.0, 1265.0, 36.0], ZRI43e_f_L, 5721730]
[paragraph, [159.0, 322.0, 1277.0, 36.0], rDm0hUd-YU, 5721730]
[paragraph, [159.0, 358.0, 1277.0, 36.0], rDm0hUd-YU, 5721730]
[paragraph, [159.0, 394.0, 1277.0, 36.0], rDm0hUd-YU, 5721730]
[paragraph, [159.0, 430.0, 1277.0, 36.0], rDm0hUd-YU, 5721730]
[paragraph, [159.0, 466.0, 1277.0, 36.0], rDm0hUd-YU, 5721730]
[paragraph, [223.0, 535.0, 795.0, 36.0], -iiQZvTQ9Z, 5721730]
[paragraph, [157.0, 585.0, 1267.0, 36.0], QzwATlTBTZ, 5721730]
[paragraph, [157.0, 621.0, 1267.0, 36.0], QzwATlTBTZ, 5721730]
[paragraph, [229.0, 692.0, 1042.0, 36.0], vGoKCMzAxH, 5721730]
[paragraph, [170.0, 939.0, 1259.0, 36.0], shoonya_3sVCIL58H4A6JF, 5721730]
[paragraph, [170.0, 975.0, 1259.0, 36.0], shoonya_3sVCIL58H4A6JF, 5721730]
[paragraph, [167.0, 1040.0, 1264.0, 36.0], shoonya_4s3EMY0O7QWLGE, 5721730]
[paragraph, [167.0, 1076.0, 1264.0, 36.0], shoonya_4s3EMY0O7QWLGE, 5721730]
[paragraph, [167.0, 1112.0, 1264.0, 36.0], shoonya_4s3EMY0O7QWLGE, 5721730]
[paragraph, [167.0, 1148.0, 1264.0, 36.0], shoonya_4s3EMY0O7QWLGE, 5721730]
[paragraph, [167.0, 1184.0, 1264.0, 36.0], shoonya_4s3EMY0O7QWLGE, 5721730]
[paragraph, [167.0, 1220.0, 1264.0, 36.0], shoonya_4s3EMY0O7QWLGE, 5721730]
[paragraph, [167.0, 1256.0, 1264.0, 36.0], shoonya_4s3EMY0O7QWLGE, 5721730]
[paragraph, [167.0, 1292.0, 1264.0, 36.0], shoonya_4s3EMY0O7QWLGE, 5721730]
[paragraph, [167.0, 1328.0, 1264.0, 36.0], shoonya_4s3EMY0O7QWLGE, 5721730]
[paragraph, [167.0, 1364.0, 1264.0, 36.0], shoonya_4s3EMY0O7QWLGE, 5721730]
[paragraph, [167.0, 1400.0, 1264.0, 36.0], shoonya_4s3EMY0O7QWLGE, 5721730]
[paragraph, [164.0, 1463.0, 1261.0, 36.0], shoonya_1sESN2R3R1GPS3, 5721730]
[paragraph, [164.0, 1499.0, 1261.0, 36.0], shoonya_1sESN2R3R1GPS3, 5721730]
[paragraph, [164.0, 1535.0, 1261.0, 36.0], shoonya_1sESN2R3R1GPS3, 5721730]
[paragraph, [164.0, 1571.0, 1261.0, 36.0], shoonya_1sESN2R3R1GPS3, 5721730]
[paragraph, [164.0, 1607.0, 1261.0, 36.0], shoonya_1sESN2R3R1GPS3, 5721730]
[paragraph, [164.0, 1643.0, 1261.0, 36.0], shoonya_1sESN2R3R1GPS3, 5721730]
[paragraph, [164.0, 1679.0, 1261.0, 36.0], shoonya_1sESN2R3R1GPS3, 5721730]
[paragraph, [164.0, 1715.0, 1261.0, 36.0], shoonya_1sESN2R3R1GPS3, 5721730]
[paragraph, [164.0, 1751.0, 1261.0, 36.0], shoonya_1sESN2R3R1GPS3, 5721730]
[paragraph, [164.0, 1787.0, 1261.0, 36.0], shoonya_1sESN2R3R1GPS3, 5721730]
[paragraph, [164.0, 1823.0, 1261.0, 36.0], shoonya_1sESN2R3R1GPS3, 5721730]
[paragraph, [163.0, 1875.0, 1269.0, 36.0], BoUnpQscIy, 5721730]
[paragraph, [163.0, 1911.0, 1269.0, 36.0], BoUnpQscIy, 5721730]
[paragraph, [165.0, 1983.0, 1268.0, 36.0], shoonya_2sVTL962IF92ED, 5721730]
[paragraph, [165.0, 2019.0, 1268.0, 36.0], shoonya_2sVTL962IF92ED, 5721730]
[paragraph, [165.0, 2055.0, 1268.0, 36.0], shoonya_2sVTL962IF92ED, 5721730]
[paragraph, [165.0, 2091.0, 1268.0, 36.0], shoonya_2sVTL962IF92ED, 5721730]
[paragraph, [165.0, 2127.0, 1268.0, 36.0], shoonya_2sVTL962IF92ED, 5721730]
