[2200, 1700]
[folio, [781.0, 386.0, 163.0, 36.0], 9FoS71AtFw, 5732077]
[paragraph, [463.0, 478.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 514.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 550.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 586.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 622.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 658.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 694.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 730.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 766.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 802.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 838.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 874.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 910.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 946.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 982.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1018.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1054.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1090.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1126.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1162.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1198.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1234.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1270.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1306.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1342.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1378.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1414.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1450.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1486.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1522.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1558.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1594.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[paragraph, [463.0, 1630.0, 810.0, 36.0], shoonya_0sF9P8WF0IAWRK, 5732077]
[footnote, [1311.0, 2026.0, 218.0, 36.0], -Oh5K6NrAj, 5732077]
[footnote, [1311.0, 2062.0, 218.0, 36.0], -Oh5K6NrAj, 5732077]
[folio, [802.0, 2117.0, 188.0, 36.0], y8reaBlIa2, 5732077]
