[1518, 1004]
[folio, [408.0, 56.0, 223.0, 36.0], ObjRbLpwoj, 6472933]
[folio, [408.0, 92.0, 223.0, 36.0], ObjRbLpwoj, 6472933]
[paragraph, [357.0, 145.0, 292.0, 36.0], 14gW7G3IGW, 6472933]
[paragraph, [357.0, 181.0, 292.0, 36.0], 14gW7G3IGW, 6472933]
[paragraph, [357.0, 217.0, 292.0, 36.0], 14gW7G3IGW, 6472933]
[paragraph, [357.0, 253.0, 292.0, 36.0], 14gW7G3IGW, 6472933]
[paragraph, [357.0, 289.0, 292.0, 36.0], 14gW7G3IGW, 6472933]
[paragraph, [357.0, 325.0, 292.0, 36.0], 14gW7G3IGW, 6472933]
[paragraph, [357.0, 361.0, 292.0, 36.0], 14gW7G3IGW, 6472933]
[paragraph, [357.0, 397.0, 292.0, 36.0], 14gW7G3IGW, 6472933]
[paragraph, [357.0, 433.0, 292.0, 36.0], 14gW7G3IGW, 6472933]
[paragraph, [357.0, 469.0, 292.0, 36.0], 14gW7G3IGW, 6472933]
[paragraph, [357.0, 505.0, 292.0, 36.0], 14gW7G3IGW, 6472933]
[paragraph, [357.0, 541.0, 292.0, 36.0], 14gW7G3IGW, 6472933]
[paragraph, [357.0, 577.0, 292.0, 36.0], 14gW7G3IGW, 6472933]
[paragraph, [655.0, 145.0, 299.0, 36.0], uQZKtcmkf2, 6472933]
[paragraph, [655.0, 181.0, 299.0, 36.0], uQZKtcmkf2, 6472933]
[paragraph, [655.0, 217.0, 299.0, 36.0], uQZKtcmkf2, 6472933]
[paragraph, [655.0, 253.0, 299.0, 36.0], uQZKtcmkf2, 6472933]
[paragraph, [655.0, 289.0, 299.0, 36.0], uQZKtcmkf2, 6472933]
[paragraph, [655.0, 325.0, 299.0, 36.0], uQZKtcmkf2, 6472933]
[headline, [65.0, 225.0, 265.0, 37.5], FcgrugPdBS, 6472933]
[headline, [65.0, 262.5, 265.0, 37.5], FcgrugPdBS, 6472933]
[headline, [65.0, 300.0, 265.0, 37.5], FcgrugPdBS, 6472933]
[headline, [65.0, 337.5, 265.0, 37.5], FcgrugPdBS, 6472933]
[headline, [65.0, 375.0, 265.0, 37.5], FcgrugPdBS, 6472933]
[headline, [65.0, 412.5, 265.0, 37.5], FcgrugPdBS, 6472933]
[headline, [65.0, 450.0, 265.0, 37.5], FcgrugPdBS, 6472933]
[headline, [65.0, 487.5, 265.0, 37.5], FcgrugPdBS, 6472933]
[headline, [65.0, 525.0, 265.0, 37.5], FcgrugPdBS, 6472933]
[headline, [65.0, 562.5, 265.0, 37.5], FcgrugPdBS, 6472933]
[headline, [65.0, 600.0, 265.0, 37.5], FcgrugPdBS, 6472933]
[paragraph, [656.0, 381.0, 299.0, 36.0], -v9LxLo9TA, 6472933]
[paragraph, [656.0, 417.0, 299.0, 36.0], -v9LxLo9TA, 6472933]
[paragraph, [656.0, 453.0, 299.0, 36.0], -v9LxLo9TA, 6472933]
[paragraph, [656.0, 489.0, 299.0, 36.0], -v9LxLo9TA, 6472933]
[paragraph, [656.0, 525.0, 299.0, 36.0], -v9LxLo9TA, 6472933]
[paragraph, [656.0, 561.0, 299.0, 36.0], -v9LxLo9TA, 6472933]
[paragraph, [656.0, 597.0, 299.0, 36.0], -v9LxLo9TA, 6472933]
[paragraph, [656.0, 633.0, 299.0, 36.0], -v9LxLo9TA, 6472933]
[paragraph, [656.0, 669.0, 299.0, 36.0], -v9LxLo9TA, 6472933]
[paragraph, [656.0, 705.0, 299.0, 36.0], -v9LxLo9TA, 6472933]
