[1267, 753]
[folio, [325.0, 77.0, 104.0, 18.0], shoonya_2s70A2W1KMG1ON, 5700096]
[paragraph, [88.0, 125.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 143.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 161.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 179.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 197.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 215.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 233.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 251.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 269.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 287.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 305.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 323.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 341.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 359.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 377.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 395.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 413.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 431.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[paragraph, [88.0, 449.0, 589.0, 18.0], shoonya_0s9F7CH5CJ09WL, 5700096]
[section-title, [276.0, 552.0, 199.0, 30.0], 0vxDxBOqm1, 5700096]
[sub-section-title, [238.0, 597.0, 278.0, 25.5], mfyWBg1bwg, 5700096]
[sub-section-title, [238.0, 622.5, 278.0, 25.5], mfyWBg1bwg, 5700096]
[paragraph, [79.0, 672.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 690.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 708.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 726.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 744.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 762.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 780.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 798.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 816.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 834.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 852.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 870.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 888.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 906.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 924.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 942.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 960.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 978.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 996.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 1014.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[paragraph, [79.0, 1032.0, 592.0, 18.0], shoonya_1sOEO9I0HM01SV, 5700096]
[footnote, [77.0, 1078.0, 589.0, 18.0], wKUEYWk5qz, 5700096]
[footnote, [77.0, 1096.0, 589.0, 18.0], wKUEYWk5qz, 5700096]
[footnote, [77.0, 1114.0, 589.0, 18.0], wKUEYWk5qz, 5700096]
[footnote, [77.0, 1132.0, 589.0, 18.0], wKUEYWk5qz, 5700096]
[footnote, [77.0, 1150.0, 589.0, 18.0], wKUEYWk5qz, 5700096]
[footnote, [77.0, 1168.0, 589.0, 18.0], wKUEYWk5qz, 5700096]
