[2200, 1700]
[chapter-title, [762.0, 182.0, 180.0, 70.5], nXSZOXqblE, 5658747]
[section-title, [603.0, 273.0, 515.0, 52.5], shoonya_4s5SLCZN5LVVMI, 5658747]
[sub-section-title, [146.0, 361.0, 293.0, 55.5], mnWM0D2Ke4, 5658747]
[paragraph, [153.0, 428.0, 1420.0, 36.0], shoonya_2s2H1HW0PAFI8K, 5658747]
[paragraph, [153.0, 464.0, 1420.0, 36.0], shoonya_2s2H1HW0PAFI8K, 5658747]
[paragraph, [153.0, 500.0, 1420.0, 36.0], shoonya_2s2H1HW0PAFI8K, 5658747]
[paragraph, [153.0, 536.0, 1420.0, 36.0], shoonya_2s2H1HW0PAFI8K, 5658747]
[paragraph, [153.0, 572.0, 1420.0, 36.0], shoonya_2s2H1HW0PAFI8K, 5658747]
[paragraph, [153.0, 608.0, 1420.0, 36.0], shoonya_2s2H1HW0PAFI8K, 5658747]
[paragraph, [153.0, 644.0, 1420.0, 36.0], shoonya_2s2H1HW0PAFI8K, 5658747]
[paragraph, [153.0, 680.0, 1420.0, 36.0], shoonya_2s2H1HW0PAFI8K, 5658747]
[paragraph, [153.0, 716.0, 1420.0, 36.0], shoonya_2s2H1HW0PAFI8K, 5658747]
[paragraph, [153.0, 752.0, 1420.0, 36.0], shoonya_2s2H1HW0PAFI8K, 5658747]
[sub-section-title, [163.0, 808.0, 242.0, 55.5], shoonya_3sJRGNV7CHPBTP, 5658747]
[paragraph, [146.0, 874.0, 1430.0, 36.0], shoonya_0sWB9JFQSIH75K, 5658747]
[paragraph, [146.0, 910.0, 1430.0, 36.0], shoonya_0sWB9JFQSIH75K, 5658747]
[paragraph, [146.0, 946.0, 1430.0, 36.0], shoonya_0sWB9JFQSIH75K, 5658747]
[paragraph, [146.0, 982.0, 1430.0, 36.0], shoonya_0sWB9JFQSIH75K, 5658747]
[paragraph, [146.0, 1018.0, 1430.0, 36.0], shoonya_0sWB9JFQSIH75K, 5658747]
[paragraph, [146.0, 1054.0, 1430.0, 36.0], shoonya_0sWB9JFQSIH75K, 5658747]
[paragraph, [146.0, 1090.0, 1430.0, 36.0], shoonya_0sWB9JFQSIH75K, 5658747]
[paragraph, [146.0, 1126.0, 1430.0, 36.0], shoonya_0sWB9JFQSIH75K, 5658747]
[paragraph, [146.0, 1162.0, 1430.0, 36.0], shoonya_0sWB9JFQSIH75K, 5658747]
[paragraph, [146.0, 1198.0, 1430.0, 36.0], shoonya_0sWB9JFQSIH75K, 5658747]
[paragraph, [146.0, 1234.0, 1430.0, 36.0], shoonya_0sWB9JFQSIH75K, 5658747]
[paragraph, [146.0, 1270.0, 1430.0, 36.0], shoonya_0sWB9JFQSIH75K, 5658747]
[paragraph, [146.0, 1306.0, 1430.0, 36.0], shoonya_0sWB9JFQSIH75K, 5658747]
[paragraph, [146.0, 1342.0, 1430.0, 36.0], shoonya_0sWB9JFQSIH75K, 5658747]
[paragraph, [146.0, 1378.0, 1430.0, 36.0], shoonya_0sWB9JFQSIH75K, 5658747]
[paragraph, [146.0, 1414.0, 1430.0, 36.0], shoonya_0sWB9JFQSIH75K, 5658747]
[chapter-title, [739.0, 1483.0, 225.0, 70.5], IzqTIgrYAO, 5658747]
[section-title, [507.0, 1570.0, 699.0, 52.5], VhGumh29Lv, 5658747]
[sub-section-title, [165.0, 1643.0, 257.0, 55.5], 9_WlPHht2B, 5658747]
[paragraph, [159.0, 1728.0, 1417.0, 36.0], shoonya_1sZIIFM2AOHB8Q, 5658747]
[paragraph, [159.0, 1764.0, 1417.0, 36.0], shoonya_1sZIIFM2AOHB8Q, 5658747]
[paragraph, [159.0, 1800.0, 1417.0, 36.0], shoonya_1sZIIFM2AOHB8Q, 5658747]
[paragraph, [159.0, 1836.0, 1417.0, 36.0], shoonya_1sZIIFM2AOHB8Q, 5658747]
[paragraph, [159.0, 1872.0, 1417.0, 36.0], shoonya_1sZIIFM2AOHB8Q, 5658747]
