[1571, 1128]
[folio, [129.0, 86.0, 195.0, 36.0], RDPj2NY7EF, 6473056]
[headline, [274.0, 233.0, 617.0, 37.5], shoonya_11sZ9GXLP7MIK5, 6473056]
[headline, [274.0, 270.5, 617.0, 37.5], shoonya_11sZ9GXLP7MIK5, 6473056]
[paragraph, [585.0, 342.0, 451.0, 36.0], shoonya_3sOL4CRNSN769W, 6473056]
[paragraph, [585.0, 378.0, 451.0, 36.0], shoonya_3sOL4CRNSN769W, 6473056]
[paragraph, [585.0, 414.0, 451.0, 36.0], shoonya_3sOL4CRNSN769W, 6473056]
[paragraph, [585.0, 450.0, 451.0, 36.0], shoonya_3sOL4CRNSN769W, 6473056]
[paragraph, [585.0, 486.0, 451.0, 36.0], shoonya_3sOL4CRNSN769W, 6473056]
[paragraph, [124.0, 345.0, 449.0, 36.0], shoonya_14sIQ7WR59D0VE, 6473056]
[paragraph, [124.0, 381.0, 449.0, 36.0], shoonya_14sIQ7WR59D0VE, 6473056]
[paragraph, [128.0, 421.0, 444.0, 36.0], shoonya_13s4QZTPMCRBQV, 6473056]
[paragraph, [128.0, 457.0, 444.0, 36.0], shoonya_13s4QZTPMCRBQV, 6473056]
[paragraph, [130.0, 525.0, 441.0, 36.0], shoonya_10sAV7857Z6BE8, 6473056]
[paragraph, [588.0, 525.0, 446.0, 36.0], shoonya_2sKN25VW0Z3IUR, 6473056]
[paragraph, [588.0, 561.0, 446.0, 36.0], shoonya_2sKN25VW0Z3IUR, 6473056]
[paragraph, [588.0, 597.0, 446.0, 36.0], shoonya_2sKN25VW0Z3IUR, 6473056]
[paragraph, [588.0, 633.0, 446.0, 36.0], shoonya_2sKN25VW0Z3IUR, 6473056]
[paragraph, [153.0, 571.0, 418.0, 36.0], shoonya_6sQBJJIWJQCFV7, 6473056]
[paragraph, [130.0, 623.0, 445.0, 36.0], shoonya_8s55A7PX5PGWAK, 6473056]
[paragraph, [130.0, 659.0, 445.0, 36.0], shoonya_8s55A7PX5PGWAK, 6473056]
[paragraph, [130.0, 699.0, 283.0, 36.0], shoonya_0sTZPPX83NONKJ, 6473056]
[paragraph, [130.0, 735.0, 283.0, 36.0], shoonya_0sTZPPX83NONKJ, 6473056]
[paragraph, [130.0, 771.0, 283.0, 36.0], shoonya_0sTZPPX83NONKJ, 6473056]
[paragraph, [130.0, 807.0, 283.0, 36.0], shoonya_0sTZPPX83NONKJ, 6473056]
[paragraph, [130.0, 843.0, 283.0, 36.0], shoonya_0sTZPPX83NONKJ, 6473056]
[paragraph, [727.0, 701.0, 313.0, 36.0], shoonya_9s4CBWDAGWWEQ3, 6473056]
[paragraph, [727.0, 737.0, 313.0, 36.0], shoonya_9s4CBWDAGWWEQ3, 6473056]
[paragraph, [727.0, 773.0, 313.0, 36.0], shoonya_9s4CBWDAGWWEQ3, 6473056]
[paragraph, [727.0, 809.0, 313.0, 36.0], shoonya_9s4CBWDAGWWEQ3, 6473056]
[paragraph, [727.0, 845.0, 313.0, 36.0], shoonya_9s4CBWDAGWWEQ3, 6473056]
