[1606, 1056]
[folio, [110.0, 97.0, 219.0, 36.0], shoonya_0sERL1LLKLEK1G, 5683534]
[folio, [447.0, 104.0, 161.0, 36.0], shoonya_1sI10WRUXEQP5K, 5683534]
[paragraph, [104.0, 161.0, 843.0, 36.0], I8ikmDX2qY, 5683534]
[paragraph, [104.0, 197.0, 843.0, 36.0], I8ikmDX2qY, 5683534]
[paragraph, [104.0, 233.0, 843.0, 36.0], I8ikmDX2qY, 5683534]
[paragraph, [104.0, 269.0, 843.0, 36.0], I8ikmDX2qY, 5683534]
[paragraph, [104.0, 305.0, 843.0, 36.0], I8ikmDX2qY, 5683534]
[paragraph, [104.0, 341.0, 843.0, 36.0], I8ikmDX2qY, 5683534]
[paragraph, [104.0, 377.0, 843.0, 36.0], I8ikmDX2qY, 5683534]
[paragraph, [104.0, 413.0, 843.0, 36.0], I8ikmDX2qY, 5683534]
[paragraph, [104.0, 449.0, 843.0, 36.0], I8ikmDX2qY, 5683534]
[paragraph, [104.0, 485.0, 843.0, 36.0], I8ikmDX2qY, 5683534]
[paragraph, [104.0, 521.0, 843.0, 36.0], I8ikmDX2qY, 5683534]
[paragraph, [104.0, 557.0, 843.0, 36.0], I8ikmDX2qY, 5683534]
[paragraph, [104.0, 593.0, 843.0, 36.0], I8ikmDX2qY, 5683534]
[paragraph, [104.0, 629.0, 843.0, 36.0], I8ikmDX2qY, 5683534]
[paragraph, [104.0, 703.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 739.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 775.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 811.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 847.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 883.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 919.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 955.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 991.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 1027.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 1063.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 1099.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 1135.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 1171.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 1207.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 1243.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 1279.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 1315.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 1351.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 1387.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 1423.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
[paragraph, [104.0, 1459.0, 845.0, 36.0], ys7QaEkx7F, 5683534]
