[1763, 1275]
[paragraph, [651.0, 27.0, 614.0, 36.0], uN4AvGhias, 5713157]
[paragraph, [651.0, 63.0, 614.0, 36.0], uN4AvGhias, 5713157]
[paragraph, [651.0, 99.0, 614.0, 36.0], uN4AvGhias, 5713157]
[paragraph, [651.0, 135.0, 614.0, 36.0], uN4AvGhias, 5713157]
[paragraph, [27.0, 57.0, 622.0, 36.0], PhN3hVrvrn, 5713157]
[paragraph, [27.0, 93.0, 622.0, 36.0], PhN3hVrvrn, 5713157]
[paragraph, [27.0, 129.0, 622.0, 36.0], PhN3hVrvrn, 5713157]
[paragraph, [651.0, 180.0, 610.0, 36.0], _e7dF0_K9E, 5713157]
[paragraph, [651.0, 216.0, 610.0, 36.0], _e7dF0_K9E, 5713157]
[paragraph, [651.0, 252.0, 610.0, 36.0], _e7dF0_K9E, 5713157]
[paragraph, [651.0, 288.0, 610.0, 36.0], _e7dF0_K9E, 5713157]
[paragraph, [651.0, 324.0, 610.0, 36.0], _e7dF0_K9E, 5713157]
[paragraph, [651.0, 360.0, 610.0, 36.0], _e7dF0_K9E, 5713157]
[paragraph, [651.0, 396.0, 610.0, 36.0], _e7dF0_K9E, 5713157]
[paragraph, [651.0, 432.0, 610.0, 36.0], _e7dF0_K9E, 5713157]
[paragraph, [33.0, 183.0, 609.0, 36.0], dtnRwjLzx7, 5713157]
[paragraph, [33.0, 219.0, 609.0, 36.0], dtnRwjLzx7, 5713157]
[paragraph, [33.0, 255.0, 609.0, 36.0], dtnRwjLzx7, 5713157]
[paragraph, [40.0, 292.0, 599.0, 36.0], bSwXm6c457, 5713157]
[paragraph, [40.0, 328.0, 599.0, 36.0], bSwXm6c457, 5713157]
[paragraph, [47.0, 389.0, 588.0, 36.0], shoonya_20s7G5WZ4JTKFO, 5713157]
[paragraph, [47.0, 425.0, 588.0, 36.0], shoonya_20s7G5WZ4JTKFO, 5713157]
[paragraph, [665.0, 489.0, 599.0, 36.0], BAP7GFNcZh, 5713157]
[paragraph, [50.0, 490.0, 585.0, 36.0], shoonya_21sN4ZJQ9M90MO, 5713157]
[paragraph, [50.0, 526.0, 585.0, 36.0], shoonya_21sN4ZJQ9M90MO, 5713157]
[paragraph, [664.0, 556.0, 591.0, 36.0], shoonya_18sVVI7959ZH0A, 5713157]
[paragraph, [49.0, 595.0, 586.0, 36.0], shoonya_16sN9ZZ4TRTOZO, 5713157]
[paragraph, [661.0, 623.0, 599.0, 36.0], shoonya_0sVJ74QUW5Y9K1, 5713157]
[paragraph, [661.0, 659.0, 599.0, 36.0], shoonya_0sVJ74QUW5Y9K1, 5713157]
[paragraph, [661.0, 695.0, 599.0, 36.0], shoonya_0sVJ74QUW5Y9K1, 5713157]
[paragraph, [661.0, 731.0, 599.0, 36.0], shoonya_0sVJ74QUW5Y9K1, 5713157]
[paragraph, [661.0, 767.0, 599.0, 36.0], shoonya_0sVJ74QUW5Y9K1, 5713157]
[paragraph, [661.0, 803.0, 599.0, 36.0], shoonya_0sVJ74QUW5Y9K1, 5713157]
[paragraph, [661.0, 839.0, 599.0, 36.0], shoonya_0sVJ74QUW5Y9K1, 5713157]
[paragraph, [661.0, 875.0, 599.0, 36.0], shoonya_0sVJ74QUW5Y9K1, 5713157]
[paragraph, [49.0, 662.0, 588.0, 36.0], bjquMwfIdK, 5713157]
[paragraph, [47.0, 727.0, 589.0, 36.0], shoonya_12sH87QSIZZYSD, 5713157]
[paragraph, [47.0, 763.0, 589.0, 36.0], shoonya_12sH87QSIZZYSD, 5713157]
[paragraph, [47.0, 829.0, 592.0, 36.0], shoonya_1sJCDRTCGVW1OB, 5713157]
[paragraph, [47.0, 865.0, 592.0, 36.0], shoonya_1sJCDRTCGVW1OB, 5713157]
[paragraph, [47.0, 901.0, 592.0, 36.0], shoonya_1sJCDRTCGVW1OB, 5713157]
[paragraph, [47.0, 937.0, 592.0, 36.0], shoonya_1sJCDRTCGVW1OB, 5713157]
[paragraph, [47.0, 973.0, 592.0, 36.0], shoonya_1sJCDRTCGVW1OB, 5713157]
[paragraph, [663.0, 930.0, 593.0, 36.0], shoonya_2sV6DUF9T63K18, 5713157]
[paragraph, [662.0, 996.0, 597.0, 36.0], shoonya_3s3L0FQGJJPUD0, 5713157]
[paragraph, [662.0, 1032.0, 597.0, 36.0], shoonya_3s3L0FQGJJPUD0, 5713157]
[paragraph, [46.0, 1028.0, 593.0, 36.0], shoonya_4s0EHRQ3PC5PP2, 5713157]
[paragraph, [46.0, 1064.0, 593.0, 36.0], shoonya_4s0EHRQ3PC5PP2, 5713157]
[paragraph, [46.0, 1100.0, 593.0, 36.0], shoonya_4s0EHRQ3PC5PP2, 5713157]
[paragraph, [662.0, 1100.0, 596.0, 36.0], shoonya_5sY7H4OKBIU50B, 5713157]
[paragraph, [52.0, 1162.0, 589.0, 36.0], shoonya_10s56ICV98SL7O, 5713157]
[paragraph, [52.0, 1198.0, 589.0, 36.0], shoonya_10s56ICV98SL7O, 5713157]
[paragraph, [49.0, 1166.0, 588.0, 36.0], shoonya_17sYYFBN4JCRDK, 5713157]
[paragraph, [49.0, 1202.0, 588.0, 36.0], shoonya_17sYYFBN4JCRDK, 5713157]
[paragraph, [49.0, 1238.0, 588.0, 36.0], shoonya_17sYYFBN4JCRDK, 5713157]
[paragraph, [655.0, 1167.0, 596.0, 36.0], cv2AUrdGLY, 5713157]
[paragraph, [53.0, 1231.0, 584.0, 36.0], shoonya_11s1WS039SJKV2, 5713157]
[paragraph, [647.0, 1233.0, 609.0, 36.0], jtVBMWqJTn, 5713157]
[paragraph, [86.0, 1297.0, 504.0, 36.0], shoonya_9sDSTR9YSTO1IR, 5713157]
[paragraph, [646.0, 1301.0, 619.0, 36.0], 5_uD9KQP2G, 5713157]
[paragraph, [646.0, 1337.0, 619.0, 36.0], 5_uD9KQP2G, 5713157]
[paragraph, [50.0, 1331.0, 587.0, 36.0], shoonya_15sWUT2OQV7SGC, 5713157]
[paragraph, [50.0, 1367.0, 587.0, 36.0], shoonya_15sWUT2OQV7SGC, 5713157]
[paragraph, [50.0, 1403.0, 587.0, 36.0], shoonya_15sWUT2OQV7SGC, 5713157]
[paragraph, [50.0, 1439.0, 587.0, 36.0], shoonya_15sWUT2OQV7SGC, 5713157]
[paragraph, [50.0, 1475.0, 587.0, 36.0], shoonya_15sWUT2OQV7SGC, 5713157]
[paragraph, [50.0, 1511.0, 587.0, 36.0], shoonya_15sWUT2OQV7SGC, 5713157]
[paragraph, [50.0, 1547.0, 587.0, 36.0], shoonya_15sWUT2OQV7SGC, 5713157]
[paragraph, [50.0, 1583.0, 587.0, 36.0], shoonya_15sWUT2OQV7SGC, 5713157]
[paragraph, [50.0, 1619.0, 587.0, 36.0], shoonya_15sWUT2OQV7SGC, 5713157]
[paragraph, [698.0, 1401.0, 306.0, 36.0], shoonya_6sUH2EJDGR5RLU, 5713157]
[paragraph, [700.0, 1434.0, 426.0, 36.0], shoonya_8s0ACAJY6MLQFW, 5713157]
[paragraph, [664.0, 1472.0, 598.0, 36.0], shoonya_13s4V4L86PXYCV, 5713157]
[paragraph, [695.0, 1537.0, 540.0, 36.0], shoonya_19s107A4CXVFS4, 5713157]
[paragraph, [664.0, 1573.0, 594.0, 36.0], shoonya_14sGKXQDA1P77P, 5713157]
[paragraph, [664.0, 1609.0, 594.0, 36.0], shoonya_14sGKXQDA1P77P, 5713157]
[paragraph, [664.0, 1645.0, 594.0, 36.0], shoonya_14sGKXQDA1P77P, 5713157]
