[802, 612]
[folio, [277.0, 136.0, 131.0, 18.0], shoonya_2s12Z3BOYKEPEJ, 6460377]
[paragraph, [191.0, 173.0, 309.0, 18.0], shoonya_1sZF1YAM8WXCP1, 6460377]
[paragraph, [191.0, 191.0, 309.0, 18.0], shoonya_1sZF1YAM8WXCP1, 6460377]
[paragraph, [191.0, 209.0, 309.0, 18.0], shoonya_1sZF1YAM8WXCP1, 6460377]
[paragraph, [191.0, 227.0, 309.0, 18.0], shoonya_1sZF1YAM8WXCP1, 6460377]
[paragraph, [191.0, 245.0, 309.0, 18.0], shoonya_1sZF1YAM8WXCP1, 6460377]
[paragraph, [191.0, 263.0, 309.0, 18.0], shoonya_1sZF1YAM8WXCP1, 6460377]
[paragraph, [191.0, 281.0, 309.0, 18.0], shoonya_1sZF1YAM8WXCP1, 6460377]
[paragraph, [186.0, 308.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 326.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 344.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 362.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 380.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 398.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 416.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 434.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 452.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 470.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 488.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 506.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 524.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 542.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 560.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 578.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 596.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 614.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 632.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
[paragraph, [186.0, 650.0, 315.0, 18.0], shoonya_0sKU2EK8XI7JHM, 6460377]
