[3968, 2806]
[paragraph, [189.0, 278.0, 1245.0, 52.5], shoonya_6sHI34O1QI9VIJ, 5683595]
[paragraph, [189.0, 330.5, 1245.0, 52.5], shoonya_6sHI34O1QI9VIJ, 5683595]
[paragraph, [189.0, 383.0, 1245.0, 52.5], shoonya_6sHI34O1QI9VIJ, 5683595]
[paragraph, [189.0, 435.5, 1245.0, 52.5], shoonya_6sHI34O1QI9VIJ, 5683595]
[paragraph, [189.0, 488.0, 1245.0, 52.5], shoonya_6sHI34O1QI9VIJ, 5683595]
[paragraph, [189.0, 540.5, 1245.0, 52.5], shoonya_6sHI34O1QI9VIJ, 5683595]
[paragraph, [189.0, 593.0, 1245.0, 52.5], shoonya_6sHI34O1QI9VIJ, 5683595]
[paragraph, [189.0, 645.5, 1245.0, 52.5], shoonya_6sHI34O1QI9VIJ, 5683595]
[paragraph, [189.0, 698.0, 1245.0, 52.5], shoonya_6sHI34O1QI9VIJ, 5683595]
[paragraph, [189.0, 750.5, 1245.0, 52.5], shoonya_6sHI34O1QI9VIJ, 5683595]
[paragraph, [189.0, 803.0, 1245.0, 52.5], shoonya_6sHI34O1QI9VIJ, 5683595]
[paragraph, [189.0, 855.5, 1245.0, 52.5], shoonya_6sHI34O1QI9VIJ, 5683595]
[paragraph, [189.0, 908.0, 1245.0, 52.5], shoonya_6sHI34O1QI9VIJ, 5683595]
[paragraph, [1464.0, 286.0, 1129.0, 52.5], shoonya_4sPA40OSLG3GRL, 5683595]
[paragraph, [1464.0, 338.5, 1129.0, 52.5], shoonya_4sPA40OSLG3GRL, 5683595]
[paragraph, [1464.0, 391.0, 1129.0, 52.5], shoonya_4sPA40OSLG3GRL, 5683595]
[paragraph, [1464.0, 443.5, 1129.0, 52.5], shoonya_4sPA40OSLG3GRL, 5683595]
[paragraph, [1464.0, 496.0, 1129.0, 52.5], shoonya_4sPA40OSLG3GRL, 5683595]
[paragraph, [1464.0, 548.5, 1129.0, 52.5], shoonya_4sPA40OSLG3GRL, 5683595]
[paragraph, [1464.0, 601.0, 1129.0, 52.5], shoonya_4sPA40OSLG3GRL, 5683595]
[paragraph, [1464.0, 653.5, 1129.0, 52.5], shoonya_4sPA40OSLG3GRL, 5683595]
[paragraph, [1464.0, 706.0, 1129.0, 52.5], shoonya_4sPA40OSLG3GRL, 5683595]
[paragraph, [1464.0, 758.5, 1129.0, 52.5], shoonya_4sPA40OSLG3GRL, 5683595]
[paragraph, [1464.0, 811.0, 1129.0, 52.5], shoonya_4sPA40OSLG3GRL, 5683595]
[paragraph, [1464.0, 863.5, 1129.0, 52.5], shoonya_4sPA40OSLG3GRL, 5683595]
[paragraph, [1464.0, 916.0, 1129.0, 52.5], shoonya_4sPA40OSLG3GRL, 5683595]
[paragraph, [1464.0, 968.5, 1129.0, 52.5], shoonya_4sPA40OSLG3GRL, 5683595]
