[2640, 1677]
[paragraph, [60.0, 993.0, 765.0, 46.5], 3_G0FzBlnM, 5694253]
[paragraph, [60.0, 1039.5, 765.0, 46.5], 3_G0FzBlnM, 5694253]
[paragraph, [60.0, 1086.0, 765.0, 46.5], 3_G0FzBlnM, 5694253]
[paragraph, [60.0, 1132.5, 765.0, 46.5], 3_G0FzBlnM, 5694253]
[paragraph, [60.0, 1179.0, 765.0, 46.5], 3_G0FzBlnM, 5694253]
[paragraph, [60.0, 1225.5, 765.0, 46.5], 3_G0FzBlnM, 5694253]
[paragraph, [872.0, 993.0, 763.0, 46.5], 2edRSDTD0m, 5694253]
[paragraph, [872.0, 1039.5, 763.0, 46.5], 2edRSDTD0m, 5694253]
[paragraph, [872.0, 1086.0, 763.0, 46.5], 2edRSDTD0m, 5694253]
[paragraph, [872.0, 1132.5, 763.0, 46.5], 2edRSDTD0m, 5694253]
[paragraph, [872.0, 1179.0, 763.0, 46.5], 2edRSDTD0m, 5694253]
[paragraph, [872.0, 1225.5, 763.0, 46.5], 2edRSDTD0m, 5694253]
[paragraph, [872.0, 1272.0, 763.0, 46.5], 2edRSDTD0m, 5694253]
[paragraph, [872.0, 1318.5, 763.0, 46.5], 2edRSDTD0m, 5694253]
[paragraph, [872.0, 1365.0, 763.0, 46.5], 2edRSDTD0m, 5694253]
[paragraph, [872.0, 1411.5, 763.0, 46.5], 2edRSDTD0m, 5694253]
[paragraph, [872.0, 1458.0, 763.0, 46.5], 2edRSDTD0m, 5694253]
[paragraph, [60.0, 1325.0, 765.0, 46.5], fv9k5KjusX, 5694253]
[paragraph, [60.0, 1371.5, 765.0, 46.5], fv9k5KjusX, 5694253]
[paragraph, [60.0, 1418.0, 765.0, 46.5], fv9k5KjusX, 5694253]
[paragraph, [60.0, 1464.5, 765.0, 46.5], fv9k5KjusX, 5694253]
[paragraph, [60.0, 1511.0, 765.0, 46.5], fv9k5KjusX, 5694253]
[paragraph, [60.0, 1557.5, 765.0, 46.5], fv9k5KjusX, 5694253]
[paragraph, [60.0, 1604.0, 765.0, 46.5], fv9k5KjusX, 5694253]
[paragraph, [60.0, 1650.5, 765.0, 46.5], fv9k5KjusX, 5694253]
[paragraph, [60.0, 1697.0, 765.0, 46.5], fv9k5KjusX, 5694253]
[paragraph, [874.0, 1553.0, 760.0, 46.5], j37tLxyPtL, 5694253]
[paragraph, [874.0, 1599.5, 760.0, 46.5], j37tLxyPtL, 5694253]
[paragraph, [874.0, 1646.0, 760.0, 46.5], j37tLxyPtL, 5694253]
[paragraph, [874.0, 1692.5, 760.0, 46.5], j37tLxyPtL, 5694253]
[paragraph, [874.0, 1739.0, 760.0, 46.5], j37tLxyPtL, 5694253]
[paragraph, [874.0, 1785.5, 760.0, 46.5], j37tLxyPtL, 5694253]
[paragraph, [874.0, 1832.0, 760.0, 46.5], j37tLxyPtL, 5694253]
[paragraph, [58.0, 1788.0, 760.0, 46.5], b7FvhIa5TL, 5694253]
[paragraph, [58.0, 1834.5, 760.0, 46.5], b7FvhIa5TL, 5694253]
[paragraph, [869.0, 1929.0, 756.0, 46.5], 5AjcCaoqyv, 5694253]
[paragraph, [869.0, 1975.5, 756.0, 46.5], 5AjcCaoqyv, 5694253]
[paragraph, [62.0, 1933.0, 737.0, 46.5], vO-QRgX1SF, 5694253]
[paragraph, [62.0, 1979.5, 737.0, 46.5], vO-QRgX1SF, 5694253]
[paragraph, [62.0, 2026.0, 737.0, 46.5], vO-QRgX1SF, 5694253]
[paragraph, [62.0, 2072.5, 737.0, 46.5], vO-QRgX1SF, 5694253]
[paragraph, [62.0, 2119.0, 737.0, 46.5], vO-QRgX1SF, 5694253]
[paragraph, [62.0, 2165.5, 737.0, 46.5], vO-QRgX1SF, 5694253]
[paragraph, [62.0, 2212.0, 737.0, 46.5], vO-QRgX1SF, 5694253]
[paragraph, [874.0, 2080.0, 746.0, 46.5], EBpE06-9NZ, 5694253]
[paragraph, [874.0, 2126.5, 746.0, 46.5], EBpE06-9NZ, 5694253]
[paragraph, [874.0, 2173.0, 746.0, 46.5], EBpE06-9NZ, 5694253]
[paragraph, [874.0, 2219.5, 746.0, 46.5], EBpE06-9NZ, 5694253]
[paragraph, [874.0, 2266.0, 746.0, 46.5], EBpE06-9NZ, 5694253]
[paragraph, [874.0, 2312.5, 746.0, 46.5], EBpE06-9NZ, 5694253]
