[595, 454]
[chapter-title, [276.0, 137.0, 153.0, 30.0], shoonya_0sHSJS0I4RVMW9, 6459882]
[paragraph, [27.0, 194.0, 206.0, 18.0], gfBUy91KFw, 6459882]
[paragraph, [27.0, 212.0, 206.0, 18.0], gfBUy91KFw, 6459882]
[paragraph, [27.0, 230.0, 206.0, 18.0], gfBUy91KFw, 6459882]
[paragraph, [27.0, 248.0, 206.0, 18.0], gfBUy91KFw, 6459882]
[paragraph, [231.0, 194.0, 202.0, 18.0], hNeKfM1V6m, 6459882]
[paragraph, [231.0, 212.0, 202.0, 18.0], hNeKfM1V6m, 6459882]
[paragraph, [231.0, 230.0, 202.0, 18.0], hNeKfM1V6m, 6459882]
[paragraph, [231.0, 248.0, 202.0, 18.0], hNeKfM1V6m, 6459882]
[paragraph, [27.0, 276.0, 204.0, 18.0], C__9F4olEG, 6459882]
[paragraph, [27.0, 294.0, 204.0, 18.0], C__9F4olEG, 6459882]
[paragraph, [27.0, 312.0, 204.0, 18.0], C__9F4olEG, 6459882]
[paragraph, [27.0, 330.0, 204.0, 18.0], C__9F4olEG, 6459882]
[paragraph, [232.0, 278.0, 196.0, 18.0], sGOeKZ12Dm, 6459882]
[paragraph, [232.0, 296.0, 196.0, 18.0], sGOeKZ12Dm, 6459882]
[paragraph, [232.0, 314.0, 196.0, 18.0], sGOeKZ12Dm, 6459882]
[paragraph, [232.0, 332.0, 196.0, 18.0], sGOeKZ12Dm, 6459882]
[paragraph, [232.0, 350.0, 196.0, 18.0], sGOeKZ12Dm, 6459882]
[paragraph, [232.0, 368.0, 196.0, 18.0], sGOeKZ12Dm, 6459882]
[paragraph, [232.0, 386.0, 196.0, 18.0], sGOeKZ12Dm, 6459882]
[paragraph, [31.0, 358.0, 196.0, 18.0], lmU54eiRaK, 6459882]
[paragraph, [31.0, 376.0, 196.0, 18.0], lmU54eiRaK, 6459882]
[paragraph, [31.0, 394.0, 196.0, 18.0], lmU54eiRaK, 6459882]
[paragraph, [31.0, 412.0, 196.0, 18.0], lmU54eiRaK, 6459882]
[paragraph, [31.0, 430.0, 196.0, 18.0], lmU54eiRaK, 6459882]
[paragraph, [31.0, 448.0, 196.0, 18.0], lmU54eiRaK, 6459882]
[paragraph, [31.0, 466.0, 196.0, 18.0], lmU54eiRaK, 6459882]
[paragraph, [31.0, 484.0, 196.0, 18.0], lmU54eiRaK, 6459882]
[paragraph, [31.0, 502.0, 196.0, 18.0], lmU54eiRaK, 6459882]
[paragraph, [230.0, 419.0, 200.0, 18.0], 7U-qgXLL4r, 6459882]
[paragraph, [230.0, 437.0, 200.0, 18.0], 7U-qgXLL4r, 6459882]
[paragraph, [230.0, 455.0, 200.0, 18.0], 7U-qgXLL4r, 6459882]
[paragraph, [230.0, 473.0, 200.0, 18.0], 7U-qgXLL4r, 6459882]
[paragraph, [231.0, 497.0, 200.0, 18.0], X2b984K_eX, 6459882]
[paragraph, [231.0, 515.0, 200.0, 18.0], X2b984K_eX, 6459882]
[paragraph, [45.0, 518.0, 184.0, 18.0], FC1zi9pQyF, 6459882]
[footnote, [104.0, 545.0, 233.0, 18.0], TWYDd1YmXT, 6459882]
