[1388, 886]
[folio, [408.0, 58.0, 64.0, 18.0], nHS-3Tc9Mz, 5742351]
[folio, [408.0, 76.0, 64.0, 18.0], nHS-3Tc9Mz, 5742351]
[folio, [25.0, 65.0, 153.0, 18.0], i3whcRD-mk, 5742351]
[folio, [25.0, 83.0, 153.0, 18.0], i3whcRD-mk, 5742351]
[paragraph, [446.0, 135.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 153.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 171.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 189.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 207.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 225.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 243.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 261.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 279.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 297.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 315.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 333.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 351.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 369.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 387.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 405.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 423.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 441.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 459.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 477.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 495.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 513.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 531.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 549.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 567.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 585.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 603.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 621.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 639.0, 384.0, 18.0], AiNIbjb97P, 5742351]
[paragraph, [446.0, 657.0, 384.0, 18.0], AiNIbjb97P, 5742351]
