[1650, 1275]
[section-title, [150.0, 120.0, 474.0, 49.5], shoonya_9sMQ51N0RQEOTW, 5775353]
[unordered-list, [152.0, 247.0, 652.0, 36.0], shoonya_6sZSTOWB1LU9JZ, 5775353]
[sub-section-title, [138.0, 307.0, 267.0, 36.0], He2Xd_SJnv, 5775353]
[paragraph, [140.0, 350.0, 974.0, 36.0], shoonya_3sS61BFKIN9MSC, 5775353]
[paragraph, [140.0, 386.0, 974.0, 36.0], shoonya_3sS61BFKIN9MSC, 5775353]
[paragraph, [140.0, 422.0, 974.0, 36.0], shoonya_3sS61BFKIN9MSC, 5775353]
[paragraph, [140.0, 458.0, 974.0, 36.0], shoonya_3sS61BFKIN9MSC, 5775353]
[paragraph, [140.0, 494.0, 974.0, 36.0], shoonya_3sS61BFKIN9MSC, 5775353]
[paragraph, [132.0, 557.0, 984.0, 36.0], shoonya_2sK0E7KYO7HUS5, 5775353]
[paragraph, [132.0, 593.0, 984.0, 36.0], shoonya_2sK0E7KYO7HUS5, 5775353]
[paragraph, [132.0, 629.0, 984.0, 36.0], shoonya_2sK0E7KYO7HUS5, 5775353]
[paragraph, [132.0, 665.0, 984.0, 36.0], shoonya_2sK0E7KYO7HUS5, 5775353]
[paragraph, [132.0, 701.0, 984.0, 36.0], shoonya_2sK0E7KYO7HUS5, 5775353]
[paragraph, [137.0, 742.0, 978.0, 36.0], shoonya_4sBOQRJDB2WCZG, 5775353]
[paragraph, [137.0, 778.0, 978.0, 36.0], shoonya_4sBOQRJDB2WCZG, 5775353]
[paragraph, [136.0, 836.0, 988.0, 36.0], shoonya_1sXMTI9H30K0WT, 5775353]
[paragraph, [136.0, 872.0, 988.0, 36.0], shoonya_1sXMTI9H30K0WT, 5775353]
[paragraph, [136.0, 908.0, 988.0, 36.0], shoonya_1sXMTI9H30K0WT, 5775353]
[paragraph, [136.0, 944.0, 988.0, 36.0], shoonya_1sXMTI9H30K0WT, 5775353]
[paragraph, [130.0, 1031.0, 1005.0, 36.0], shoonya_0sKB88DGZEM57H, 5775353]
[paragraph, [130.0, 1067.0, 1005.0, 36.0], shoonya_0sKB88DGZEM57H, 5775353]
[paragraph, [130.0, 1103.0, 1005.0, 36.0], shoonya_0sKB88DGZEM57H, 5775353]
[paragraph, [130.0, 1139.0, 1005.0, 36.0], shoonya_0sKB88DGZEM57H, 5775353]
[paragraph, [130.0, 1175.0, 1005.0, 36.0], shoonya_0sKB88DGZEM57H, 5775353]
[paragraph, [130.0, 1211.0, 1005.0, 36.0], shoonya_0sKB88DGZEM57H, 5775353]
[paragraph, [130.0, 1247.0, 1005.0, 36.0], shoonya_0sKB88DGZEM57H, 5775353]
[paragraph, [130.0, 1283.0, 1005.0, 36.0], shoonya_0sKB88DGZEM57H, 5775353]
[paragraph, [130.0, 1319.0, 1005.0, 36.0], shoonya_0sKB88DGZEM57H, 5775353]
[unordered-list, [157.0, 1431.0, 962.0, 36.0], shoonya_5sYW71TBEKHXGV, 5775353]
[unordered-list, [157.0, 1467.0, 962.0, 36.0], shoonya_5sYW71TBEKHXGV, 5775353]
[footnote, [140.0, 1571.0, 267.0, 36.0], WSu_PF3a5X, 5775353]
[website-link, [283.0, 1576.0, 112.0, 18.0], shoonya_10s0N54T0ADGES, 5775353]
