[1387, 987]
[paragraph, [32.0, 55.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 73.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 91.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 109.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 127.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 145.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 163.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 181.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 199.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 217.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 235.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 253.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 271.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 289.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 307.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 325.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 343.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 361.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 379.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 397.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 415.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 433.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 451.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 469.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 487.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 505.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 523.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 541.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 559.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 577.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 595.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 613.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 631.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 649.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 667.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 685.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 703.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 721.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 739.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 757.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 775.0, 865.0, 18.0], shoonya_0s95K23L5RY8PN, 5652918]
[paragraph, [32.0, 798.0, 904.0, 18.0], FkY2vw-o-B, 5652918]
[paragraph, [32.0, 816.0, 904.0, 18.0], FkY2vw-o-B, 5652918]
[paragraph, [32.0, 834.0, 904.0, 18.0], FkY2vw-o-B, 5652918]
[paragraph, [32.0, 852.0, 904.0, 18.0], FkY2vw-o-B, 5652918]
