[2338, 1654]
[contact-info, [318.0, 186.0, 1217.0, 36.0], Ho8-Efgmjc, 5658125]
[folio, [777.0, 239.0, 303.0, 36.0], shoonya_4sX51L31LVEV0X, 5658125]
[dateline, [1213.0, 324.0, 370.0, 64.5], 4J_DVb71_J, 5658125]
[folio, [248.0, 336.0, 907.0, 36.0], U_NJ3UpooS, 5658125]
[paragraph, [220.0, 454.0, 1387.0, 36.0], shoonya_0sMVLRO3VJ8LTW, 5658125]
[paragraph, [220.0, 490.0, 1387.0, 36.0], shoonya_0sMVLRO3VJ8LTW, 5658125]
[paragraph, [220.0, 526.0, 1387.0, 36.0], shoonya_0sMVLRO3VJ8LTW, 5658125]
[paragraph, [220.0, 562.0, 1387.0, 36.0], shoonya_0sMVLRO3VJ8LTW, 5658125]
[paragraph, [220.0, 598.0, 1387.0, 36.0], shoonya_0sMVLRO3VJ8LTW, 5658125]
[paragraph, [220.0, 634.0, 1387.0, 36.0], shoonya_0sMVLRO3VJ8LTW, 5658125]
[paragraph, [220.0, 670.0, 1387.0, 36.0], shoonya_0sMVLRO3VJ8LTW, 5658125]
[paragraph, [220.0, 706.0, 1387.0, 36.0], shoonya_0sMVLRO3VJ8LTW, 5658125]
[paragraph, [220.0, 742.0, 1387.0, 36.0], shoonya_0sMVLRO3VJ8LTW, 5658125]
[paragraph, [220.0, 778.0, 1387.0, 36.0], shoonya_0sMVLRO3VJ8LTW, 5658125]
[paragraph, [220.0, 814.0, 1387.0, 36.0], shoonya_0sMVLRO3VJ8LTW, 5658125]
[paragraph, [220.0, 850.0, 1387.0, 36.0], shoonya_0sMVLRO3VJ8LTW, 5658125]
[paragraph, [220.0, 886.0, 1387.0, 36.0], shoonya_0sMVLRO3VJ8LTW, 5658125]
[paragraph, [220.0, 922.0, 1387.0, 36.0], shoonya_0sMVLRO3VJ8LTW, 5658125]
[figure-caption, [1170.0, 1083.0, 417.0, 36.0], NWmvFtpoHi, 5658125]
[figure-caption, [1170.0, 1119.0, 417.0, 36.0], NWmvFtpoHi, 5658125]
[figure-caption, [1170.0, 1155.0, 417.0, 36.0], NWmvFtpoHi, 5658125]
[figure-caption, [1170.0, 1191.0, 417.0, 36.0], NWmvFtpoHi, 5658125]
[folio, [231.0, 1248.0, 961.0, 36.0], gCvCyU2pTl, 5658125]
[folio, [231.0, 1284.0, 961.0, 36.0], gCvCyU2pTl, 5658125]
[ordered-list, [196.0, 1343.0, 1390.0, 36.0], shoonya_3sM6URTVE05RZ8, 5658125]
[ordered-list, [196.0, 1379.0, 1390.0, 36.0], shoonya_3sM6URTVE05RZ8, 5658125]
[ordered-list, [196.0, 1415.0, 1390.0, 36.0], shoonya_3sM6URTVE05RZ8, 5658125]
[ordered-list, [196.0, 1451.0, 1390.0, 36.0], shoonya_3sM6URTVE05RZ8, 5658125]
[ordered-list, [196.0, 1487.0, 1390.0, 36.0], shoonya_3sM6URTVE05RZ8, 5658125]
[ordered-list, [196.0, 1523.0, 1390.0, 36.0], shoonya_3sM6URTVE05RZ8, 5658125]
[ordered-list, [196.0, 1559.0, 1390.0, 36.0], shoonya_3sM6URTVE05RZ8, 5658125]
[ordered-list, [196.0, 1595.0, 1390.0, 36.0], shoonya_3sM6URTVE05RZ8, 5658125]
[website-link, [368.0, 1532.0, 333.0, 18.0], DTq21z5tGH, 5658125]
[website-link, [368.0, 1550.0, 333.0, 18.0], DTq21z5tGH, 5658125]
[figure-caption, [1170.0, 1846.0, 413.0, 36.0], tufni5zOSz, 5658125]
[figure-caption, [1170.0, 1882.0, 413.0, 36.0], tufni5zOSz, 5658125]
[figure-caption, [1170.0, 1918.0, 413.0, 36.0], tufni5zOSz, 5658125]
[figure-caption, [1170.0, 1954.0, 413.0, 36.0], tufni5zOSz, 5658125]
