[2339, 1656]
[headline, [579.0, 190.0, 505.0, 67.5], 8pt8YwU1x7, 5752280]
[paragraph, [184.0, 337.0, 376.0, 36.0], KKEMnllEnv, 5752280]
[paragraph, [184.0, 373.0, 376.0, 36.0], KKEMnllEnv, 5752280]
[paragraph, [184.0, 409.0, 376.0, 36.0], KKEMnllEnv, 5752280]
[paragraph, [184.0, 445.0, 376.0, 36.0], KKEMnllEnv, 5752280]
[paragraph, [184.0, 481.0, 376.0, 36.0], KKEMnllEnv, 5752280]
[paragraph, [184.0, 695.0, 366.0, 36.0], Ao9-n350r_, 5752280]
[paragraph, [184.0, 731.0, 366.0, 36.0], Ao9-n350r_, 5752280]
[paragraph, [184.0, 767.0, 366.0, 36.0], Ao9-n350r_, 5752280]
[paragraph, [184.0, 803.0, 366.0, 36.0], Ao9-n350r_, 5752280]
[paragraph, [184.0, 839.0, 366.0, 36.0], Ao9-n350r_, 5752280]
[paragraph, [188.0, 1043.0, 395.0, 36.0], lzyvS8AMIf, 5752280]
[paragraph, [188.0, 1079.0, 395.0, 36.0], lzyvS8AMIf, 5752280]
[paragraph, [188.0, 1115.0, 395.0, 36.0], lzyvS8AMIf, 5752280]
[paragraph, [188.0, 1151.0, 395.0, 36.0], lzyvS8AMIf, 5752280]
[paragraph, [188.0, 1187.0, 395.0, 36.0], lzyvS8AMIf, 5752280]
[paragraph, [188.0, 1395.0, 453.0, 36.0], bB9e87orGm, 5752280]
[paragraph, [188.0, 1431.0, 453.0, 36.0], bB9e87orGm, 5752280]
[paragraph, [188.0, 1467.0, 453.0, 36.0], bB9e87orGm, 5752280]
[paragraph, [188.0, 1503.0, 453.0, 36.0], bB9e87orGm, 5752280]
[paragraph, [188.0, 1539.0, 453.0, 36.0], bB9e87orGm, 5752280]
[paragraph, [188.0, 1757.0, 465.0, 36.0], AO81I7b3eL, 5752280]
[paragraph, [188.0, 1793.0, 465.0, 36.0], AO81I7b3eL, 5752280]
[paragraph, [188.0, 1829.0, 465.0, 36.0], AO81I7b3eL, 5752280]
[paragraph, [188.0, 1865.0, 465.0, 36.0], AO81I7b3eL, 5752280]
[paragraph, [188.0, 1901.0, 465.0, 36.0], AO81I7b3eL, 5752280]
[author, [958.0, 1784.0, 329.0, 36.0], Oup6y8KmzC, 5752280]
[author, [958.0, 1820.0, 329.0, 36.0], Oup6y8KmzC, 5752280]
[author, [958.0, 1856.0, 329.0, 36.0], Oup6y8KmzC, 5752280]
[author, [958.0, 1892.0, 329.0, 36.0], Oup6y8KmzC, 5752280]
[folio, [279.0, 2243.0, 186.0, 36.0], pSxFAu61Ms, 5752280]
