[1350, 900]
[folio, [188.0, 186.0, 207.0, 18.0], shoonya_3s4HBZPS6HBR83, 5760246]
[paragraph, [169.0, 231.0, 558.0, 18.0], shoonya_1s7WROOSYRTJHG, 5760246]
[paragraph, [169.0, 249.0, 558.0, 18.0], shoonya_1s7WROOSYRTJHG, 5760246]
[paragraph, [169.0, 267.0, 558.0, 18.0], shoonya_1s7WROOSYRTJHG, 5760246]
[paragraph, [169.0, 285.0, 558.0, 18.0], shoonya_1s7WROOSYRTJHG, 5760246]
[paragraph, [169.0, 303.0, 558.0, 18.0], shoonya_1s7WROOSYRTJHG, 5760246]
[paragraph, [169.0, 321.0, 558.0, 18.0], shoonya_1s7WROOSYRTJHG, 5760246]
[paragraph, [169.0, 339.0, 558.0, 18.0], shoonya_1s7WROOSYRTJHG, 5760246]
[paragraph, [169.0, 357.0, 558.0, 18.0], shoonya_1s7WROOSYRTJHG, 5760246]
[paragraph, [169.0, 375.0, 558.0, 18.0], shoonya_1s7WROOSYRTJHG, 5760246]
[paragraph, [174.0, 410.0, 550.0, 18.0], shoonya_2sUOT22EILCFU1, 5760246]
[paragraph, [174.0, 428.0, 550.0, 18.0], shoonya_2sUOT22EILCFU1, 5760246]
[paragraph, [174.0, 446.0, 550.0, 18.0], shoonya_2sUOT22EILCFU1, 5760246]
[paragraph, [174.0, 464.0, 550.0, 18.0], shoonya_2sUOT22EILCFU1, 5760246]
[paragraph, [168.0, 505.0, 561.0, 18.0], WG3VJsLnBS, 5760246]
[paragraph, [168.0, 523.0, 561.0, 18.0], WG3VJsLnBS, 5760246]
[paragraph, [168.0, 541.0, 561.0, 18.0], WG3VJsLnBS, 5760246]
[paragraph, [168.0, 559.0, 561.0, 18.0], WG3VJsLnBS, 5760246]
[paragraph, [168.0, 577.0, 561.0, 18.0], WG3VJsLnBS, 5760246]
[paragraph, [168.0, 595.0, 561.0, 18.0], WG3VJsLnBS, 5760246]
[paragraph, [168.0, 613.0, 561.0, 18.0], WG3VJsLnBS, 5760246]
[paragraph, [168.0, 631.0, 561.0, 18.0], WG3VJsLnBS, 5760246]
[paragraph, [168.0, 649.0, 561.0, 18.0], WG3VJsLnBS, 5760246]
[paragraph, [168.0, 667.0, 561.0, 18.0], WG3VJsLnBS, 5760246]
[paragraph, [168.0, 711.0, 560.0, 18.0], cp8xshNwLC, 5760246]
[paragraph, [168.0, 729.0, 560.0, 18.0], cp8xshNwLC, 5760246]
[paragraph, [168.0, 747.0, 560.0, 18.0], cp8xshNwLC, 5760246]
[paragraph, [168.0, 765.0, 560.0, 18.0], cp8xshNwLC, 5760246]
[paragraph, [168.0, 783.0, 560.0, 18.0], cp8xshNwLC, 5760246]
[paragraph, [168.0, 801.0, 560.0, 18.0], cp8xshNwLC, 5760246]
[paragraph, [168.0, 819.0, 560.0, 18.0], cp8xshNwLC, 5760246]
[paragraph, [166.0, 858.0, 562.0, 18.0], 1Lt7tQTPtP, 5760246]
[paragraph, [166.0, 876.0, 562.0, 18.0], 1Lt7tQTPtP, 5760246]
[paragraph, [166.0, 894.0, 562.0, 18.0], 1Lt7tQTPtP, 5760246]
[paragraph, [166.0, 912.0, 562.0, 18.0], 1Lt7tQTPtP, 5760246]
[paragraph, [166.0, 930.0, 562.0, 18.0], 1Lt7tQTPtP, 5760246]
[paragraph, [166.0, 948.0, 562.0, 18.0], 1Lt7tQTPtP, 5760246]
[paragraph, [166.0, 966.0, 562.0, 18.0], 1Lt7tQTPtP, 5760246]
[paragraph, [166.0, 984.0, 562.0, 18.0], 1Lt7tQTPtP, 5760246]
[paragraph, [166.0, 1002.0, 562.0, 18.0], 1Lt7tQTPtP, 5760246]
[paragraph, [166.0, 1020.0, 562.0, 18.0], 1Lt7tQTPtP, 5760246]
[paragraph, [166.0, 1038.0, 562.0, 18.0], 1Lt7tQTPtP, 5760246]
[paragraph, [166.0, 1056.0, 562.0, 18.0], 1Lt7tQTPtP, 5760246]
[paragraph, [166.0, 1074.0, 562.0, 18.0], 1Lt7tQTPtP, 5760246]
[paragraph, [166.0, 1092.0, 562.0, 18.0], 1Lt7tQTPtP, 5760246]
