[1387, 987]
[paragraph, [50.0, 98.0, 790.0, 18.0], shoonya_0s8ENQQRT1KJZG, 5652085]
[paragraph, [50.0, 116.0, 790.0, 18.0], shoonya_0s8ENQQRT1KJZG, 5652085]
[paragraph, [50.0, 134.0, 790.0, 18.0], shoonya_0s8ENQQRT1KJZG, 5652085]
[paragraph, [48.0, 168.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [48.0, 186.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [48.0, 204.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [48.0, 222.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [48.0, 240.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [48.0, 258.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [48.0, 276.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [48.0, 294.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [48.0, 312.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [48.0, 330.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [48.0, 348.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [48.0, 366.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [48.0, 384.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [48.0, 402.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [48.0, 420.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [48.0, 438.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [48.0, 456.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [48.0, 474.0, 843.0, 18.0], shoonya_4sG4MDYNY5AXKW, 5652085]
[paragraph, [67.0, 522.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 540.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 558.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 576.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 594.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 612.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 630.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 648.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 666.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 684.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 702.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 720.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 738.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 756.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 774.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 792.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 810.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 828.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 846.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 864.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 882.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 900.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 918.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 936.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 954.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 972.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 990.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 1008.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 1026.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 1044.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [67.0, 1062.0, 834.0, 18.0], shoonya_2sGR5K08U6UT5H, 5652085]
[paragraph, [73.0, 1102.0, 788.0, 18.0], shoonya_3s841BFDHQWZTF, 5652085]
[paragraph, [73.0, 1120.0, 788.0, 18.0], shoonya_3s841BFDHQWZTF, 5652085]
[paragraph, [73.0, 1138.0, 788.0, 18.0], shoonya_3s841BFDHQWZTF, 5652085]
[paragraph, [73.0, 1156.0, 788.0, 18.0], shoonya_3s841BFDHQWZTF, 5652085]
[paragraph, [73.0, 1174.0, 788.0, 18.0], shoonya_3s841BFDHQWZTF, 5652085]
[paragraph, [73.0, 1192.0, 788.0, 18.0], shoonya_3s841BFDHQWZTF, 5652085]
[paragraph, [73.0, 1210.0, 788.0, 18.0], shoonya_3s841BFDHQWZTF, 5652085]
[paragraph, [73.0, 1228.0, 788.0, 18.0], shoonya_3s841BFDHQWZTF, 5652085]
[paragraph, [73.0, 1246.0, 788.0, 18.0], shoonya_3s841BFDHQWZTF, 5652085]
[paragraph, [73.0, 1264.0, 788.0, 18.0], shoonya_3s841BFDHQWZTF, 5652085]
[paragraph, [73.0, 1282.0, 788.0, 18.0], shoonya_3s841BFDHQWZTF, 5652085]
[paragraph, [73.0, 1300.0, 788.0, 18.0], shoonya_3s841BFDHQWZTF, 5652085]
