[2230, 1704]
[paragraph, [48.0, 143.0, 810.0, 36.0], shoonya_4sHQPWLNR481V3, 5654580]
[paragraph, [48.0, 179.0, 810.0, 36.0], shoonya_4sHQPWLNR481V3, 5654580]
[paragraph, [48.0, 215.0, 810.0, 36.0], shoonya_4sHQPWLNR481V3, 5654580]
[paragraph, [48.0, 251.0, 810.0, 36.0], shoonya_4sHQPWLNR481V3, 5654580]
[paragraph, [48.0, 287.0, 810.0, 36.0], shoonya_4sHQPWLNR481V3, 5654580]
[section-title, [1043.0, 197.0, 468.0, 52.5], shoonya_9sOLN8LUV9LK4H, 5654580]
[figure-caption, [1126.0, 276.0, 539.0, 36.0], shoonya_10sPGYA3UZ4M8T, 5654580]
[figure-caption, [1126.0, 312.0, 539.0, 36.0], shoonya_10sPGYA3UZ4M8T, 5654580]
[figure-caption, [1126.0, 348.0, 539.0, 36.0], shoonya_10sPGYA3UZ4M8T, 5654580]
[figure-caption, [1126.0, 384.0, 539.0, 36.0], shoonya_10sPGYA3UZ4M8T, 5654580]
[figure-caption, [1126.0, 420.0, 539.0, 36.0], shoonya_10sPGYA3UZ4M8T, 5654580]
[figure-caption, [1126.0, 456.0, 539.0, 36.0], shoonya_10sPGYA3UZ4M8T, 5654580]
[figure-caption, [1126.0, 492.0, 539.0, 36.0], shoonya_10sPGYA3UZ4M8T, 5654580]
[figure-caption, [1126.0, 528.0, 539.0, 36.0], shoonya_10sPGYA3UZ4M8T, 5654580]
[figure-caption, [1126.0, 564.0, 539.0, 36.0], shoonya_10sPGYA3UZ4M8T, 5654580]
[paragraph, [69.0, 348.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 384.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 420.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 456.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 492.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 528.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 564.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 600.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 636.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 672.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 708.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 744.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 780.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 816.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 852.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 888.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 924.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 960.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 996.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 1032.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 1068.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 1104.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[paragraph, [69.0, 1140.0, 794.0, 36.0], shoonya_1sN533XL2H5PI5, 5654580]
[figure-caption, [922.0, 567.0, 186.0, 36.0], shoonya_8sTCMYT1YCQOIV, 5654580]
[figure-caption, [901.0, 625.0, 753.0, 36.0], No6EyuCi4o, 5654580]
[figure-caption, [901.0, 661.0, 753.0, 36.0], No6EyuCi4o, 5654580]
[figure-caption, [901.0, 697.0, 753.0, 36.0], No6EyuCi4o, 5654580]
[figure-caption, [901.0, 733.0, 753.0, 36.0], No6EyuCi4o, 5654580]
[contact-info, [1136.0, 793.0, 523.0, 36.0], shoonya_11sG9X1OUO2I5R, 5654580]
[contact-info, [1136.0, 829.0, 523.0, 36.0], shoonya_11sG9X1OUO2I5R, 5654580]
[paragraph, [883.0, 906.0, 786.0, 36.0], shoonya_3sGADMK9DXGD2W, 5654580]
[paragraph, [883.0, 942.0, 786.0, 36.0], shoonya_3sGADMK9DXGD2W, 5654580]
[paragraph, [883.0, 978.0, 786.0, 36.0], shoonya_3sGADMK9DXGD2W, 5654580]
[paragraph, [883.0, 1014.0, 786.0, 36.0], shoonya_3sGADMK9DXGD2W, 5654580]
[paragraph, [883.0, 1050.0, 786.0, 36.0], shoonya_3sGADMK9DXGD2W, 5654580]
[paragraph, [883.0, 1086.0, 786.0, 36.0], shoonya_3sGADMK9DXGD2W, 5654580]
[paragraph, [883.0, 1122.0, 786.0, 36.0], shoonya_3sGADMK9DXGD2W, 5654580]
[paragraph, [883.0, 1158.0, 786.0, 36.0], shoonya_3sGADMK9DXGD2W, 5654580]
[paragraph, [883.0, 1194.0, 786.0, 36.0], shoonya_3sGADMK9DXGD2W, 5654580]
[paragraph, [883.0, 1230.0, 786.0, 36.0], shoonya_3sGADMK9DXGD2W, 5654580]
[paragraph, [883.0, 1266.0, 786.0, 36.0], shoonya_3sGADMK9DXGD2W, 5654580]
[paragraph, [883.0, 1302.0, 786.0, 36.0], shoonya_3sGADMK9DXGD2W, 5654580]
[paragraph, [883.0, 1338.0, 786.0, 36.0], shoonya_3sGADMK9DXGD2W, 5654580]
[paragraph, [883.0, 1374.0, 786.0, 36.0], shoonya_3sGADMK9DXGD2W, 5654580]
[paragraph, [883.0, 1410.0, 786.0, 36.0], shoonya_3sGADMK9DXGD2W, 5654580]
[paragraph, [86.0, 1187.0, 787.0, 36.0], shoonya_0sVHIXM8H2P4EH, 5654580]
[paragraph, [86.0, 1223.0, 787.0, 36.0], shoonya_0sVHIXM8H2P4EH, 5654580]
[paragraph, [86.0, 1259.0, 787.0, 36.0], shoonya_0sVHIXM8H2P4EH, 5654580]
[paragraph, [86.0, 1295.0, 787.0, 36.0], shoonya_0sVHIXM8H2P4EH, 5654580]
[paragraph, [86.0, 1331.0, 787.0, 36.0], shoonya_0sVHIXM8H2P4EH, 5654580]
[paragraph, [86.0, 1367.0, 787.0, 36.0], shoonya_0sVHIXM8H2P4EH, 5654580]
[paragraph, [86.0, 1403.0, 787.0, 36.0], shoonya_0sVHIXM8H2P4EH, 5654580]
[paragraph, [86.0, 1439.0, 787.0, 36.0], shoonya_0sVHIXM8H2P4EH, 5654580]
