[1545, 2000]
[headline, [99.0, 64.0, 510.0, 37.5], shoonya_0sRS0F8D4ZIP1X, 6532505]
[headline, [99.0, 101.5, 510.0, 37.5], shoonya_0sRS0F8D4ZIP1X, 6532505]
[headline, [99.0, 139.0, 510.0, 37.5], shoonya_0sRS0F8D4ZIP1X, 6532505]
[headline, [99.0, 176.5, 510.0, 37.5], shoonya_0sRS0F8D4ZIP1X, 6532505]
[headline, [99.0, 214.0, 510.0, 37.5], shoonya_0sRS0F8D4ZIP1X, 6532505]
[headline, [99.0, 251.5, 510.0, 37.5], shoonya_0sRS0F8D4ZIP1X, 6532505]
[headline, [99.0, 289.0, 510.0, 37.5], shoonya_0sRS0F8D4ZIP1X, 6532505]
[headline, [99.0, 326.5, 510.0, 37.5], shoonya_0sRS0F8D4ZIP1X, 6532505]
[headline, [99.0, 364.0, 510.0, 37.5], shoonya_0sRS0F8D4ZIP1X, 6532505]
[headline, [99.0, 401.5, 510.0, 37.5], shoonya_0sRS0F8D4ZIP1X, 6532505]
[headline, [99.0, 439.0, 510.0, 37.5], shoonya_0sRS0F8D4ZIP1X, 6532505]
[headline, [99.0, 476.5, 510.0, 37.5], shoonya_0sRS0F8D4ZIP1X, 6532505]
[paragraph, [732.0, 92.0, 517.0, 36.0], 5rhz9uZk79, 6532505]
[paragraph, [732.0, 128.0, 517.0, 36.0], 5rhz9uZk79, 6532505]
[paragraph, [732.0, 164.0, 517.0, 36.0], 5rhz9uZk79, 6532505]
[paragraph, [732.0, 200.0, 517.0, 36.0], 5rhz9uZk79, 6532505]
[paragraph, [732.0, 236.0, 517.0, 36.0], 5rhz9uZk79, 6532505]
[paragraph, [732.0, 272.0, 517.0, 36.0], 5rhz9uZk79, 6532505]
[paragraph, [732.0, 308.0, 517.0, 36.0], 5rhz9uZk79, 6532505]
[paragraph, [732.0, 344.0, 517.0, 36.0], 5rhz9uZk79, 6532505]
[paragraph, [732.0, 380.0, 517.0, 36.0], 5rhz9uZk79, 6532505]
[paragraph, [732.0, 416.0, 517.0, 36.0], 5rhz9uZk79, 6532505]
[paragraph, [732.0, 452.0, 517.0, 36.0], 5rhz9uZk79, 6532505]
[paragraph, [707.0, 702.0, 507.0, 36.0], AZs7rWEuPO, 6532505]
[paragraph, [707.0, 738.0, 507.0, 36.0], AZs7rWEuPO, 6532505]
[paragraph, [707.0, 774.0, 507.0, 36.0], AZs7rWEuPO, 6532505]
[paragraph, [707.0, 810.0, 507.0, 36.0], AZs7rWEuPO, 6532505]
[paragraph, [707.0, 846.0, 507.0, 36.0], AZs7rWEuPO, 6532505]
[section-title, [1487.0, 792.0, 372.0, 49.5], pUZL2l1Gej, 6532505]
[section-title, [1487.0, 841.5, 372.0, 49.5], pUZL2l1Gej, 6532505]
[section-title, [1487.0, 891.0, 372.0, 49.5], pUZL2l1Gej, 6532505]
[paragraph, [727.0, 970.0, 537.0, 36.0], bnT8aKTL1i, 6532505]
[paragraph, [727.0, 1006.0, 537.0, 36.0], bnT8aKTL1i, 6532505]
[paragraph, [727.0, 1042.0, 537.0, 36.0], bnT8aKTL1i, 6532505]
[paragraph, [727.0, 1078.0, 537.0, 36.0], bnT8aKTL1i, 6532505]
[paragraph, [32.0, 1067.0, 620.0, 36.0], Hcr8ROrffQ, 6532505]
[paragraph, [32.0, 1103.0, 620.0, 36.0], Hcr8ROrffQ, 6532505]
[paragraph, [32.0, 1139.0, 620.0, 36.0], Hcr8ROrffQ, 6532505]
[paragraph, [32.0, 1175.0, 620.0, 36.0], Hcr8ROrffQ, 6532505]
[paragraph, [32.0, 1211.0, 620.0, 36.0], Hcr8ROrffQ, 6532505]
[paragraph, [32.0, 1247.0, 620.0, 36.0], Hcr8ROrffQ, 6532505]
[paragraph, [32.0, 1283.0, 620.0, 36.0], Hcr8ROrffQ, 6532505]
[paragraph, [32.0, 1319.0, 620.0, 36.0], Hcr8ROrffQ, 6532505]
[paragraph, [32.0, 1355.0, 620.0, 36.0], Hcr8ROrffQ, 6532505]
[paragraph, [32.0, 1391.0, 620.0, 36.0], Hcr8ROrffQ, 6532505]
[paragraph, [1395.0, 1132.0, 560.0, 36.0], SP0kDXlp21, 6532505]
[paragraph, [1395.0, 1168.0, 560.0, 36.0], SP0kDXlp21, 6532505]
[paragraph, [1395.0, 1204.0, 560.0, 36.0], SP0kDXlp21, 6532505]
[paragraph, [1395.0, 1240.0, 560.0, 36.0], SP0kDXlp21, 6532505]
[paragraph, [1395.0, 1276.0, 560.0, 36.0], SP0kDXlp21, 6532505]
[paragraph, [1395.0, 1312.0, 560.0, 36.0], SP0kDXlp21, 6532505]
[paragraph, [1395.0, 1348.0, 560.0, 36.0], SP0kDXlp21, 6532505]
[paragraph, [1395.0, 1384.0, 560.0, 36.0], SP0kDXlp21, 6532505]
[paragraph, [1395.0, 1420.0, 560.0, 36.0], SP0kDXlp21, 6532505]
[paragraph, [1395.0, 1456.0, 560.0, 36.0], SP0kDXlp21, 6532505]
[website-link, [740.0, 1362.0, 512.0, 18.0], QgwUJFYppF, 6532505]
[website-link, [740.0, 1380.0, 512.0, 18.0], QgwUJFYppF, 6532505]
[website-link, [740.0, 1398.0, 512.0, 18.0], QgwUJFYppF, 6532505]
