[690, 512]
[folio, [194.0, 30.0, 114.0, 18.0], NbHl6bmRAu, 6491574]
[headline, [77.0, 61.0, 357.0, 25.5], 4ICkN8rDZJ, 6491574]
[author, [351.0, 96.0, 111.0, 18.0], F7y2--BUUA, 6491574]
[paragraph, [20.0, 119.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 137.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 155.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 173.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 191.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 209.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 227.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 245.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 263.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 281.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 299.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 317.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 335.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 353.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 371.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 389.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 407.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 425.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 443.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 461.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 479.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 497.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 515.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 533.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 551.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 569.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 587.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [20.0, 605.0, 229.0, 18.0], shoonya_0sMC1DSKXA0KBE, 6491574]
[paragraph, [255.0, 144.0, 224.0, 18.0], 85FkMFOzdq, 6491574]
[paragraph, [255.0, 162.0, 224.0, 18.0], 85FkMFOzdq, 6491574]
[paragraph, [255.0, 180.0, 224.0, 18.0], 85FkMFOzdq, 6491574]
[paragraph, [255.0, 198.0, 224.0, 18.0], 85FkMFOzdq, 6491574]
[paragraph, [255.0, 216.0, 224.0, 18.0], 85FkMFOzdq, 6491574]
[paragraph, [255.0, 234.0, 224.0, 18.0], 85FkMFOzdq, 6491574]
[paragraph, [255.0, 252.0, 224.0, 18.0], 85FkMFOzdq, 6491574]
[paragraph, [255.0, 270.0, 224.0, 18.0], 85FkMFOzdq, 6491574]
[paragraph, [255.0, 288.0, 224.0, 18.0], 85FkMFOzdq, 6491574]
[paragraph, [255.0, 306.0, 224.0, 18.0], 85FkMFOzdq, 6491574]
[paragraph, [255.0, 324.0, 224.0, 18.0], 85FkMFOzdq, 6491574]
[paragraph, [255.0, 342.0, 224.0, 18.0], 85FkMFOzdq, 6491574]
[paragraph, [255.0, 360.0, 224.0, 18.0], 85FkMFOzdq, 6491574]
[paragraph, [253.0, 394.0, 222.0, 18.0], ySj8uEm6aJ, 6491574]
[paragraph, [253.0, 412.0, 222.0, 18.0], ySj8uEm6aJ, 6491574]
[paragraph, [253.0, 430.0, 222.0, 18.0], ySj8uEm6aJ, 6491574]
[paragraph, [253.0, 448.0, 222.0, 18.0], ySj8uEm6aJ, 6491574]
[paragraph, [253.0, 466.0, 222.0, 18.0], ySj8uEm6aJ, 6491574]
[paragraph, [253.0, 484.0, 222.0, 18.0], ySj8uEm6aJ, 6491574]
[paragraph, [253.0, 502.0, 222.0, 18.0], ySj8uEm6aJ, 6491574]
[paragraph, [253.0, 520.0, 222.0, 18.0], ySj8uEm6aJ, 6491574]
[paragraph, [253.0, 538.0, 222.0, 18.0], ySj8uEm6aJ, 6491574]
[paragraph, [253.0, 556.0, 222.0, 18.0], ySj8uEm6aJ, 6491574]
[paragraph, [253.0, 574.0, 222.0, 18.0], ySj8uEm6aJ, 6491574]
[paragraph, [253.0, 592.0, 222.0, 18.0], ySj8uEm6aJ, 6491574]
[paragraph, [253.0, 610.0, 222.0, 18.0], ySj8uEm6aJ, 6491574]
