[1211, 798]
[folio, [341.0, 40.0, 103.0, 18.0], XM15fbmmap, 5740642]
[folio, [341.0, 58.0, 103.0, 18.0], XM15fbmmap, 5740642]
[paragraph, [53.0, 100.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 118.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 136.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 154.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 172.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 190.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 208.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 226.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 244.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 262.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 280.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 298.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 316.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 334.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 352.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 370.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 388.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 406.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 424.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 442.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 460.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 478.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 496.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 514.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 532.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [53.0, 550.0, 690.0, 18.0], 1_H0uJd4xf, 5740642]
[paragraph, [58.0, 594.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 612.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 630.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 648.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 666.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 684.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 702.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 720.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 738.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 756.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 774.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 792.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 810.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 828.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 846.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 864.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 882.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 900.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 918.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 936.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 954.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 972.0, 686.0, 18.0], nPVUxfSFSA, 5740642]
[paragraph, [58.0, 1024.0, 689.0, 18.0], aCFSi87JGX, 5740642]
[paragraph, [58.0, 1042.0, 689.0, 18.0], aCFSi87JGX, 5740642]
[paragraph, [58.0, 1060.0, 689.0, 18.0], aCFSi87JGX, 5740642]
[paragraph, [58.0, 1078.0, 689.0, 18.0], aCFSi87JGX, 5740642]
[paragraph, [58.0, 1096.0, 689.0, 18.0], aCFSi87JGX, 5740642]
[paragraph, [58.0, 1114.0, 689.0, 18.0], aCFSi87JGX, 5740642]
[paragraph, [58.0, 1132.0, 689.0, 18.0], aCFSi87JGX, 5740642]
[footnote, [419.0, 1173.0, 320.0, 18.0], shoonya_0sSVFS417ZBTC4, 5740642]
