[3508, 2481]
[contact-info, [700.0, 99.0, 1073.0, 52.5], J5owPrQsej, 6491122]
[contact-info, [700.0, 151.5, 1073.0, 52.5], J5owPrQsej, 6491122]
[headline, [1059.0, 275.0, 320.0, 52.5], shoonya_5sX62F28YBKJQC, 6491122]
[headline, [1059.0, 327.5, 320.0, 52.5], shoonya_5sX62F28YBKJQC, 6491122]
[sub-headline, [635.0, 502.0, 1215.0, 73.5], DU8JXlPAqQ, 6491122]
[dateline, [1919.0, 749.0, 341.0, 52.5], shoonya_4sIFU82A25YAJ0, 6491122]
[paragraph, [218.0, 1010.0, 465.0, 52.5], shoonya_7s5LMADP1PC94J, 6491122]
[paragraph, [224.0, 1142.0, 2056.0, 52.5], shoonya_1sJOFWL80Q5F2Y, 6491122]
[paragraph, [224.0, 1194.5, 2056.0, 52.5], shoonya_1sJOFWL80Q5F2Y, 6491122]
[paragraph, [224.0, 1247.0, 2056.0, 52.5], shoonya_1sJOFWL80Q5F2Y, 6491122]
[paragraph, [224.0, 1299.5, 2056.0, 52.5], shoonya_1sJOFWL80Q5F2Y, 6491122]
[paragraph, [224.0, 1352.0, 2056.0, 52.5], shoonya_1sJOFWL80Q5F2Y, 6491122]
[paragraph, [224.0, 1404.5, 2056.0, 52.5], shoonya_1sJOFWL80Q5F2Y, 6491122]
[paragraph, [213.0, 1494.0, 2075.0, 52.5], shoonya_3sA2YXUQS6FXEP, 6491122]
[paragraph, [213.0, 1546.5, 2075.0, 52.5], shoonya_3sA2YXUQS6FXEP, 6491122]
[paragraph, [213.0, 1599.0, 2075.0, 52.5], shoonya_3sA2YXUQS6FXEP, 6491122]
[paragraph, [213.0, 1651.5, 2075.0, 52.5], shoonya_3sA2YXUQS6FXEP, 6491122]
[paragraph, [213.0, 1704.0, 2075.0, 52.5], shoonya_3sA2YXUQS6FXEP, 6491122]
[paragraph, [213.0, 1756.5, 2075.0, 52.5], shoonya_3sA2YXUQS6FXEP, 6491122]
[paragraph, [213.0, 1809.0, 2075.0, 52.5], shoonya_3sA2YXUQS6FXEP, 6491122]
[paragraph, [189.0, 1958.0, 2195.0, 52.5], shoonya_0sD2H4MICSVWHP, 6491122]
[paragraph, [189.0, 2010.5, 2195.0, 52.5], shoonya_0sD2H4MICSVWHP, 6491122]
[paragraph, [189.0, 2063.0, 2195.0, 52.5], shoonya_0sD2H4MICSVWHP, 6491122]
[paragraph, [189.0, 2115.5, 2195.0, 52.5], shoonya_0sD2H4MICSVWHP, 6491122]
[paragraph, [189.0, 2168.0, 2195.0, 52.5], shoonya_0sD2H4MICSVWHP, 6491122]
[paragraph, [189.0, 2220.5, 2195.0, 52.5], shoonya_0sD2H4MICSVWHP, 6491122]
[paragraph, [189.0, 2273.0, 2195.0, 52.5], shoonya_0sD2H4MICSVWHP, 6491122]
[paragraph, [189.0, 2325.5, 2195.0, 52.5], shoonya_0sD2H4MICSVWHP, 6491122]
[paragraph, [189.0, 2378.0, 2195.0, 52.5], shoonya_0sD2H4MICSVWHP, 6491122]
[paragraph, [189.0, 2430.5, 2195.0, 52.5], shoonya_0sD2H4MICSVWHP, 6491122]
[paragraph, [189.0, 2483.0, 2195.0, 52.5], shoonya_0sD2H4MICSVWHP, 6491122]
[ordered-list, [256.0, 2563.0, 2034.0, 52.5], shoonya_2sBWTXCLS3LWR4, 6491122]
[ordered-list, [256.0, 2615.5, 2034.0, 52.5], shoonya_2sBWTXCLS3LWR4, 6491122]
[ordered-list, [256.0, 2668.0, 2034.0, 52.5], shoonya_2sBWTXCLS3LWR4, 6491122]
[ordered-list, [256.0, 2720.5, 2034.0, 52.5], shoonya_2sBWTXCLS3LWR4, 6491122]
[ordered-list, [256.0, 2773.0, 2034.0, 52.5], shoonya_2sBWTXCLS3LWR4, 6491122]
[ordered-list, [256.0, 2825.5, 2034.0, 52.5], shoonya_2sBWTXCLS3LWR4, 6491122]
[ordered-list, [256.0, 2878.0, 2034.0, 52.5], shoonya_2sBWTXCLS3LWR4, 6491122]
[ordered-list, [256.0, 2930.5, 2034.0, 52.5], shoonya_2sBWTXCLS3LWR4, 6491122]
[ordered-list, [256.0, 2983.0, 2034.0, 52.5], shoonya_2sBWTXCLS3LWR4, 6491122]
[ordered-list, [256.0, 3035.5, 2034.0, 52.5], shoonya_2sBWTXCLS3LWR4, 6491122]
[ordered-list, [256.0, 3088.0, 2034.0, 52.5], shoonya_2sBWTXCLS3LWR4, 6491122]
[ordered-list, [256.0, 3140.5, 2034.0, 52.5], shoonya_2sBWTXCLS3LWR4, 6491122]
