[794, 624]
[headline, [50.0, 55.0, 517.0, 25.5], shoonya_0sN1H6QJV3SJZI, 5712763]
[paragraph, [46.0, 104.0, 170.0, 18.0], noAI2S-ibc, 5712763]
[paragraph, [46.0, 122.0, 170.0, 18.0], noAI2S-ibc, 5712763]
[paragraph, [46.0, 140.0, 170.0, 18.0], noAI2S-ibc, 5712763]
[paragraph, [46.0, 158.0, 170.0, 18.0], noAI2S-ibc, 5712763]
[paragraph, [46.0, 176.0, 170.0, 18.0], noAI2S-ibc, 5712763]
[paragraph, [46.0, 194.0, 170.0, 18.0], noAI2S-ibc, 5712763]
[paragraph, [46.0, 212.0, 170.0, 18.0], noAI2S-ibc, 5712763]
[paragraph, [405.0, 105.0, 170.0, 18.0], -TKXc-z9Hh, 5712763]
[paragraph, [405.0, 123.0, 170.0, 18.0], -TKXc-z9Hh, 5712763]
[paragraph, [405.0, 141.0, 170.0, 18.0], -TKXc-z9Hh, 5712763]
[paragraph, [405.0, 159.0, 170.0, 18.0], -TKXc-z9Hh, 5712763]
[paragraph, [405.0, 177.0, 170.0, 18.0], -TKXc-z9Hh, 5712763]
[paragraph, [405.0, 195.0, 170.0, 18.0], -TKXc-z9Hh, 5712763]
[paragraph, [405.0, 213.0, 170.0, 18.0], -TKXc-z9Hh, 5712763]
[paragraph, [405.0, 231.0, 170.0, 18.0], -TKXc-z9Hh, 5712763]
[paragraph, [405.0, 249.0, 170.0, 18.0], -TKXc-z9Hh, 5712763]
[paragraph, [219.0, 107.0, 176.0, 18.0], N69q2De4i-, 5712763]
[paragraph, [219.0, 125.0, 176.0, 18.0], N69q2De4i-, 5712763]
[paragraph, [219.0, 143.0, 176.0, 18.0], N69q2De4i-, 5712763]
[paragraph, [219.0, 161.0, 176.0, 18.0], N69q2De4i-, 5712763]
[paragraph, [219.0, 179.0, 176.0, 18.0], N69q2De4i-, 5712763]
[paragraph, [219.0, 197.0, 176.0, 18.0], N69q2De4i-, 5712763]
[paragraph, [219.0, 215.0, 176.0, 18.0], N69q2De4i-, 5712763]
[paragraph, [219.0, 233.0, 176.0, 18.0], N69q2De4i-, 5712763]
[paragraph, [219.0, 251.0, 176.0, 18.0], N69q2De4i-, 5712763]
[paragraph, [44.0, 234.0, 170.0, 18.0], mhKf2KTHYM, 5712763]
[paragraph, [44.0, 252.0, 170.0, 18.0], mhKf2KTHYM, 5712763]
[paragraph, [44.0, 270.0, 170.0, 18.0], mhKf2KTHYM, 5712763]
[paragraph, [44.0, 288.0, 170.0, 18.0], mhKf2KTHYM, 5712763]
[paragraph, [44.0, 306.0, 170.0, 18.0], mhKf2KTHYM, 5712763]
[paragraph, [44.0, 324.0, 170.0, 18.0], mhKf2KTHYM, 5712763]
[paragraph, [44.0, 342.0, 170.0, 18.0], mhKf2KTHYM, 5712763]
[paragraph, [44.0, 360.0, 170.0, 18.0], mhKf2KTHYM, 5712763]
[paragraph, [44.0, 378.0, 170.0, 18.0], mhKf2KTHYM, 5712763]
[paragraph, [44.0, 396.0, 170.0, 18.0], mhKf2KTHYM, 5712763]
[paragraph, [44.0, 414.0, 170.0, 18.0], mhKf2KTHYM, 5712763]
[paragraph, [44.0, 432.0, 170.0, 18.0], mhKf2KTHYM, 5712763]
[paragraph, [402.0, 278.0, 172.0, 18.0], X3l4a4XI8O, 5712763]
[paragraph, [402.0, 296.0, 172.0, 18.0], X3l4a4XI8O, 5712763]
[paragraph, [402.0, 314.0, 172.0, 18.0], X3l4a4XI8O, 5712763]
[paragraph, [402.0, 332.0, 172.0, 18.0], X3l4a4XI8O, 5712763]
[paragraph, [402.0, 350.0, 172.0, 18.0], X3l4a4XI8O, 5712763]
[paragraph, [402.0, 368.0, 172.0, 18.0], X3l4a4XI8O, 5712763]
[paragraph, [402.0, 386.0, 172.0, 18.0], X3l4a4XI8O, 5712763]
[paragraph, [402.0, 404.0, 172.0, 18.0], X3l4a4XI8O, 5712763]
[paragraph, [402.0, 422.0, 172.0, 18.0], X3l4a4XI8O, 5712763]
[author, [240.0, 286.0, 130.0, 18.0], UEGBdbDzgR, 5712763]
[paragraph, [217.0, 314.0, 179.0, 18.0], 1xO5HqXfy5, 5712763]
[paragraph, [217.0, 332.0, 179.0, 18.0], 1xO5HqXfy5, 5712763]
[paragraph, [217.0, 350.0, 179.0, 18.0], 1xO5HqXfy5, 5712763]
[paragraph, [217.0, 368.0, 179.0, 18.0], 1xO5HqXfy5, 5712763]
[paragraph, [217.0, 386.0, 179.0, 18.0], 1xO5HqXfy5, 5712763]
[paragraph, [217.0, 404.0, 179.0, 18.0], 1xO5HqXfy5, 5712763]
[paragraph, [217.0, 422.0, 179.0, 18.0], 1xO5HqXfy5, 5712763]
[paragraph, [217.0, 440.0, 179.0, 18.0], 1xO5HqXfy5, 5712763]
[contact-info, [416.0, 479.0, 157.0, 18.0], ezqbGpVfjj, 5712763]
[contact-info, [416.0, 497.0, 157.0, 18.0], ezqbGpVfjj, 5712763]
[contact-info, [416.0, 515.0, 157.0, 18.0], ezqbGpVfjj, 5712763]
[contact-info, [416.0, 533.0, 157.0, 18.0], ezqbGpVfjj, 5712763]
[contact-info, [416.0, 551.0, 157.0, 18.0], ezqbGpVfjj, 5712763]
[contact-info, [416.0, 569.0, 157.0, 18.0], ezqbGpVfjj, 5712763]
[contact-info, [416.0, 587.0, 157.0, 18.0], ezqbGpVfjj, 5712763]
[contact-info, [416.0, 605.0, 157.0, 18.0], ezqbGpVfjj, 5712763]
[contact-info, [416.0, 623.0, 157.0, 18.0], ezqbGpVfjj, 5712763]
[contact-info, [416.0, 641.0, 157.0, 18.0], ezqbGpVfjj, 5712763]
