[1275, 750]
[folio, [232.0, 85.0, 283.0, 18.0], Z-oZhWhaGR, 5767069]
[folio, [232.0, 103.0, 283.0, 18.0], Z-oZhWhaGR, 5767069]
[paragraph, [60.0, 158.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 176.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 194.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 212.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 230.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 248.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 266.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 284.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 302.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 320.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 338.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 356.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 374.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 392.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 410.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 428.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 446.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 464.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 482.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 500.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 518.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 536.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 554.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 572.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 590.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 608.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 626.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 644.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 662.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 680.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[paragraph, [60.0, 698.0, 615.0, 18.0], shoonya_0sQCPRR08VBFMT, 5767069]
[section-title, [238.0, 740.0, 244.0, 30.0], shoonya_3sRPYE3GN4VZS8, 5767069]
[paragraph, [79.0, 810.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 828.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 846.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 864.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 882.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 900.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 918.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 936.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 954.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 972.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 990.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 1008.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 1026.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 1044.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 1062.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 1080.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 1098.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 1116.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 1134.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
[paragraph, [79.0, 1152.0, 597.0, 18.0], shoonya_1sFTZLMY39RORI, 5767069]
