[1754, 1241]
[paragraph, [392.0, 310.0, 433.0, 36.0], shoonya_0s6CD3K2VH0G81, 5693070]
[paragraph, [392.0, 346.0, 433.0, 36.0], shoonya_0s6CD3K2VH0G81, 5693070]
[paragraph, [392.0, 382.0, 433.0, 36.0], shoonya_0s6CD3K2VH0G81, 5693070]
[paragraph, [392.0, 418.0, 433.0, 36.0], shoonya_0s6CD3K2VH0G81, 5693070]
[paragraph, [392.0, 454.0, 433.0, 36.0], shoonya_0s6CD3K2VH0G81, 5693070]
[paragraph, [392.0, 490.0, 433.0, 36.0], shoonya_0s6CD3K2VH0G81, 5693070]
[paragraph, [392.0, 526.0, 433.0, 36.0], shoonya_0s6CD3K2VH0G81, 5693070]
[paragraph, [392.0, 562.0, 433.0, 36.0], shoonya_0s6CD3K2VH0G81, 5693070]
[paragraph, [392.0, 598.0, 433.0, 36.0], shoonya_0s6CD3K2VH0G81, 5693070]
[paragraph, [392.0, 634.0, 433.0, 36.0], shoonya_0s6CD3K2VH0G81, 5693070]
[paragraph, [392.0, 670.0, 433.0, 36.0], shoonya_0s6CD3K2VH0G81, 5693070]
[paragraph, [392.0, 706.0, 433.0, 36.0], shoonya_0s6CD3K2VH0G81, 5693070]
[paragraph, [392.0, 742.0, 433.0, 36.0], shoonya_0s6CD3K2VH0G81, 5693070]
[paragraph, [623.0, 788.0, 210.0, 36.0], S1hMYUsmNY, 5693070]
[paragraph, [199.0, 858.0, 847.0, 36.0], shoonya_1sER7ZVDR86YB8, 5693070]
[paragraph, [199.0, 894.0, 847.0, 36.0], shoonya_1sER7ZVDR86YB8, 5693070]
[paragraph, [191.0, 974.0, 311.0, 36.0], shoonya_3sRMHE2W5QN34F, 5693070]
[paragraph, [197.0, 1044.0, 853.0, 36.0], shoonya_2sKQAVRR0X2L4G, 5693070]
[paragraph, [197.0, 1080.0, 853.0, 36.0], shoonya_2sKQAVRR0X2L4G, 5693070]
[paragraph, [197.0, 1116.0, 853.0, 36.0], shoonya_2sKQAVRR0X2L4G, 5693070]
[paragraph, [197.0, 1152.0, 853.0, 36.0], shoonya_2sKQAVRR0X2L4G, 5693070]
[paragraph, [201.0, 1225.0, 860.0, 36.0], WovypN9O-G, 5693070]
[paragraph, [201.0, 1261.0, 860.0, 36.0], WovypN9O-G, 5693070]
[paragraph, [405.0, 1340.0, 484.0, 36.0], shoonya_4s5C9K5N63WIRU, 5693070]
[paragraph, [405.0, 1376.0, 484.0, 36.0], shoonya_4s5C9K5N63WIRU, 5693070]
