[975, 571]
[paragraph, [19.0, 71.0, 520.0, 18.0], shoonya_4s9EN9RT4S1B1I, 5775875]
[paragraph, [19.0, 89.0, 520.0, 18.0], shoonya_4s9EN9RT4S1B1I, 5775875]
[paragraph, [17.0, 111.0, 519.0, 18.0], shoonya_1s7NC7T37167A3, 5775875]
[paragraph, [17.0, 129.0, 519.0, 18.0], shoonya_1s7NC7T37167A3, 5775875]
[paragraph, [17.0, 147.0, 519.0, 18.0], shoonya_1s7NC7T37167A3, 5775875]
[paragraph, [17.0, 165.0, 519.0, 18.0], shoonya_1s7NC7T37167A3, 5775875]
[paragraph, [17.0, 183.0, 519.0, 18.0], shoonya_1s7NC7T37167A3, 5775875]
[paragraph, [17.0, 201.0, 519.0, 18.0], shoonya_1s7NC7T37167A3, 5775875]
[paragraph, [17.0, 219.0, 519.0, 18.0], shoonya_1s7NC7T37167A3, 5775875]
[paragraph, [17.0, 237.0, 519.0, 18.0], shoonya_1s7NC7T37167A3, 5775875]
[paragraph, [17.0, 255.0, 519.0, 18.0], shoonya_1s7NC7T37167A3, 5775875]
[paragraph, [17.0, 273.0, 519.0, 18.0], shoonya_1s7NC7T37167A3, 5775875]
[paragraph, [17.0, 291.0, 519.0, 18.0], shoonya_1s7NC7T37167A3, 5775875]
[paragraph, [17.0, 309.0, 519.0, 18.0], shoonya_1s7NC7T37167A3, 5775875]
[paragraph, [17.0, 327.0, 519.0, 18.0], shoonya_1s7NC7T37167A3, 5775875]
[paragraph, [17.0, 345.0, 519.0, 18.0], shoonya_1s7NC7T37167A3, 5775875]
[paragraph, [21.0, 367.0, 516.0, 18.0], shoonya_3sDBVS3DPJJ5I5, 5775875]
[paragraph, [21.0, 385.0, 516.0, 18.0], shoonya_3sDBVS3DPJJ5I5, 5775875]
[paragraph, [21.0, 403.0, 516.0, 18.0], shoonya_3sDBVS3DPJJ5I5, 5775875]
[paragraph, [21.0, 421.0, 516.0, 18.0], shoonya_3sDBVS3DPJJ5I5, 5775875]
[paragraph, [21.0, 439.0, 516.0, 18.0], shoonya_3sDBVS3DPJJ5I5, 5775875]
[paragraph, [21.0, 457.0, 516.0, 18.0], shoonya_3sDBVS3DPJJ5I5, 5775875]
[paragraph, [21.0, 475.0, 516.0, 18.0], shoonya_3sDBVS3DPJJ5I5, 5775875]
[paragraph, [21.0, 501.0, 513.0, 18.0], shoonya_0sZZQQZ6OR7KJP, 5775875]
[paragraph, [21.0, 519.0, 513.0, 18.0], shoonya_0sZZQQZ6OR7KJP, 5775875]
[paragraph, [21.0, 537.0, 513.0, 18.0], shoonya_0sZZQQZ6OR7KJP, 5775875]
[paragraph, [21.0, 555.0, 513.0, 18.0], shoonya_0sZZQQZ6OR7KJP, 5775875]
[paragraph, [21.0, 573.0, 513.0, 18.0], shoonya_0sZZQQZ6OR7KJP, 5775875]
[paragraph, [21.0, 591.0, 513.0, 18.0], shoonya_0sZZQQZ6OR7KJP, 5775875]
[paragraph, [21.0, 609.0, 513.0, 18.0], shoonya_0sZZQQZ6OR7KJP, 5775875]
[paragraph, [21.0, 627.0, 513.0, 18.0], shoonya_0sZZQQZ6OR7KJP, 5775875]
[paragraph, [21.0, 645.0, 513.0, 18.0], shoonya_0sZZQQZ6OR7KJP, 5775875]
[paragraph, [22.0, 673.0, 511.0, 18.0], shoonya_2sARQST0D8U2RS, 5775875]
[paragraph, [22.0, 691.0, 511.0, 18.0], shoonya_2sARQST0D8U2RS, 5775875]
[paragraph, [22.0, 709.0, 511.0, 18.0], shoonya_2sARQST0D8U2RS, 5775875]
[paragraph, [22.0, 727.0, 511.0, 18.0], shoonya_2sARQST0D8U2RS, 5775875]
[paragraph, [22.0, 745.0, 511.0, 18.0], shoonya_2sARQST0D8U2RS, 5775875]
[paragraph, [22.0, 763.0, 511.0, 18.0], shoonya_2sARQST0D8U2RS, 5775875]
[paragraph, [22.0, 781.0, 511.0, 18.0], shoonya_2sARQST0D8U2RS, 5775875]
[paragraph, [22.0, 799.0, 511.0, 18.0], shoonya_2sARQST0D8U2RS, 5775875]
[paragraph, [22.0, 817.0, 511.0, 18.0], shoonya_2sARQST0D8U2RS, 5775875]
[paragraph, [22.0, 835.0, 511.0, 18.0], shoonya_2sARQST0D8U2RS, 5775875]
[paragraph, [22.0, 853.0, 511.0, 18.0], shoonya_2sARQST0D8U2RS, 5775875]
[paragraph, [22.0, 871.0, 511.0, 18.0], shoonya_2sARQST0D8U2RS, 5775875]
