[1823, 1375]
[folio, [978.0, 104.0, 308.0, 36.0], 4nIGbxUaVw, 5684215]
[folio, [607.0, 106.0, 145.0, 36.0], wsWt2sg_Gr, 5684215]
[headline, [561.0, 173.0, 243.0, 37.5], shk_GVIqlh, 5684215]
[paragraph, [715.0, 252.0, 533.0, 36.0], 1Yu6TuFTBG, 5684215]
[paragraph, [715.0, 288.0, 533.0, 36.0], 1Yu6TuFTBG, 5684215]
[paragraph, [715.0, 324.0, 533.0, 36.0], 1Yu6TuFTBG, 5684215]
[paragraph, [106.0, 303.0, 561.0, 36.0], shoonya_1sT33KNTQRBC2F, 5684215]
[paragraph, [106.0, 339.0, 561.0, 36.0], shoonya_1sT33KNTQRBC2F, 5684215]
[paragraph, [106.0, 375.0, 561.0, 36.0], shoonya_1sT33KNTQRBC2F, 5684215]
[paragraph, [106.0, 411.0, 561.0, 36.0], shoonya_1sT33KNTQRBC2F, 5684215]
[paragraph, [106.0, 447.0, 561.0, 36.0], shoonya_1sT33KNTQRBC2F, 5684215]
[paragraph, [106.0, 483.0, 561.0, 36.0], shoonya_1sT33KNTQRBC2F, 5684215]
[paragraph, [106.0, 519.0, 561.0, 36.0], shoonya_1sT33KNTQRBC2F, 5684215]
[paragraph, [106.0, 555.0, 561.0, 36.0], shoonya_1sT33KNTQRBC2F, 5684215]
[paragraph, [106.0, 591.0, 561.0, 36.0], shoonya_1sT33KNTQRBC2F, 5684215]
[paragraph, [106.0, 627.0, 561.0, 36.0], shoonya_1sT33KNTQRBC2F, 5684215]
[paragraph, [106.0, 663.0, 561.0, 36.0], shoonya_1sT33KNTQRBC2F, 5684215]
[paragraph, [106.0, 699.0, 561.0, 36.0], shoonya_1sT33KNTQRBC2F, 5684215]
[paragraph, [106.0, 735.0, 561.0, 36.0], shoonya_1sT33KNTQRBC2F, 5684215]
[paragraph, [106.0, 771.0, 561.0, 36.0], shoonya_1sT33KNTQRBC2F, 5684215]
[paragraph, [106.0, 807.0, 561.0, 36.0], shoonya_1sT33KNTQRBC2F, 5684215]
[paragraph, [106.0, 843.0, 561.0, 36.0], shoonya_1sT33KNTQRBC2F, 5684215]
[paragraph, [690.0, 429.0, 599.0, 36.0], qVy1M0EIiJ, 5684215]
[paragraph, [690.0, 465.0, 599.0, 36.0], qVy1M0EIiJ, 5684215]
[paragraph, [690.0, 501.0, 599.0, 36.0], qVy1M0EIiJ, 5684215]
[paragraph, [690.0, 537.0, 599.0, 36.0], qVy1M0EIiJ, 5684215]
[paragraph, [690.0, 573.0, 599.0, 36.0], qVy1M0EIiJ, 5684215]
[paragraph, [690.0, 609.0, 599.0, 36.0], qVy1M0EIiJ, 5684215]
[paragraph, [690.0, 645.0, 599.0, 36.0], qVy1M0EIiJ, 5684215]
[paragraph, [690.0, 681.0, 599.0, 36.0], qVy1M0EIiJ, 5684215]
[paragraph, [690.0, 717.0, 599.0, 36.0], qVy1M0EIiJ, 5684215]
[paragraph, [690.0, 753.0, 599.0, 36.0], qVy1M0EIiJ, 5684215]
[paragraph, [690.0, 789.0, 599.0, 36.0], qVy1M0EIiJ, 5684215]
[paragraph, [690.0, 825.0, 599.0, 36.0], qVy1M0EIiJ, 5684215]
[paragraph, [702.0, 889.0, 563.0, 36.0], F8kGGolBPR, 5684215]
[paragraph, [702.0, 925.0, 563.0, 36.0], F8kGGolBPR, 5684215]
[paragraph, [702.0, 961.0, 563.0, 36.0], F8kGGolBPR, 5684215]
[paragraph, [702.0, 997.0, 563.0, 36.0], F8kGGolBPR, 5684215]
[paragraph, [702.0, 1033.0, 563.0, 36.0], F8kGGolBPR, 5684215]
[paragraph, [702.0, 1069.0, 563.0, 36.0], F8kGGolBPR, 5684215]
[paragraph, [702.0, 1105.0, 563.0, 36.0], F8kGGolBPR, 5684215]
