[2339, 1653]
[paragraph, [344.0, 181.0, 1128.0, 36.0], 1lZLCINLL-, 5734453]
[paragraph, [344.0, 217.0, 1128.0, 36.0], 1lZLCINLL-, 5734453]
[paragraph, [344.0, 253.0, 1128.0, 36.0], 1lZLCINLL-, 5734453]
[paragraph, [344.0, 289.0, 1128.0, 36.0], 1lZLCINLL-, 5734453]
[paragraph, [344.0, 325.0, 1128.0, 36.0], 1lZLCINLL-, 5734453]
[paragraph, [384.0, 377.0, 1082.0, 36.0], shoonya_2sA6PLEQUODZEV, 5734453]
[paragraph, [384.0, 413.0, 1082.0, 36.0], shoonya_2sA6PLEQUODZEV, 5734453]
[paragraph, [384.0, 449.0, 1082.0, 36.0], shoonya_2sA6PLEQUODZEV, 5734453]
[paragraph, [384.0, 485.0, 1082.0, 36.0], shoonya_2sA6PLEQUODZEV, 5734453]
[paragraph, [384.0, 521.0, 1082.0, 36.0], shoonya_2sA6PLEQUODZEV, 5734453]
[paragraph, [384.0, 557.0, 1082.0, 36.0], shoonya_2sA6PLEQUODZEV, 5734453]
[paragraph, [387.0, 608.0, 1071.0, 36.0], shoonya_0sK2I4MTBFDA2R, 5734453]
[paragraph, [387.0, 644.0, 1071.0, 36.0], shoonya_0sK2I4MTBFDA2R, 5734453]
[paragraph, [387.0, 680.0, 1071.0, 36.0], shoonya_0sK2I4MTBFDA2R, 5734453]
[paragraph, [387.0, 716.0, 1071.0, 36.0], shoonya_0sK2I4MTBFDA2R, 5734453]
[paragraph, [387.0, 752.0, 1071.0, 36.0], shoonya_0sK2I4MTBFDA2R, 5734453]
[paragraph, [387.0, 788.0, 1071.0, 36.0], shoonya_0sK2I4MTBFDA2R, 5734453]
[paragraph, [387.0, 824.0, 1071.0, 36.0], shoonya_0sK2I4MTBFDA2R, 5734453]
[paragraph, [387.0, 860.0, 1071.0, 36.0], shoonya_0sK2I4MTBFDA2R, 5734453]
[paragraph, [387.0, 896.0, 1071.0, 36.0], shoonya_0sK2I4MTBFDA2R, 5734453]
[paragraph, [387.0, 932.0, 1071.0, 36.0], shoonya_0sK2I4MTBFDA2R, 5734453]
[paragraph, [387.0, 968.0, 1071.0, 36.0], shoonya_0sK2I4MTBFDA2R, 5734453]
[paragraph, [387.0, 1004.0, 1071.0, 36.0], shoonya_0sK2I4MTBFDA2R, 5734453]
[paragraph, [387.0, 1040.0, 1071.0, 36.0], shoonya_0sK2I4MTBFDA2R, 5734453]
[paragraph, [387.0, 1076.0, 1071.0, 36.0], shoonya_0sK2I4MTBFDA2R, 5734453]
[paragraph, [387.0, 1112.0, 1071.0, 36.0], shoonya_0sK2I4MTBFDA2R, 5734453]
[paragraph, [387.0, 1148.0, 1071.0, 36.0], shoonya_0sK2I4MTBFDA2R, 5734453]
[paragraph, [391.0, 1190.0, 1073.0, 36.0], shoonya_3s8EA0D9BO2Q7W, 5734453]
[paragraph, [391.0, 1226.0, 1073.0, 36.0], shoonya_3s8EA0D9BO2Q7W, 5734453]
[paragraph, [391.0, 1262.0, 1073.0, 36.0], shoonya_3s8EA0D9BO2Q7W, 5734453]
[paragraph, [391.0, 1298.0, 1073.0, 36.0], shoonya_3s8EA0D9BO2Q7W, 5734453]
[paragraph, [391.0, 1334.0, 1073.0, 36.0], shoonya_3s8EA0D9BO2Q7W, 5734453]
[paragraph, [391.0, 1370.0, 1073.0, 36.0], shoonya_3s8EA0D9BO2Q7W, 5734453]
[paragraph, [389.0, 1540.0, 1078.0, 36.0], shoonya_1sSVK6GF6095X3, 5734453]
[paragraph, [389.0, 1576.0, 1078.0, 36.0], shoonya_1sSVK6GF6095X3, 5734453]
[paragraph, [389.0, 1612.0, 1078.0, 36.0], shoonya_1sSVK6GF6095X3, 5734453]
[paragraph, [389.0, 1648.0, 1078.0, 36.0], shoonya_1sSVK6GF6095X3, 5734453]
[paragraph, [389.0, 1684.0, 1078.0, 36.0], shoonya_1sSVK6GF6095X3, 5734453]
[paragraph, [389.0, 1720.0, 1078.0, 36.0], shoonya_1sSVK6GF6095X3, 5734453]
[paragraph, [389.0, 1756.0, 1078.0, 36.0], shoonya_1sSVK6GF6095X3, 5734453]
[paragraph, [389.0, 1792.0, 1078.0, 36.0], shoonya_1sSVK6GF6095X3, 5734453]
[paragraph, [389.0, 1828.0, 1078.0, 36.0], shoonya_1sSVK6GF6095X3, 5734453]
[paragraph, [490.0, 1890.0, 145.0, 36.0], shoonya_4sNHS3M7NY1F5N, 5734453]
[paragraph, [389.0, 1951.0, 1079.0, 36.0], shoonya_5sLKPRDCO7BM3G, 5734453]
[paragraph, [389.0, 1987.0, 1079.0, 36.0], shoonya_5sLKPRDCO7BM3G, 5734453]
[paragraph, [389.0, 2023.0, 1079.0, 36.0], shoonya_5sLKPRDCO7BM3G, 5734453]
[paragraph, [389.0, 2059.0, 1079.0, 36.0], shoonya_5sLKPRDCO7BM3G, 5734453]
[folio, [1111.0, 2185.0, 268.0, 36.0], shoonya_6s5WC0UIJ45JME, 5734453]
