[1650, 1275]
[paragraph, [187.0, 142.0, 898.0, 36.0], shoonya_0s6LCMAXCBN8ZG, 5704215]
[paragraph, [187.0, 178.0, 898.0, 36.0], shoonya_0s6LCMAXCBN8ZG, 5704215]
[paragraph, [187.0, 214.0, 898.0, 36.0], shoonya_0s6LCMAXCBN8ZG, 5704215]
[paragraph, [187.0, 250.0, 898.0, 36.0], shoonya_0s6LCMAXCBN8ZG, 5704215]
[paragraph, [183.0, 324.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 360.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 396.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 432.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 468.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 504.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 540.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 576.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 612.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 648.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 684.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 720.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 756.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 792.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 828.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 864.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 900.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 936.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 972.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 1008.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 1044.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 1080.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 1116.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 1152.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 1188.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 1224.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 1260.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 1296.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 1332.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 1368.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 1404.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
[paragraph, [183.0, 1440.0, 908.0, 36.0], CDpK8Gd1XD, 5704215]
