[1650, 1275]
[folio, [963.0, 33.0, 126.0, 36.0], shoonya_0sPKAR8FUVPASR, 5774865]
[section-title, [133.0, 87.0, 237.0, 49.5], 2kpTp3MFzT, 5774865]
[ordered-list, [140.0, 167.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 203.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 239.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 275.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 311.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 347.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 383.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 419.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 455.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 491.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 527.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 563.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 599.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 635.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 671.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 707.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 743.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 779.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 815.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 851.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 887.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 923.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 959.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 995.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 1031.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 1067.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 1103.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 1139.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 1175.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 1211.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 1247.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 1283.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 1319.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 1355.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 1391.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 1427.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 1463.0, 997.0, 36.0], VIVLNvYku9, 5774865]
[ordered-list, [140.0, 1499.0, 997.0, 36.0], VIVLNvYku9, 5774865]
