[1650, 1275]
[paragraph, [239.0, 178.0, 865.0, 36.0], shoonya_1sWQQ70BPABNBZ, 6471198]
[paragraph, [239.0, 214.0, 865.0, 36.0], shoonya_1sWQQ70BPABNBZ, 6471198]
[paragraph, [239.0, 250.0, 865.0, 36.0], shoonya_1sWQQ70BPABNBZ, 6471198]
[paragraph, [239.0, 286.0, 865.0, 36.0], shoonya_1sWQQ70BPABNBZ, 6471198]
[paragraph, [239.0, 322.0, 865.0, 36.0], shoonya_1sWQQ70BPABNBZ, 6471198]
[paragraph, [239.0, 358.0, 865.0, 36.0], shoonya_1sWQQ70BPABNBZ, 6471198]
[paragraph, [239.0, 394.0, 865.0, 36.0], shoonya_1sWQQ70BPABNBZ, 6471198]
[paragraph, [239.0, 430.0, 865.0, 36.0], shoonya_1sWQQ70BPABNBZ, 6471198]
[paragraph, [239.0, 466.0, 865.0, 36.0], shoonya_1sWQQ70BPABNBZ, 6471198]
[paragraph, [239.0, 502.0, 865.0, 36.0], shoonya_1sWQQ70BPABNBZ, 6471198]
[paragraph, [239.0, 538.0, 865.0, 36.0], shoonya_1sWQQ70BPABNBZ, 6471198]
[paragraph, [237.0, 621.0, 875.0, 36.0], shoonya_2sUVR3NG1SSZKI, 6471198]
[paragraph, [237.0, 657.0, 875.0, 36.0], shoonya_2sUVR3NG1SSZKI, 6471198]
[paragraph, [237.0, 693.0, 875.0, 36.0], shoonya_2sUVR3NG1SSZKI, 6471198]
[paragraph, [237.0, 729.0, 875.0, 36.0], shoonya_2sUVR3NG1SSZKI, 6471198]
[paragraph, [237.0, 765.0, 875.0, 36.0], shoonya_2sUVR3NG1SSZKI, 6471198]
[paragraph, [237.0, 801.0, 875.0, 36.0], shoonya_2sUVR3NG1SSZKI, 6471198]
[paragraph, [242.0, 875.0, 866.0, 36.0], shoonya_0sSWBNP9Q9XF28, 6471198]
[paragraph, [242.0, 911.0, 866.0, 36.0], shoonya_0sSWBNP9Q9XF28, 6471198]
[paragraph, [242.0, 947.0, 866.0, 36.0], shoonya_0sSWBNP9Q9XF28, 6471198]
[paragraph, [242.0, 983.0, 866.0, 36.0], shoonya_0sSWBNP9Q9XF28, 6471198]
[paragraph, [242.0, 1019.0, 866.0, 36.0], shoonya_0sSWBNP9Q9XF28, 6471198]
[paragraph, [242.0, 1055.0, 866.0, 36.0], shoonya_0sSWBNP9Q9XF28, 6471198]
[paragraph, [242.0, 1091.0, 866.0, 36.0], shoonya_0sSWBNP9Q9XF28, 6471198]
[paragraph, [242.0, 1127.0, 866.0, 36.0], shoonya_0sSWBNP9Q9XF28, 6471198]
[paragraph, [242.0, 1163.0, 866.0, 36.0], shoonya_0sSWBNP9Q9XF28, 6471198]
[paragraph, [242.0, 1199.0, 866.0, 36.0], shoonya_0sSWBNP9Q9XF28, 6471198]
[paragraph, [242.0, 1235.0, 866.0, 36.0], shoonya_0sSWBNP9Q9XF28, 6471198]
[paragraph, [242.0, 1271.0, 866.0, 36.0], shoonya_0sSWBNP9Q9XF28, 6471198]
[paragraph, [242.0, 1307.0, 866.0, 36.0], shoonya_0sSWBNP9Q9XF28, 6471198]
[paragraph, [242.0, 1343.0, 866.0, 36.0], shoonya_0sSWBNP9Q9XF28, 6471198]
[paragraph, [242.0, 1379.0, 866.0, 36.0], shoonya_0sSWBNP9Q9XF28, 6471198]
[paragraph, [242.0, 1415.0, 866.0, 36.0], shoonya_0sSWBNP9Q9XF28, 6471198]
