[1034, 680]
[folio, [228.0, 69.0, 213.0, 18.0], shoonya_0sMDYSKAOL5E6G, 5739476]
[folio, [228.0, 87.0, 213.0, 18.0], shoonya_0sMDYSKAOL5E6G, 5739476]
[paragraph, [63.0, 123.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 141.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 159.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 177.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 195.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 213.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 231.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 249.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 267.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 285.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 303.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 321.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 339.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 357.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 375.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 393.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 411.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 429.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 447.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 465.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 483.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 501.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 519.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 537.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 555.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 573.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 591.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 609.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [63.0, 627.0, 546.0, 18.0], xy7aOXPRLR, 5739476]
[paragraph, [54.0, 679.0, 558.0, 18.0], AKeCacmB8B, 5739476]
[paragraph, [54.0, 697.0, 558.0, 18.0], AKeCacmB8B, 5739476]
[paragraph, [54.0, 715.0, 558.0, 18.0], AKeCacmB8B, 5739476]
[paragraph, [54.0, 733.0, 558.0, 18.0], AKeCacmB8B, 5739476]
[paragraph, [54.0, 751.0, 558.0, 18.0], AKeCacmB8B, 5739476]
[paragraph, [54.0, 769.0, 558.0, 18.0], AKeCacmB8B, 5739476]
[paragraph, [54.0, 787.0, 558.0, 18.0], AKeCacmB8B, 5739476]
[paragraph, [54.0, 805.0, 558.0, 18.0], AKeCacmB8B, 5739476]
[paragraph, [54.0, 823.0, 558.0, 18.0], AKeCacmB8B, 5739476]
[paragraph, [54.0, 841.0, 558.0, 18.0], AKeCacmB8B, 5739476]
[paragraph, [54.0, 859.0, 558.0, 18.0], AKeCacmB8B, 5739476]
[paragraph, [54.0, 877.0, 558.0, 18.0], AKeCacmB8B, 5739476]
[paragraph, [54.0, 895.0, 558.0, 18.0], AKeCacmB8B, 5739476]
[paragraph, [54.0, 913.0, 558.0, 18.0], AKeCacmB8B, 5739476]
[paragraph, [54.0, 931.0, 558.0, 18.0], AKeCacmB8B, 5739476]
[paragraph, [54.0, 949.0, 558.0, 18.0], AKeCacmB8B, 5739476]
