[1238, 765]
[folio, [299.0, 67.0, 133.0, 18.0], At4EKpEuch, 5770429]
[folio, [299.0, 85.0, 133.0, 18.0], At4EKpEuch, 5770429]
[paragraph, [101.0, 129.0, 257.0, 18.0], tAnMonC10S, 5770429]
[paragraph, [101.0, 147.0, 257.0, 18.0], tAnMonC10S, 5770429]
[paragraph, [101.0, 165.0, 257.0, 18.0], tAnMonC10S, 5770429]
[paragraph, [101.0, 183.0, 257.0, 18.0], tAnMonC10S, 5770429]
[paragraph, [101.0, 201.0, 257.0, 18.0], tAnMonC10S, 5770429]
[paragraph, [101.0, 219.0, 257.0, 18.0], tAnMonC10S, 5770429]
[paragraph, [101.0, 237.0, 257.0, 18.0], tAnMonC10S, 5770429]
[paragraph, [101.0, 255.0, 257.0, 18.0], tAnMonC10S, 5770429]
[paragraph, [380.0, 132.0, 76.0, 18.0], Ny6kVwKYci, 5770429]
[paragraph, [375.0, 157.0, 294.0, 18.0], qxj_pDAGVB, 5770429]
[paragraph, [375.0, 175.0, 294.0, 18.0], qxj_pDAGVB, 5770429]
[paragraph, [375.0, 193.0, 294.0, 18.0], qxj_pDAGVB, 5770429]
[paragraph, [406.0, 229.0, 241.0, 18.0], X58k7nc_CJ, 5770429]
[paragraph, [406.0, 247.0, 241.0, 18.0], X58k7nc_CJ, 5770429]
[paragraph, [98.0, 273.0, 222.0, 18.0], v2Uvzq4G22, 5770429]
[paragraph, [98.0, 291.0, 222.0, 18.0], v2Uvzq4G22, 5770429]
[paragraph, [402.0, 276.0, 258.0, 18.0], SjL8i-95BC, 5770429]
[paragraph, [402.0, 294.0, 258.0, 18.0], SjL8i-95BC, 5770429]
[paragraph, [95.0, 319.0, 212.0, 18.0], vBE8FDYgxz, 5770429]
[paragraph, [95.0, 337.0, 212.0, 18.0], vBE8FDYgxz, 5770429]
[paragraph, [384.0, 325.0, 287.0, 18.0], hfKCMhiUuH, 5770429]
[paragraph, [384.0, 343.0, 287.0, 18.0], hfKCMhiUuH, 5770429]
[paragraph, [111.0, 365.0, 219.0, 18.0], rSFku329pQ, 5770429]
[paragraph, [379.0, 369.0, 299.0, 18.0], c1zhXurh6N, 5770429]
[paragraph, [379.0, 387.0, 299.0, 18.0], c1zhXurh6N, 5770429]
[paragraph, [379.0, 405.0, 299.0, 18.0], c1zhXurh6N, 5770429]
[paragraph, [88.0, 390.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 408.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 426.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 444.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 462.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 480.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 498.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 516.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 534.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 552.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 570.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 588.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 606.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 624.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 642.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 660.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 678.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 696.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 714.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 732.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 750.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 768.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 786.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 804.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 822.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 840.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 858.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 876.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 894.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [88.0, 912.0, 285.0, 18.0], Djd1RXJdT2, 5770429]
[paragraph, [404.0, 442.0, 263.0, 18.0], cUZ0zXjKg-, 5770429]
[paragraph, [404.0, 460.0, 263.0, 18.0], cUZ0zXjKg-, 5770429]
[paragraph, [404.0, 478.0, 263.0, 18.0], cUZ0zXjKg-, 5770429]
[paragraph, [404.0, 496.0, 263.0, 18.0], cUZ0zXjKg-, 5770429]
[paragraph, [404.0, 514.0, 263.0, 18.0], cUZ0zXjKg-, 5770429]
[paragraph, [384.0, 537.0, 284.0, 18.0], WLosMfDZHI, 5770429]
[paragraph, [384.0, 555.0, 284.0, 18.0], WLosMfDZHI, 5770429]
[paragraph, [384.0, 573.0, 284.0, 18.0], WLosMfDZHI, 5770429]
[paragraph, [384.0, 591.0, 284.0, 18.0], WLosMfDZHI, 5770429]
[paragraph, [384.0, 609.0, 284.0, 18.0], WLosMfDZHI, 5770429]
[paragraph, [384.0, 627.0, 284.0, 18.0], WLosMfDZHI, 5770429]
