[3968, 2806]
[paragraph, [1423.0, 339.0, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [1423.0, 391.5, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [1423.0, 444.0, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [1423.0, 496.5, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [1423.0, 549.0, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [1423.0, 601.5, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [1423.0, 654.0, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [1423.0, 706.5, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [1423.0, 759.0, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [1423.0, 811.5, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [1423.0, 864.0, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [1423.0, 916.5, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [1423.0, 969.0, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [1423.0, 1021.5, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [1423.0, 1074.0, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [1423.0, 1126.5, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [1423.0, 1179.0, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [1423.0, 1231.5, 1198.0, 52.5], shoonya_0sQYFHSDFP5D9X, 5684340]
[paragraph, [174.0, 356.0, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[paragraph, [174.0, 408.5, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[paragraph, [174.0, 461.0, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[paragraph, [174.0, 513.5, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[paragraph, [174.0, 566.0, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[paragraph, [174.0, 618.5, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[paragraph, [174.0, 671.0, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[paragraph, [174.0, 723.5, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[paragraph, [174.0, 776.0, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[paragraph, [174.0, 828.5, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[paragraph, [174.0, 881.0, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[paragraph, [174.0, 933.5, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[paragraph, [174.0, 986.0, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[paragraph, [174.0, 1038.5, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[paragraph, [174.0, 1091.0, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[paragraph, [174.0, 1143.5, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[paragraph, [174.0, 1196.0, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[paragraph, [174.0, 1248.5, 1174.0, 52.5], shoonya_1sVSKDZ53QWXSM, 5684340]
[figure-caption, [988.0, 2598.0, 821.0, 52.5], 4IgFLHsEJV, 5684340]
[figure-caption, [988.0, 2650.5, 821.0, 52.5], 4IgFLHsEJV, 5684340]
[figure-caption, [988.0, 2703.0, 821.0, 52.5], 4IgFLHsEJV, 5684340]
[figure-caption, [988.0, 2755.5, 821.0, 52.5], 4IgFLHsEJV, 5684340]
[figure-caption, [988.0, 2808.0, 821.0, 52.5], 4IgFLHsEJV, 5684340]
[figure-caption, [988.0, 2860.5, 821.0, 52.5], 4IgFLHsEJV, 5684340]
[figure-caption, [988.0, 2913.0, 821.0, 52.5], 4IgFLHsEJV, 5684340]
[folio, [264.0, 3817.0, 706.0, 52.5], shoonya_4s0E952IVZSSQP, 5684340]
