[1518, 1075]
[folio, [443.0, 107.0, 83.0, 36.0], gtKHpk9yKV, 5722529]
[paragraph, [534.0, 173.0, 430.0, 36.0], shoonya_11sDQU6AKW75LY, 5722529]
[paragraph, [534.0, 209.0, 430.0, 36.0], shoonya_11sDQU6AKW75LY, 5722529]
[paragraph, [534.0, 245.0, 430.0, 36.0], shoonya_11sDQU6AKW75LY, 5722529]
[paragraph, [534.0, 281.0, 430.0, 36.0], shoonya_11sDQU6AKW75LY, 5722529]
[author, [90.0, 217.0, 430.0, 36.0], n_9fYsuAK2, 5722529]
[paragraph, [85.0, 254.0, 436.0, 36.0], shoonya_0sA6M0U0XI4J5S, 5722529]
[paragraph, [85.0, 290.0, 436.0, 36.0], shoonya_0sA6M0U0XI4J5S, 5722529]
[paragraph, [85.0, 326.0, 436.0, 36.0], shoonya_0sA6M0U0XI4J5S, 5722529]
[paragraph, [85.0, 362.0, 436.0, 36.0], shoonya_0sA6M0U0XI4J5S, 5722529]
[paragraph, [85.0, 398.0, 436.0, 36.0], shoonya_0sA6M0U0XI4J5S, 5722529]
[paragraph, [85.0, 434.0, 436.0, 36.0], shoonya_0sA6M0U0XI4J5S, 5722529]
[paragraph, [85.0, 470.0, 436.0, 36.0], shoonya_0sA6M0U0XI4J5S, 5722529]
[paragraph, [85.0, 506.0, 436.0, 36.0], shoonya_0sA6M0U0XI4J5S, 5722529]
[paragraph, [85.0, 542.0, 436.0, 36.0], shoonya_0sA6M0U0XI4J5S, 5722529]
[paragraph, [85.0, 578.0, 436.0, 36.0], shoonya_0sA6M0U0XI4J5S, 5722529]
[paragraph, [85.0, 614.0, 436.0, 36.0], shoonya_0sA6M0U0XI4J5S, 5722529]
[author, [559.0, 384.0, 380.0, 36.0], shoonya_13sT0IOH4MB1IL, 5722529]
[paragraph, [533.0, 438.0, 427.0, 36.0], shoonya_1sWX619RPWKLY5, 5722529]
[paragraph, [533.0, 474.0, 427.0, 36.0], shoonya_1sWX619RPWKLY5, 5722529]
[paragraph, [533.0, 510.0, 427.0, 36.0], shoonya_1sWX619RPWKLY5, 5722529]
[paragraph, [533.0, 546.0, 427.0, 36.0], shoonya_1sWX619RPWKLY5, 5722529]
[paragraph, [533.0, 582.0, 427.0, 36.0], shoonya_1sWX619RPWKLY5, 5722529]
[paragraph, [533.0, 618.0, 427.0, 36.0], shoonya_1sWX619RPWKLY5, 5722529]
[paragraph, [533.0, 654.0, 427.0, 36.0], shoonya_1sWX619RPWKLY5, 5722529]
[paragraph, [533.0, 690.0, 427.0, 36.0], shoonya_1sWX619RPWKLY5, 5722529]
[paragraph, [533.0, 726.0, 427.0, 36.0], shoonya_1sWX619RPWKLY5, 5722529]
[paragraph, [533.0, 762.0, 427.0, 36.0], shoonya_1sWX619RPWKLY5, 5722529]
[paragraph, [533.0, 798.0, 427.0, 36.0], shoonya_1sWX619RPWKLY5, 5722529]
[paragraph, [92.0, 722.0, 426.0, 36.0], shoonya_2sXRD297JCDT9Q, 5722529]
[paragraph, [92.0, 758.0, 426.0, 36.0], shoonya_2sXRD297JCDT9Q, 5722529]
[paragraph, [92.0, 794.0, 426.0, 36.0], shoonya_2sXRD297JCDT9Q, 5722529]
[paragraph, [92.0, 830.0, 426.0, 36.0], shoonya_2sXRD297JCDT9Q, 5722529]
[paragraph, [92.0, 866.0, 426.0, 36.0], shoonya_2sXRD297JCDT9Q, 5722529]
[paragraph, [92.0, 902.0, 426.0, 36.0], shoonya_2sXRD297JCDT9Q, 5722529]
[paragraph, [92.0, 938.0, 426.0, 36.0], shoonya_2sXRD297JCDT9Q, 5722529]
[author, [548.0, 880.0, 403.0, 36.0], shoonya_12s7HU4VRZU9GF, 5722529]
[paragraph, [531.0, 931.0, 429.0, 36.0], shoonya_4sFDXZ4U61343S, 5722529]
[paragraph, [531.0, 967.0, 429.0, 36.0], shoonya_4sFDXZ4U61343S, 5722529]
[paragraph, [531.0, 1003.0, 429.0, 36.0], shoonya_4sFDXZ4U61343S, 5722529]
[paragraph, [531.0, 1039.0, 429.0, 36.0], shoonya_4sFDXZ4U61343S, 5722529]
[paragraph, [531.0, 1075.0, 429.0, 36.0], shoonya_4sFDXZ4U61343S, 5722529]
[paragraph, [531.0, 1111.0, 429.0, 36.0], shoonya_4sFDXZ4U61343S, 5722529]
[paragraph, [531.0, 1147.0, 429.0, 36.0], shoonya_4sFDXZ4U61343S, 5722529]
[author, [112.0, 1038.0, 381.0, 36.0], shoonya_7s1W0TS9739TDG, 5722529]
[paragraph, [89.0, 1091.0, 430.0, 36.0], shoonya_3s2K09157YKW9C, 5722529]
[paragraph, [89.0, 1127.0, 430.0, 36.0], shoonya_3s2K09157YKW9C, 5722529]
[paragraph, [89.0, 1163.0, 430.0, 36.0], shoonya_3s2K09157YKW9C, 5722529]
[paragraph, [89.0, 1199.0, 430.0, 36.0], shoonya_3s2K09157YKW9C, 5722529]
[paragraph, [89.0, 1235.0, 430.0, 36.0], shoonya_3s2K09157YKW9C, 5722529]
[paragraph, [89.0, 1271.0, 430.0, 36.0], shoonya_3s2K09157YKW9C, 5722529]
[author, [545.0, 1218.0, 412.0, 36.0], tKI20BLUpi, 5722529]
[paragraph, [532.0, 1251.0, 429.0, 36.0], shoonya_6sIJ6O63M50RNF, 5722529]
[paragraph, [532.0, 1287.0, 429.0, 36.0], shoonya_6sIJ6O63M50RNF, 5722529]
[footnote, [227.0, 1335.0, 603.0, 36.0], NIEHi-rxMs, 5722529]
[folio, [598.0, 1380.0, 283.0, 36.0], shoonya_15sBTI08A5CFWC, 5722529]
