[1398, 1050]
[paragraph, [97.0, 144.0, 840.0, 18.0], 9LqZ3BMMLy, 6469274]
[paragraph, [97.0, 162.0, 840.0, 18.0], 9LqZ3BMMLy, 6469274]
[paragraph, [97.0, 180.0, 840.0, 18.0], 9LqZ3BMMLy, 6469274]
[paragraph, [99.0, 221.0, 830.0, 18.0], EOhKdN2ldk, 6469274]
[paragraph, [99.0, 239.0, 830.0, 18.0], EOhKdN2ldk, 6469274]
[paragraph, [99.0, 257.0, 830.0, 18.0], EOhKdN2ldk, 6469274]
[paragraph, [99.0, 275.0, 830.0, 18.0], EOhKdN2ldk, 6469274]
[paragraph, [99.0, 293.0, 830.0, 18.0], EOhKdN2ldk, 6469274]
[paragraph, [97.0, 347.0, 829.0, 18.0], XiTvAZCp6h, 6469274]
[paragraph, [97.0, 365.0, 829.0, 18.0], XiTvAZCp6h, 6469274]
[paragraph, [94.0, 425.0, 838.0, 18.0], shoonya_0sQNVAPEBV0DJI, 6469274]
[paragraph, [94.0, 443.0, 838.0, 18.0], shoonya_0sQNVAPEBV0DJI, 6469274]
[paragraph, [94.0, 461.0, 838.0, 18.0], shoonya_0sQNVAPEBV0DJI, 6469274]
[paragraph, [94.0, 479.0, 838.0, 18.0], shoonya_0sQNVAPEBV0DJI, 6469274]
[paragraph, [94.0, 497.0, 838.0, 18.0], shoonya_0sQNVAPEBV0DJI, 6469274]
[paragraph, [94.0, 515.0, 838.0, 18.0], shoonya_0sQNVAPEBV0DJI, 6469274]
[paragraph, [94.0, 533.0, 838.0, 18.0], shoonya_0sQNVAPEBV0DJI, 6469274]
[paragraph, [94.0, 551.0, 838.0, 18.0], shoonya_0sQNVAPEBV0DJI, 6469274]
[paragraph, [94.0, 569.0, 838.0, 18.0], shoonya_0sQNVAPEBV0DJI, 6469274]
[paragraph, [94.0, 587.0, 838.0, 18.0], shoonya_0sQNVAPEBV0DJI, 6469274]
[paragraph, [94.0, 605.0, 838.0, 18.0], shoonya_0sQNVAPEBV0DJI, 6469274]
[paragraph, [94.0, 623.0, 838.0, 18.0], shoonya_0sQNVAPEBV0DJI, 6469274]
[paragraph, [94.0, 641.0, 838.0, 18.0], shoonya_0sQNVAPEBV0DJI, 6469274]
[paragraph, [94.0, 659.0, 838.0, 18.0], shoonya_0sQNVAPEBV0DJI, 6469274]
[paragraph, [94.0, 677.0, 838.0, 18.0], shoonya_0sQNVAPEBV0DJI, 6469274]
[paragraph, [94.0, 695.0, 838.0, 18.0], shoonya_0sQNVAPEBV0DJI, 6469274]
[paragraph, [95.0, 739.0, 838.0, 18.0], YnS91kvS9W, 6469274]
[paragraph, [95.0, 757.0, 838.0, 18.0], YnS91kvS9W, 6469274]
[paragraph, [93.0, 812.0, 842.0, 18.0], J2puh2c8fD, 6469274]
[paragraph, [93.0, 830.0, 842.0, 18.0], J2puh2c8fD, 6469274]
[paragraph, [93.0, 848.0, 842.0, 18.0], J2puh2c8fD, 6469274]
[paragraph, [93.0, 866.0, 842.0, 18.0], J2puh2c8fD, 6469274]
[paragraph, [93.0, 884.0, 842.0, 18.0], J2puh2c8fD, 6469274]
[paragraph, [93.0, 902.0, 842.0, 18.0], J2puh2c8fD, 6469274]
[paragraph, [93.0, 920.0, 842.0, 18.0], J2puh2c8fD, 6469274]
[paragraph, [87.0, 984.0, 846.0, 18.0], wlnBW1ZQAD, 6469274]
[paragraph, [87.0, 1002.0, 846.0, 18.0], wlnBW1ZQAD, 6469274]
[paragraph, [87.0, 1020.0, 846.0, 18.0], wlnBW1ZQAD, 6469274]
[paragraph, [87.0, 1038.0, 846.0, 18.0], wlnBW1ZQAD, 6469274]
[paragraph, [87.0, 1056.0, 846.0, 18.0], wlnBW1ZQAD, 6469274]
[paragraph, [87.0, 1074.0, 846.0, 18.0], wlnBW1ZQAD, 6469274]
[paragraph, [87.0, 1092.0, 846.0, 18.0], wlnBW1ZQAD, 6469274]
[paragraph, [87.0, 1110.0, 846.0, 18.0], wlnBW1ZQAD, 6469274]
[paragraph, [87.0, 1128.0, 846.0, 18.0], wlnBW1ZQAD, 6469274]
[paragraph, [87.0, 1146.0, 846.0, 18.0], wlnBW1ZQAD, 6469274]
[paragraph, [87.0, 1164.0, 846.0, 18.0], wlnBW1ZQAD, 6469274]
[paragraph, [87.0, 1182.0, 846.0, 18.0], wlnBW1ZQAD, 6469274]
[paragraph, [87.0, 1200.0, 846.0, 18.0], wlnBW1ZQAD, 6469274]
[paragraph, [87.0, 1218.0, 846.0, 18.0], wlnBW1ZQAD, 6469274]
[paragraph, [87.0, 1236.0, 846.0, 18.0], wlnBW1ZQAD, 6469274]
[paragraph, [87.0, 1254.0, 846.0, 18.0], wlnBW1ZQAD, 6469274]
[folio, [765.0, 1325.0, 161.0, 18.0], Vc7QW1SCVj, 6469274]
