[3508, 2481]
[contact-info, [521.0, 108.0, 1432.0, 52.5], O8knGmZ-Ve, 6491086]
[contact-info, [521.0, 160.5, 1432.0, 52.5], O8knGmZ-Ve, 6491086]
[contact-info, [607.0, 446.0, 1259.0, 52.5], i8O1le03Zk, 6491086]
[contact-info, [607.0, 498.5, 1259.0, 52.5], i8O1le03Zk, 6491086]
[contact-info, [607.0, 551.0, 1259.0, 52.5], i8O1le03Zk, 6491086]
[headline, [1076.0, 666.0, 297.0, 52.5], uyqoau9DRx, 6491086]
[headline, [1076.0, 718.5, 297.0, 52.5], uyqoau9DRx, 6491086]
[paragraph, [223.0, 1159.0, 462.0, 52.5], V397TazhBZ, 6491086]
[paragraph, [204.0, 1258.0, 2074.0, 52.5], JspdL7s2kO, 6491086]
[paragraph, [204.0, 1310.5, 2074.0, 52.5], JspdL7s2kO, 6491086]
[paragraph, [204.0, 1363.0, 2074.0, 52.5], JspdL7s2kO, 6491086]
[paragraph, [204.0, 1415.5, 2074.0, 52.5], JspdL7s2kO, 6491086]
[paragraph, [204.0, 1468.0, 2074.0, 52.5], JspdL7s2kO, 6491086]
[paragraph, [204.0, 1520.5, 2074.0, 52.5], JspdL7s2kO, 6491086]
[paragraph, [220.0, 1865.0, 2068.0, 52.5], tt5hatQmtT, 6491086]
[paragraph, [220.0, 1917.5, 2068.0, 52.5], tt5hatQmtT, 6491086]
[paragraph, [220.0, 1970.0, 2068.0, 52.5], tt5hatQmtT, 6491086]
[paragraph, [220.0, 2022.5, 2068.0, 52.5], tt5hatQmtT, 6491086]
[contact-info, [1801.0, 2386.0, 474.0, 52.5], HZ9FdtylOM, 6491086]
[contact-info, [1801.0, 2438.5, 474.0, 52.5], HZ9FdtylOM, 6491086]
[contact-info, [1746.0, 3272.0, 539.0, 52.5], u12DW_vp15, 6491086]
