[2200, 1700]
[folio, [1334.0, 59.0, 274.0, 36.0], 4XWxhWs1ar, 5755382]
[dateline, [159.0, 142.0, 437.0, 64.5], -yzEYXXCRE, 5755382]
[folio, [1298.0, 146.0, 267.0, 36.0], ZZq2sfxAel, 5755382]
[placeholder-text, [164.0, 411.0, 1375.0, 18.0], shoonya_3sD9C28HSBU00B, 5755382]
[placeholder-text, [164.0, 429.0, 1375.0, 18.0], shoonya_3sD9C28HSBU00B, 5755382]
[placeholder-text, [164.0, 447.0, 1375.0, 18.0], shoonya_3sD9C28HSBU00B, 5755382]
[placeholder-text, [164.0, 465.0, 1375.0, 18.0], shoonya_3sD9C28HSBU00B, 5755382]
[placeholder-text, [164.0, 483.0, 1375.0, 18.0], shoonya_3sD9C28HSBU00B, 5755382]
[placeholder-text, [164.0, 501.0, 1375.0, 18.0], shoonya_3sD9C28HSBU00B, 5755382]
[placeholder-text, [164.0, 519.0, 1375.0, 18.0], shoonya_3sD9C28HSBU00B, 5755382]
[placeholder-text, [170.0, 709.0, 1379.0, 18.0], _033DVNGkt, 5755382]
[placeholder-text, [170.0, 727.0, 1379.0, 18.0], _033DVNGkt, 5755382]
[placeholder-text, [170.0, 745.0, 1379.0, 18.0], _033DVNGkt, 5755382]
[placeholder-text, [170.0, 763.0, 1379.0, 18.0], _033DVNGkt, 5755382]
[placeholder-text, [170.0, 781.0, 1379.0, 18.0], _033DVNGkt, 5755382]
[placeholder-text, [170.0, 799.0, 1379.0, 18.0], _033DVNGkt, 5755382]
[placeholder-text, [170.0, 817.0, 1379.0, 18.0], _033DVNGkt, 5755382]
[placeholder-text, [357.0, 1335.0, 203.0, 18.0], RZNeS8F2MP, 5755382]
[placeholder-text, [357.0, 1353.0, 203.0, 18.0], RZNeS8F2MP, 5755382]
[placeholder-text, [357.0, 1371.0, 203.0, 18.0], RZNeS8F2MP, 5755382]
[placeholder-text, [357.0, 1389.0, 203.0, 18.0], RZNeS8F2MP, 5755382]
[placeholder-text, [357.0, 1407.0, 203.0, 18.0], RZNeS8F2MP, 5755382]
[placeholder-text, [357.0, 1425.0, 203.0, 18.0], RZNeS8F2MP, 5755382]
[placeholder-text, [357.0, 1443.0, 203.0, 18.0], RZNeS8F2MP, 5755382]
[placeholder-text, [357.0, 1461.0, 203.0, 18.0], RZNeS8F2MP, 5755382]
[placeholder-text, [357.0, 1479.0, 203.0, 18.0], RZNeS8F2MP, 5755382]
[placeholder-text, [716.0, 1346.0, 195.0, 18.0], oYlxTaAuhH, 5755382]
[placeholder-text, [716.0, 1364.0, 195.0, 18.0], oYlxTaAuhH, 5755382]
[placeholder-text, [716.0, 1382.0, 195.0, 18.0], oYlxTaAuhH, 5755382]
[placeholder-text, [716.0, 1400.0, 195.0, 18.0], oYlxTaAuhH, 5755382]
[placeholder-text, [716.0, 1418.0, 195.0, 18.0], oYlxTaAuhH, 5755382]
[placeholder-text, [716.0, 1436.0, 195.0, 18.0], oYlxTaAuhH, 5755382]
[placeholder-text, [716.0, 1454.0, 195.0, 18.0], oYlxTaAuhH, 5755382]
[placeholder-text, [716.0, 1472.0, 195.0, 18.0], oYlxTaAuhH, 5755382]
[placeholder-text, [716.0, 1490.0, 195.0, 18.0], oYlxTaAuhH, 5755382]
[placeholder-text, [684.0, 1855.0, 231.0, 18.0], JCQT93qmLp, 5755382]
[placeholder-text, [684.0, 1873.0, 231.0, 18.0], JCQT93qmLp, 5755382]
[placeholder-text, [684.0, 1891.0, 231.0, 18.0], JCQT93qmLp, 5755382]
[placeholder-text, [684.0, 1909.0, 231.0, 18.0], JCQT93qmLp, 5755382]
[placeholder-text, [684.0, 1927.0, 231.0, 18.0], JCQT93qmLp, 5755382]
[placeholder-text, [684.0, 1945.0, 231.0, 18.0], JCQT93qmLp, 5755382]
[placeholder-text, [684.0, 1963.0, 231.0, 18.0], JCQT93qmLp, 5755382]
[placeholder-text, [684.0, 1981.0, 231.0, 18.0], JCQT93qmLp, 5755382]
[placeholder-text, [684.0, 1999.0, 231.0, 18.0], JCQT93qmLp, 5755382]
[placeholder-text, [684.0, 2017.0, 231.0, 18.0], JCQT93qmLp, 5755382]
