[842, 596]
[website-link, [400.0, 26.0, 129.0, 18.0], MbmC0EM_Xi, 6463608]
[folio, [64.0, 27.0, 75.0, 18.0], shoonya_0s1MXRA9GT4C8W, 6463608]
[paragraph, [130.0, 67.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 85.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 103.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 121.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 139.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 157.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 175.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 193.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 211.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 229.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 247.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 265.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 283.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 301.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 319.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 337.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 355.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 373.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 391.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 409.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 427.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 445.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 463.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 481.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 499.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 517.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 535.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 553.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 571.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [130.0, 589.0, 335.0, 18.0], gG3GxI42Zt, 6463608]
[paragraph, [128.0, 612.0, 369.0, 18.0], eAMRD6XNTl, 6463608]
[paragraph, [123.0, 646.0, 324.0, 18.0], 2wiEMZKA8R, 6463608]
[paragraph, [134.0, 684.0, 259.0, 18.0], _b6HE0CnEC, 6463608]
[paragraph, [134.0, 702.0, 259.0, 18.0], _b6HE0CnEC, 6463608]
[paragraph, [134.0, 720.0, 259.0, 18.0], _b6HE0CnEC, 6463608]
