[3509, 2482]
[folio, [840.0, 224.0, 509.0, 52.5], QYe1iSqYuV, 5692061]
[paragraph, [204.0, 350.0, 1808.0, 52.5], _1vivBqruj, 5692061]
[paragraph, [204.0, 402.5, 1808.0, 52.5], _1vivBqruj, 5692061]
[paragraph, [204.0, 455.0, 1808.0, 52.5], _1vivBqruj, 5692061]
[paragraph, [204.0, 507.5, 1808.0, 52.5], _1vivBqruj, 5692061]
[paragraph, [204.0, 560.0, 1808.0, 52.5], _1vivBqruj, 5692061]
[paragraph, [204.0, 612.5, 1808.0, 52.5], _1vivBqruj, 5692061]
[paragraph, [204.0, 665.0, 1808.0, 52.5], _1vivBqruj, 5692061]
[paragraph, [204.0, 717.5, 1808.0, 52.5], _1vivBqruj, 5692061]
[paragraph, [204.0, 770.0, 1808.0, 52.5], _1vivBqruj, 5692061]
[paragraph, [204.0, 822.5, 1808.0, 52.5], _1vivBqruj, 5692061]
[paragraph, [297.0, 902.0, 1067.0, 52.5], QYByZYgrFK, 5692061]
[paragraph, [304.0, 980.0, 573.0, 52.5], TStGM-oiPp, 5692061]
[paragraph, [229.0, 1054.0, 1756.0, 52.5], ByFVedLHYI, 5692061]
[paragraph, [229.0, 1106.5, 1756.0, 52.5], ByFVedLHYI, 5692061]
[paragraph, [229.0, 1159.0, 1756.0, 52.5], ByFVedLHYI, 5692061]
[paragraph, [229.0, 1211.5, 1756.0, 52.5], ByFVedLHYI, 5692061]
[paragraph, [297.0, 1299.0, 1113.0, 52.5], XhV8oYaUWp, 5692061]
[paragraph, [313.0, 1371.0, 1669.0, 52.5], GvYOWciXbV, 5692061]
[paragraph, [276.0, 1448.0, 657.0, 52.5], B50BgBA5Iw, 5692061]
[paragraph, [322.0, 1526.0, 1290.0, 52.5], eR8N5BN8k5, 5692061]
[paragraph, [210.0, 1600.0, 1796.0, 52.5], u1x3P74x9p, 5692061]
[paragraph, [210.0, 1652.5, 1796.0, 52.5], u1x3P74x9p, 5692061]
[paragraph, [210.0, 1705.0, 1796.0, 52.5], u1x3P74x9p, 5692061]
[paragraph, [297.0, 1765.0, 434.0, 52.5], 8DQHIDYC6n, 5692061]
[paragraph, [297.0, 1839.0, 546.0, 52.5], MFUA_3BKlU, 5692061]
[paragraph, [220.0, 1920.0, 1777.0, 52.5], sf-pbT3-7H, 5692061]
[paragraph, [220.0, 1972.5, 1777.0, 52.5], sf-pbT3-7H, 5692061]
[paragraph, [220.0, 2025.0, 1777.0, 52.5], sf-pbT3-7H, 5692061]
[paragraph, [220.0, 2077.5, 1777.0, 52.5], sf-pbT3-7H, 5692061]
[paragraph, [307.0, 2156.0, 1185.0, 52.5], DbZ-PvFCxo, 5692061]
[paragraph, [217.0, 2227.0, 1765.0, 52.5], 6ju2bY7D4W, 5692061]
[paragraph, [217.0, 2279.5, 1765.0, 52.5], 6ju2bY7D4W, 5692061]
[paragraph, [223.0, 2382.0, 1759.0, 52.5], Du-K3KBzAr, 5692061]
[paragraph, [223.0, 2434.5, 1759.0, 52.5], Du-K3KBzAr, 5692061]
[paragraph, [291.0, 2537.0, 1163.0, 52.5], VfW1k_Yq3e, 5692061]
[paragraph, [217.0, 2618.0, 1765.0, 52.5], F-O5X2-Msn, 5692061]
[paragraph, [217.0, 2670.5, 1765.0, 52.5], F-O5X2-Msn, 5692061]
[paragraph, [217.0, 2723.0, 1765.0, 52.5], F-O5X2-Msn, 5692061]
[paragraph, [310.0, 2773.0, 1321.0, 52.5], bpIJkQh158, 5692061]
[paragraph, [294.0, 2845.0, 645.0, 52.5], 0ITsahwhgC, 5692061]
[paragraph, [210.0, 2925.0, 1787.0, 52.5], y_FsrezFGb, 5692061]
[paragraph, [210.0, 2977.5, 1787.0, 52.5], y_FsrezFGb, 5692061]
[paragraph, [210.0, 3030.0, 1787.0, 52.5], y_FsrezFGb, 5692061]
[paragraph, [210.0, 3082.5, 1787.0, 52.5], y_FsrezFGb, 5692061]
[paragraph, [285.0, 3164.0, 412.0, 52.5], Uy31taoGbo, 5692061]
[paragraph, [294.0, 3242.0, 679.0, 52.5], 03XNS38rPF, 5692061]
