[1565, 1152]
[paragraph, [735.0, 117.0, 317.0, 36.0], shoonya_2sXECFW8H8P5ZR, 5712970]
[paragraph, [735.0, 153.0, 317.0, 36.0], shoonya_2sXECFW8H8P5ZR, 5712970]
[paragraph, [735.0, 189.0, 317.0, 36.0], shoonya_2sXECFW8H8P5ZR, 5712970]
[paragraph, [735.0, 225.0, 317.0, 36.0], shoonya_2sXECFW8H8P5ZR, 5712970]
[paragraph, [735.0, 261.0, 317.0, 36.0], shoonya_2sXECFW8H8P5ZR, 5712970]
[paragraph, [418.0, 119.0, 306.0, 36.0], 5zHY4JZFoz, 5712970]
[paragraph, [418.0, 155.0, 306.0, 36.0], 5zHY4JZFoz, 5712970]
[paragraph, [115.0, 135.0, 228.0, 36.0], shoonya_9sEDV4Z9BV48P9, 5712970]
[paragraph, [115.0, 171.0, 228.0, 36.0], shoonya_9sEDV4Z9BV48P9, 5712970]
[paragraph, [115.0, 207.0, 228.0, 36.0], shoonya_9sEDV4Z9BV48P9, 5712970]
[paragraph, [421.0, 223.0, 306.0, 36.0], shoonya_8sVHHWEXZK0PGD, 5712970]
[paragraph, [421.0, 259.0, 306.0, 36.0], shoonya_8sVHHWEXZK0PGD, 5712970]
[paragraph, [421.0, 295.0, 306.0, 36.0], shoonya_8sVHHWEXZK0PGD, 5712970]
[paragraph, [421.0, 331.0, 306.0, 36.0], shoonya_8sVHHWEXZK0PGD, 5712970]
[paragraph, [421.0, 367.0, 306.0, 36.0], shoonya_8sVHHWEXZK0PGD, 5712970]
[paragraph, [421.0, 403.0, 306.0, 36.0], shoonya_8sVHHWEXZK0PGD, 5712970]
[paragraph, [421.0, 439.0, 306.0, 36.0], shoonya_8sVHHWEXZK0PGD, 5712970]
[paragraph, [110.0, 248.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 284.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 320.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 356.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 392.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 428.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 464.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 500.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 536.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 572.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 608.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 644.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 680.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 716.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 752.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 788.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 824.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 860.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 896.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 932.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 968.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 1004.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [110.0, 1040.0, 303.0, 36.0], shoonya_6sLMSPYB3M57DN, 5712970]
[paragraph, [732.0, 323.0, 318.0, 36.0], shoonya_1sT6QOZV44QPSZ, 5712970]
[paragraph, [732.0, 359.0, 318.0, 36.0], shoonya_1sT6QOZV44QPSZ, 5712970]
[paragraph, [732.0, 395.0, 318.0, 36.0], shoonya_1sT6QOZV44QPSZ, 5712970]
[paragraph, [732.0, 431.0, 318.0, 36.0], shoonya_1sT6QOZV44QPSZ, 5712970]
[paragraph, [732.0, 467.0, 318.0, 36.0], shoonya_1sT6QOZV44QPSZ, 5712970]
[paragraph, [732.0, 503.0, 318.0, 36.0], shoonya_1sT6QOZV44QPSZ, 5712970]
[paragraph, [732.0, 539.0, 318.0, 36.0], shoonya_1sT6QOZV44QPSZ, 5712970]
[paragraph, [732.0, 575.0, 318.0, 36.0], shoonya_1sT6QOZV44QPSZ, 5712970]
[paragraph, [732.0, 611.0, 318.0, 36.0], shoonya_1sT6QOZV44QPSZ, 5712970]
[paragraph, [732.0, 647.0, 318.0, 36.0], shoonya_1sT6QOZV44QPSZ, 5712970]
[paragraph, [421.0, 479.0, 299.0, 36.0], shoonya_4sP9NGJD59C9QX, 5712970]
[paragraph, [421.0, 515.0, 299.0, 36.0], shoonya_4sP9NGJD59C9QX, 5712970]
[paragraph, [421.0, 551.0, 299.0, 36.0], shoonya_4sP9NGJD59C9QX, 5712970]
[paragraph, [421.0, 587.0, 299.0, 36.0], shoonya_4sP9NGJD59C9QX, 5712970]
[paragraph, [421.0, 623.0, 299.0, 36.0], shoonya_4sP9NGJD59C9QX, 5712970]
[paragraph, [421.0, 659.0, 299.0, 36.0], shoonya_4sP9NGJD59C9QX, 5712970]
[paragraph, [421.0, 695.0, 299.0, 36.0], shoonya_4sP9NGJD59C9QX, 5712970]
[paragraph, [421.0, 731.0, 299.0, 36.0], shoonya_4sP9NGJD59C9QX, 5712970]
[paragraph, [421.0, 767.0, 299.0, 36.0], shoonya_4sP9NGJD59C9QX, 5712970]
[paragraph, [421.0, 803.0, 299.0, 36.0], shoonya_4sP9NGJD59C9QX, 5712970]
[paragraph, [421.0, 839.0, 299.0, 36.0], shoonya_4sP9NGJD59C9QX, 5712970]
[paragraph, [421.0, 875.0, 299.0, 36.0], shoonya_4sP9NGJD59C9QX, 5712970]
[paragraph, [421.0, 911.0, 299.0, 36.0], shoonya_4sP9NGJD59C9QX, 5712970]
[paragraph, [421.0, 947.0, 299.0, 36.0], shoonya_4sP9NGJD59C9QX, 5712970]
[paragraph, [421.0, 983.0, 299.0, 36.0], shoonya_4sP9NGJD59C9QX, 5712970]
[paragraph, [421.0, 1019.0, 299.0, 36.0], shoonya_4sP9NGJD59C9QX, 5712970]
[paragraph, [730.0, 753.0, 316.0, 36.0], shoonya_3sKUM76S8V5BPR, 5712970]
[paragraph, [730.0, 789.0, 316.0, 36.0], shoonya_3sKUM76S8V5BPR, 5712970]
[paragraph, [730.0, 825.0, 316.0, 36.0], shoonya_3sKUM76S8V5BPR, 5712970]
[paragraph, [730.0, 861.0, 316.0, 36.0], shoonya_3sKUM76S8V5BPR, 5712970]
[paragraph, [730.0, 897.0, 316.0, 36.0], shoonya_3sKUM76S8V5BPR, 5712970]
[paragraph, [730.0, 933.0, 316.0, 36.0], shoonya_3sKUM76S8V5BPR, 5712970]
[paragraph, [730.0, 969.0, 316.0, 36.0], shoonya_3sKUM76S8V5BPR, 5712970]
[paragraph, [730.0, 1005.0, 316.0, 36.0], shoonya_3sKUM76S8V5BPR, 5712970]
[paragraph, [730.0, 1041.0, 316.0, 36.0], shoonya_3sKUM76S8V5BPR, 5712970]
[paragraph, [730.0, 1077.0, 316.0, 36.0], shoonya_3sKUM76S8V5BPR, 5712970]
[paragraph, [730.0, 1113.0, 316.0, 36.0], shoonya_3sKUM76S8V5BPR, 5712970]
