[2806, 1984]
[paragraph, [419.0, 202.0, 1339.0, 46.5], shoonya_1sCRM41W46MIWG, 5698398]
[paragraph, [419.0, 248.5, 1339.0, 46.5], shoonya_1sCRM41W46MIWG, 5698398]
[paragraph, [419.0, 295.0, 1339.0, 46.5], shoonya_1sCRM41W46MIWG, 5698398]
[paragraph, [419.0, 341.5, 1339.0, 46.5], shoonya_1sCRM41W46MIWG, 5698398]
[paragraph, [419.0, 388.0, 1339.0, 46.5], shoonya_1sCRM41W46MIWG, 5698398]
[paragraph, [419.0, 434.5, 1339.0, 46.5], shoonya_1sCRM41W46MIWG, 5698398]
[paragraph, [419.0, 481.0, 1339.0, 46.5], shoonya_1sCRM41W46MIWG, 5698398]
[paragraph, [419.0, 527.5, 1339.0, 46.5], shoonya_1sCRM41W46MIWG, 5698398]
[paragraph, [419.0, 574.0, 1339.0, 46.5], shoonya_1sCRM41W46MIWG, 5698398]
[paragraph, [419.0, 620.5, 1339.0, 46.5], shoonya_1sCRM41W46MIWG, 5698398]
[paragraph, [419.0, 667.0, 1339.0, 46.5], shoonya_1sCRM41W46MIWG, 5698398]
[paragraph, [419.0, 713.5, 1339.0, 46.5], shoonya_1sCRM41W46MIWG, 5698398]
[ordered-list, [301.0, 775.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 821.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 868.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 914.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 961.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1007.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1054.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1100.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1147.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1193.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1240.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1286.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1333.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1379.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1426.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1472.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1519.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1565.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1612.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1658.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1705.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1751.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1798.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1844.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1891.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1937.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 1984.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 2030.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 2077.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 2123.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 2170.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 2216.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 2263.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 2309.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 2356.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 2402.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 2449.0, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
[ordered-list, [301.0, 2495.5, 1473.0, 46.5], shoonya_0sU8GS861UP7UL, 5698398]
