[1806, 1262]
[folio, [280.0, 100.0, 807.0, 36.0], shoonya_3sJ82SZ2N9MH51, 5680389]
[paragraph, [656.0, 179.0, 496.0, 36.0], shoonya_2sWJT9UAFPZ6C2, 5680389]
[paragraph, [656.0, 215.0, 496.0, 36.0], shoonya_2sWJT9UAFPZ6C2, 5680389]
[paragraph, [656.0, 251.0, 496.0, 36.0], shoonya_2sWJT9UAFPZ6C2, 5680389]
[paragraph, [656.0, 287.0, 496.0, 36.0], shoonya_2sWJT9UAFPZ6C2, 5680389]
[paragraph, [656.0, 323.0, 496.0, 36.0], shoonya_2sWJT9UAFPZ6C2, 5680389]
[paragraph, [656.0, 359.0, 496.0, 36.0], shoonya_2sWJT9UAFPZ6C2, 5680389]
[paragraph, [656.0, 395.0, 496.0, 36.0], shoonya_2sWJT9UAFPZ6C2, 5680389]
[paragraph, [656.0, 431.0, 496.0, 36.0], shoonya_2sWJT9UAFPZ6C2, 5680389]
[paragraph, [656.0, 467.0, 496.0, 36.0], shoonya_2sWJT9UAFPZ6C2, 5680389]
[paragraph, [656.0, 503.0, 496.0, 36.0], shoonya_2sWJT9UAFPZ6C2, 5680389]
[paragraph, [656.0, 539.0, 496.0, 36.0], shoonya_2sWJT9UAFPZ6C2, 5680389]
[paragraph, [656.0, 575.0, 496.0, 36.0], shoonya_2sWJT9UAFPZ6C2, 5680389]
[paragraph, [656.0, 611.0, 496.0, 36.0], shoonya_2sWJT9UAFPZ6C2, 5680389]
[paragraph, [656.0, 647.0, 496.0, 36.0], shoonya_2sWJT9UAFPZ6C2, 5680389]
[paragraph, [104.0, 180.0, 503.0, 36.0], shoonya_1sKJQFM0MVHN1V, 5680389]
[paragraph, [104.0, 216.0, 503.0, 36.0], shoonya_1sKJQFM0MVHN1V, 5680389]
[paragraph, [104.0, 252.0, 503.0, 36.0], shoonya_1sKJQFM0MVHN1V, 5680389]
[paragraph, [104.0, 288.0, 503.0, 36.0], shoonya_1sKJQFM0MVHN1V, 5680389]
[paragraph, [104.0, 324.0, 503.0, 36.0], shoonya_1sKJQFM0MVHN1V, 5680389]
[paragraph, [104.0, 360.0, 503.0, 36.0], shoonya_1sKJQFM0MVHN1V, 5680389]
[paragraph, [104.0, 396.0, 503.0, 36.0], shoonya_1sKJQFM0MVHN1V, 5680389]
[paragraph, [104.0, 432.0, 503.0, 36.0], shoonya_1sKJQFM0MVHN1V, 5680389]
[paragraph, [104.0, 468.0, 503.0, 36.0], shoonya_1sKJQFM0MVHN1V, 5680389]
[paragraph, [104.0, 504.0, 503.0, 36.0], shoonya_1sKJQFM0MVHN1V, 5680389]
[paragraph, [104.0, 540.0, 503.0, 36.0], shoonya_1sKJQFM0MVHN1V, 5680389]
[paragraph, [104.0, 576.0, 503.0, 36.0], shoonya_1sKJQFM0MVHN1V, 5680389]
[paragraph, [104.0, 612.0, 503.0, 36.0], shoonya_1sKJQFM0MVHN1V, 5680389]
[paragraph, [107.0, 655.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 691.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 727.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 763.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 799.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 835.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 871.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 907.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 943.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 979.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 1015.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 1051.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 1087.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 1123.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 1159.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 1195.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 1231.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 1267.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 1303.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 1339.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 1375.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 1411.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 1447.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 1483.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
[paragraph, [107.0, 1519.0, 501.0, 36.0], shoonya_0sDO8NGRQMF5FN, 5680389]
