[3300, 2550]
[paragraph, [253.0, 252.0, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 304.5, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 357.0, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 409.5, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 462.0, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 514.5, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 567.0, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 619.5, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 672.0, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 724.5, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 777.0, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 829.5, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 882.0, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 934.5, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 987.0, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 1039.5, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 1092.0, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 1144.5, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 1197.0, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 1249.5, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 1302.0, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 1354.5, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 1407.0, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 1459.5, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 1512.0, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 1564.5, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 1617.0, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 1669.5, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 1722.0, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 1774.5, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [253.0, 1827.0, 2034.0, 52.5], shoonya_1sOTTLYEJY6U4X, 5720701]
[paragraph, [271.0, 1919.0, 1313.0, 52.5], gydR_iaKlA, 5720701]
[paragraph, [271.0, 1971.5, 1313.0, 52.5], gydR_iaKlA, 5720701]
[paragraph, [281.0, 2062.0, 2016.0, 52.5], 8OweaudpXO, 5720701]
[paragraph, [281.0, 2114.5, 2016.0, 52.5], 8OweaudpXO, 5720701]
[paragraph, [281.0, 2167.0, 2016.0, 52.5], 8OweaudpXO, 5720701]
[paragraph, [281.0, 2219.5, 2016.0, 52.5], 8OweaudpXO, 5720701]
[paragraph, [281.0, 2272.0, 2016.0, 52.5], 8OweaudpXO, 5720701]
[paragraph, [281.0, 2324.5, 2016.0, 52.5], 8OweaudpXO, 5720701]
[paragraph, [281.0, 2377.0, 2016.0, 52.5], 8OweaudpXO, 5720701]
[paragraph, [281.0, 2429.5, 2016.0, 52.5], 8OweaudpXO, 5720701]
[paragraph, [281.0, 2482.0, 2016.0, 52.5], 8OweaudpXO, 5720701]
[paragraph, [281.0, 2534.5, 2016.0, 52.5], 8OweaudpXO, 5720701]
[paragraph, [281.0, 2587.0, 2016.0, 52.5], 8OweaudpXO, 5720701]
[paragraph, [281.0, 2639.5, 2016.0, 52.5], 8OweaudpXO, 5720701]
[paragraph, [281.0, 2692.0, 2016.0, 52.5], 8OweaudpXO, 5720701]
[paragraph, [281.0, 2744.5, 2016.0, 52.5], 8OweaudpXO, 5720701]
[paragraph, [281.0, 2797.0, 2016.0, 52.5], 8OweaudpXO, 5720701]
[paragraph, [281.0, 2849.5, 2016.0, 52.5], 8OweaudpXO, 5720701]
