[2000, 1414]
[headline, [279.0, 102.0, 874.0, 67.5], shoonya_2sPLNUDQXCPU7G, 6491778]
[headline, [279.0, 169.5, 874.0, 67.5], shoonya_2sPLNUDQXCPU7G, 6491778]
[headline, [279.0, 237.0, 874.0, 67.5], shoonya_2sPLNUDQXCPU7G, 6491778]
[headline, [279.0, 304.5, 874.0, 67.5], shoonya_2sPLNUDQXCPU7G, 6491778]
[headline, [279.0, 372.0, 874.0, 67.5], shoonya_2sPLNUDQXCPU7G, 6491778]
[quote, [929.0, 967.0, 287.0, 36.0], shoonya_1sNMHI2XMNBTRJ, 6491778]
[quote, [929.0, 1003.0, 287.0, 36.0], shoonya_1sNMHI2XMNBTRJ, 6491778]
[quote, [929.0, 1039.0, 287.0, 36.0], shoonya_1sNMHI2XMNBTRJ, 6491778]
[paragraph, [68.0, 1245.0, 1108.0, 36.0], ah8bSi5SZm, 6491778]
[paragraph, [68.0, 1281.0, 1108.0, 36.0], ah8bSi5SZm, 6491778]
[paragraph, [68.0, 1317.0, 1108.0, 36.0], ah8bSi5SZm, 6491778]
[paragraph, [68.0, 1353.0, 1108.0, 36.0], ah8bSi5SZm, 6491778]
[paragraph, [68.0, 1389.0, 1108.0, 36.0], ah8bSi5SZm, 6491778]
[paragraph, [68.0, 1425.0, 1108.0, 36.0], ah8bSi5SZm, 6491778]
[paragraph, [68.0, 1461.0, 1108.0, 36.0], ah8bSi5SZm, 6491778]
[paragraph, [68.0, 1497.0, 1108.0, 36.0], ah8bSi5SZm, 6491778]
[paragraph, [72.0, 1574.0, 1106.0, 36.0], u6kqEn-Ttn, 6491778]
[paragraph, [72.0, 1610.0, 1106.0, 36.0], u6kqEn-Ttn, 6491778]
[paragraph, [72.0, 1646.0, 1106.0, 36.0], u6kqEn-Ttn, 6491778]
[paragraph, [72.0, 1682.0, 1106.0, 36.0], u6kqEn-Ttn, 6491778]
[paragraph, [72.0, 1718.0, 1106.0, 36.0], u6kqEn-Ttn, 6491778]
[paragraph, [72.0, 1754.0, 1106.0, 36.0], u6kqEn-Ttn, 6491778]
[paragraph, [72.0, 1790.0, 1106.0, 36.0], u6kqEn-Ttn, 6491778]
[paragraph, [72.0, 1826.0, 1106.0, 36.0], u6kqEn-Ttn, 6491778]
