[1240, 1754]
[section-title, [111.0, 50.0, 396.0, 30.0], 8qs_tz-mSX, 5726277]
[section-title, [111.0, 80.0, 396.0, 30.0], 8qs_tz-mSX, 5726277]
[ordered-list, [613.0, 61.0, 494.0, 18.0], jsz3r42X3_, 5726277]
[ordered-list, [613.0, 79.0, 494.0, 18.0], jsz3r42X3_, 5726277]
[ordered-list, [613.0, 97.0, 494.0, 18.0], jsz3r42X3_, 5726277]
[ordered-list, [613.0, 115.0, 494.0, 18.0], jsz3r42X3_, 5726277]
[ordered-list, [613.0, 133.0, 494.0, 18.0], jsz3r42X3_, 5726277]
[ordered-list, [613.0, 151.0, 494.0, 18.0], jsz3r42X3_, 5726277]
[ordered-list, [613.0, 169.0, 494.0, 18.0], jsz3r42X3_, 5726277]
[ordered-list, [613.0, 187.0, 494.0, 18.0], jsz3r42X3_, 5726277]
[ordered-list, [613.0, 205.0, 494.0, 18.0], jsz3r42X3_, 5726277]
[ordered-list, [613.0, 223.0, 494.0, 18.0], jsz3r42X3_, 5726277]
[ordered-list, [613.0, 241.0, 494.0, 18.0], jsz3r42X3_, 5726277]
[ordered-list, [72.0, 151.0, 486.0, 18.0], UN8rAFTEHM, 5726277]
[ordered-list, [72.0, 169.0, 486.0, 18.0], UN8rAFTEHM, 5726277]
[ordered-list, [72.0, 187.0, 486.0, 18.0], UN8rAFTEHM, 5726277]
[ordered-list, [72.0, 205.0, 486.0, 18.0], UN8rAFTEHM, 5726277]
[ordered-list, [72.0, 223.0, 486.0, 18.0], UN8rAFTEHM, 5726277]
[ordered-list, [72.0, 241.0, 486.0, 18.0], UN8rAFTEHM, 5726277]
[ordered-list, [72.0, 259.0, 486.0, 18.0], UN8rAFTEHM, 5726277]
[ordered-list, [72.0, 277.0, 486.0, 18.0], UN8rAFTEHM, 5726277]
[ordered-list, [72.0, 295.0, 486.0, 18.0], UN8rAFTEHM, 5726277]
[ordered-list, [72.0, 313.0, 486.0, 18.0], UN8rAFTEHM, 5726277]
