[521, 340]
[chapter-title, [90.0, 173.0, 159.0, 30.0], shoonya_0sUYYLDCUUKDC3, 6533831]
[paragraph, [28.0, 208.0, 305.0, 18.0], 3s1wTZCzRc, 6533831]
[paragraph, [28.0, 226.0, 305.0, 18.0], 3s1wTZCzRc, 6533831]
[paragraph, [28.0, 244.0, 305.0, 18.0], 3s1wTZCzRc, 6533831]
[paragraph, [28.0, 262.0, 305.0, 18.0], 3s1wTZCzRc, 6533831]
[paragraph, [28.0, 280.0, 305.0, 18.0], 3s1wTZCzRc, 6533831]
[paragraph, [28.0, 298.0, 305.0, 18.0], 3s1wTZCzRc, 6533831]
[paragraph, [28.0, 316.0, 305.0, 18.0], 3s1wTZCzRc, 6533831]
[paragraph, [28.0, 334.0, 305.0, 18.0], 3s1wTZCzRc, 6533831]
[paragraph, [28.0, 352.0, 305.0, 18.0], 3s1wTZCzRc, 6533831]
[paragraph, [28.0, 370.0, 305.0, 18.0], 3s1wTZCzRc, 6533831]
[paragraph, [28.0, 388.0, 305.0, 18.0], 3s1wTZCzRc, 6533831]
