[915, 612]
[section-title, [218.0, 94.0, 105.0, 30.0], shoonya_0sBG0BSSE51OV2, 6459813]
[paragraph, [111.0, 142.0, 332.0, 18.0], KZBJs0KwzG, 6459813]
[paragraph, [111.0, 160.0, 332.0, 18.0], KZBJs0KwzG, 6459813]
[paragraph, [111.0, 178.0, 332.0, 18.0], KZBJs0KwzG, 6459813]
[paragraph, [111.0, 196.0, 332.0, 18.0], KZBJs0KwzG, 6459813]
[paragraph, [95.0, 219.0, 352.0, 18.0], Kelde27Gc2, 6459813]
[paragraph, [95.0, 237.0, 352.0, 18.0], Kelde27Gc2, 6459813]
[paragraph, [95.0, 255.0, 352.0, 18.0], Kelde27Gc2, 6459813]
[paragraph, [91.0, 271.0, 356.0, 18.0], Z0apvdGk3I, 6459813]
[paragraph, [91.0, 289.0, 356.0, 18.0], Z0apvdGk3I, 6459813]
[paragraph, [91.0, 307.0, 356.0, 18.0], Z0apvdGk3I, 6459813]
[paragraph, [92.0, 322.0, 352.0, 18.0], HFpq3btr4b, 6459813]
[paragraph, [92.0, 340.0, 352.0, 18.0], HFpq3btr4b, 6459813]
[paragraph, [92.0, 358.0, 352.0, 18.0], HFpq3btr4b, 6459813]
[paragraph, [89.0, 375.0, 362.0, 18.0], tRkZvoiZsM, 6459813]
[paragraph, [89.0, 393.0, 362.0, 18.0], tRkZvoiZsM, 6459813]
[paragraph, [89.0, 411.0, 362.0, 18.0], tRkZvoiZsM, 6459813]
[paragraph, [97.0, 430.0, 351.0, 18.0], ShQzHWXq2y, 6459813]
[paragraph, [97.0, 448.0, 351.0, 18.0], ShQzHWXq2y, 6459813]
[paragraph, [97.0, 466.0, 351.0, 18.0], ShQzHWXq2y, 6459813]
[paragraph, [92.0, 485.0, 355.0, 18.0], 1sFV5RhMvP, 6459813]
[paragraph, [92.0, 503.0, 355.0, 18.0], 1sFV5RhMvP, 6459813]
[paragraph, [88.0, 536.0, 304.0, 18.0], tw1Q1egT4N, 6459813]
[paragraph, [86.0, 565.0, 367.0, 18.0], iDdJlBco_W, 6459813]
[paragraph, [86.0, 583.0, 367.0, 18.0], iDdJlBco_W, 6459813]
[paragraph, [86.0, 601.0, 367.0, 18.0], iDdJlBco_W, 6459813]
[paragraph, [102.0, 618.0, 351.0, 18.0], Z_p_diga6s, 6459813]
[paragraph, [102.0, 636.0, 351.0, 18.0], Z_p_diga6s, 6459813]
[paragraph, [102.0, 654.0, 351.0, 18.0], Z_p_diga6s, 6459813]
[paragraph, [102.0, 672.0, 351.0, 18.0], Z_p_diga6s, 6459813]
[paragraph, [102.0, 690.0, 351.0, 18.0], Z_p_diga6s, 6459813]
[folio, [132.0, 725.0, 72.0, 18.0], pSLB1c29k1, 6459813]
