[1823, 1375]
[folio, [968.0, 101.0, 303.0, 36.0], ZWN0aFRls9, 5683777]
[folio, [609.0, 102.0, 136.0, 36.0], shoonya_5s47A6LX3JOHUO, 5683777]
[section-title, [547.0, 173.0, 304.0, 49.5], shoonya_6s3QCHJFHQ4WSC, 5683777]
[sub-section-title, [638.0, 242.0, 116.0, 36.0], 7z1BWKo9oW, 5683777]
[subsub-section-title, [550.0, 298.0, 312.0, 43.5], opRM2trgoK, 5683777]
[paragraph, [687.0, 361.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 397.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 433.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 469.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 505.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 541.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 577.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 613.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 649.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 685.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 721.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 757.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 793.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 829.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 865.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 901.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 937.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 973.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 1009.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 1045.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 1081.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 1117.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 1153.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 1189.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 1225.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 1261.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [687.0, 1297.0, 594.0, 36.0], shoonya_0s10V30OKJKXUJ, 5683777]
[paragraph, [99.0, 363.0, 582.0, 36.0], shoonya_1sJK6RP4A9RH0O, 5683777]
[paragraph, [99.0, 399.0, 582.0, 36.0], shoonya_1sJK6RP4A9RH0O, 5683777]
[paragraph, [99.0, 435.0, 582.0, 36.0], shoonya_1sJK6RP4A9RH0O, 5683777]
[paragraph, [99.0, 471.0, 582.0, 36.0], shoonya_1sJK6RP4A9RH0O, 5683777]
[paragraph, [99.0, 507.0, 582.0, 36.0], shoonya_1sJK6RP4A9RH0O, 5683777]
[paragraph, [99.0, 543.0, 582.0, 36.0], shoonya_1sJK6RP4A9RH0O, 5683777]
[paragraph, [99.0, 579.0, 582.0, 36.0], shoonya_1sJK6RP4A9RH0O, 5683777]
