[1030, 675]
[contact-info, [126.0, 98.0, 428.0, 18.0], GdOROzDxFm, 5776756]
[contact-info, [126.0, 116.0, 428.0, 18.0], GdOROzDxFm, 5776756]
[contact-info, [126.0, 134.0, 428.0, 18.0], GdOROzDxFm, 5776756]
[contact-info, [126.0, 152.0, 428.0, 18.0], GdOROzDxFm, 5776756]
[contact-info, [126.0, 170.0, 428.0, 18.0], GdOROzDxFm, 5776756]
[headline, [79.0, 251.0, 523.0, 25.5], JX_UoMk3Yh, 5776756]
[headline, [79.0, 276.5, 523.0, 25.5], JX_UoMk3Yh, 5776756]
[sub-headline, [79.0, 315.0, 521.0, 25.5], RyJeegU6f8, 5776756]
[sub-headline, [79.0, 340.5, 521.0, 25.5], RyJeegU6f8, 5776756]
[sub-headline, [79.0, 366.0, 521.0, 25.5], RyJeegU6f8, 5776756]
[paragraph, [118.0, 441.0, 441.0, 18.0], 9-U1lYw0Cn, 5776756]
[paragraph, [118.0, 459.0, 441.0, 18.0], 9-U1lYw0Cn, 5776756]
[paragraph, [91.0, 546.0, 493.0, 18.0], shoonya_0sMAYNBHRZ8YOE, 5776756]
[paragraph, [91.0, 564.0, 493.0, 18.0], shoonya_0sMAYNBHRZ8YOE, 5776756]
[paragraph, [91.0, 582.0, 493.0, 18.0], shoonya_0sMAYNBHRZ8YOE, 5776756]
[paragraph, [91.0, 600.0, 493.0, 18.0], shoonya_0sMAYNBHRZ8YOE, 5776756]
[folio, [188.0, 899.0, 301.0, 18.0], opXgbwt5Ok, 5776756]
[folio, [188.0, 917.0, 301.0, 18.0], opXgbwt5Ok, 5776756]
[folio, [188.0, 935.0, 301.0, 18.0], opXgbwt5Ok, 5776756]
