[1818, 1374]
[folio, [625.0, 109.0, 94.0, 36.0], shoonya_3s58BIXFO9RSLO, 5682420]
[paragraph, [680.0, 176.0, 576.0, 36.0], DeVjWa5eKd, 5682420]
[paragraph, [680.0, 212.0, 576.0, 36.0], DeVjWa5eKd, 5682420]
[paragraph, [680.0, 248.0, 576.0, 36.0], DeVjWa5eKd, 5682420]
[paragraph, [680.0, 284.0, 576.0, 36.0], DeVjWa5eKd, 5682420]
[paragraph, [680.0, 320.0, 576.0, 36.0], DeVjWa5eKd, 5682420]
[paragraph, [680.0, 356.0, 576.0, 36.0], DeVjWa5eKd, 5682420]
[paragraph, [680.0, 392.0, 576.0, 36.0], DeVjWa5eKd, 5682420]
[paragraph, [680.0, 428.0, 576.0, 36.0], DeVjWa5eKd, 5682420]
[paragraph, [680.0, 464.0, 576.0, 36.0], DeVjWa5eKd, 5682420]
[paragraph, [680.0, 500.0, 576.0, 36.0], DeVjWa5eKd, 5682420]
[paragraph, [680.0, 536.0, 576.0, 36.0], DeVjWa5eKd, 5682420]
[paragraph, [680.0, 572.0, 576.0, 36.0], DeVjWa5eKd, 5682420]
[paragraph, [680.0, 608.0, 576.0, 36.0], DeVjWa5eKd, 5682420]
[paragraph, [680.0, 644.0, 576.0, 36.0], DeVjWa5eKd, 5682420]
[paragraph, [108.0, 254.0, 554.0, 36.0], NMXDV92jIk, 5682420]
[paragraph, [108.0, 290.0, 554.0, 36.0], NMXDV92jIk, 5682420]
[paragraph, [108.0, 326.0, 554.0, 36.0], NMXDV92jIk, 5682420]
[paragraph, [108.0, 362.0, 554.0, 36.0], NMXDV92jIk, 5682420]
[paragraph, [108.0, 398.0, 554.0, 36.0], NMXDV92jIk, 5682420]
[paragraph, [108.0, 434.0, 554.0, 36.0], NMXDV92jIk, 5682420]
[paragraph, [108.0, 470.0, 554.0, 36.0], NMXDV92jIk, 5682420]
[paragraph, [108.0, 506.0, 554.0, 36.0], NMXDV92jIk, 5682420]
[paragraph, [108.0, 542.0, 554.0, 36.0], NMXDV92jIk, 5682420]
[paragraph, [109.0, 606.0, 554.0, 36.0], uJ-9TXWTwE, 5682420]
[paragraph, [109.0, 642.0, 554.0, 36.0], uJ-9TXWTwE, 5682420]
[paragraph, [687.0, 692.0, 573.0, 36.0], AjKARGR0h3, 5682420]
[paragraph, [687.0, 728.0, 573.0, 36.0], AjKARGR0h3, 5682420]
[paragraph, [687.0, 764.0, 573.0, 36.0], AjKARGR0h3, 5682420]
[paragraph, [111.0, 694.0, 553.0, 36.0], RF2-UIqPd5, 5682420]
[paragraph, [111.0, 730.0, 553.0, 36.0], RF2-UIqPd5, 5682420]
[paragraph, [109.0, 778.0, 556.0, 36.0], xqWSIfwgi5, 5682420]
[paragraph, [109.0, 814.0, 556.0, 36.0], xqWSIfwgi5, 5682420]
[paragraph, [109.0, 850.0, 556.0, 36.0], xqWSIfwgi5, 5682420]
[paragraph, [693.0, 821.0, 569.0, 36.0], uOhR0MmEsg, 5682420]
[paragraph, [693.0, 857.0, 569.0, 36.0], uOhR0MmEsg, 5682420]
[paragraph, [690.0, 903.0, 575.0, 36.0], shoonya_1sDZMDWJKGKUG3, 5682420]
[paragraph, [690.0, 939.0, 575.0, 36.0], shoonya_1sDZMDWJKGKUG3, 5682420]
[paragraph, [690.0, 975.0, 575.0, 36.0], shoonya_1sDZMDWJKGKUG3, 5682420]
[paragraph, [690.0, 1011.0, 575.0, 36.0], shoonya_1sDZMDWJKGKUG3, 5682420]
[paragraph, [690.0, 1047.0, 575.0, 36.0], shoonya_1sDZMDWJKGKUG3, 5682420]
[paragraph, [690.0, 1083.0, 575.0, 36.0], shoonya_1sDZMDWJKGKUG3, 5682420]
[paragraph, [690.0, 1119.0, 575.0, 36.0], shoonya_1sDZMDWJKGKUG3, 5682420]
[paragraph, [690.0, 1155.0, 575.0, 36.0], shoonya_1sDZMDWJKGKUG3, 5682420]
[paragraph, [690.0, 1191.0, 575.0, 36.0], shoonya_1sDZMDWJKGKUG3, 5682420]
[paragraph, [104.0, 906.0, 563.0, 36.0], YPvhZkIReK, 5682420]
[paragraph, [104.0, 942.0, 563.0, 36.0], YPvhZkIReK, 5682420]
[paragraph, [101.0, 991.0, 568.0, 36.0], SxVDmbjkIA, 5682420]
[paragraph, [101.0, 1027.0, 568.0, 36.0], SxVDmbjkIA, 5682420]
[paragraph, [101.0, 1063.0, 568.0, 36.0], SxVDmbjkIA, 5682420]
[paragraph, [101.0, 1099.0, 568.0, 36.0], SxVDmbjkIA, 5682420]
[paragraph, [101.0, 1135.0, 568.0, 36.0], SxVDmbjkIA, 5682420]
[paragraph, [101.0, 1171.0, 568.0, 36.0], SxVDmbjkIA, 5682420]
[paragraph, [101.0, 1207.0, 568.0, 36.0], SxVDmbjkIA, 5682420]
[paragraph, [101.0, 1243.0, 568.0, 36.0], SxVDmbjkIA, 5682420]
[paragraph, [692.0, 1245.0, 572.0, 36.0], IsG7gKkwES, 5682420]
[paragraph, [692.0, 1281.0, 572.0, 36.0], IsG7gKkwES, 5682420]
[paragraph, [692.0, 1317.0, 572.0, 36.0], IsG7gKkwES, 5682420]
[paragraph, [692.0, 1353.0, 572.0, 36.0], IsG7gKkwES, 5682420]
[paragraph, [101.0, 1288.0, 569.0, 36.0], d1KL7QwMkg, 5682420]
[paragraph, [101.0, 1324.0, 569.0, 36.0], d1KL7QwMkg, 5682420]
[paragraph, [101.0, 1360.0, 569.0, 36.0], d1KL7QwMkg, 5682420]
[paragraph, [101.0, 1396.0, 569.0, 36.0], d1KL7QwMkg, 5682420]
[paragraph, [101.0, 1432.0, 569.0, 36.0], d1KL7QwMkg, 5682420]
[paragraph, [728.0, 1414.0, 515.0, 36.0], v8_EXC744-, 5682420]
[paragraph, [695.0, 1458.0, 566.0, 36.0], 6CKW-Snz7P, 5682420]
[paragraph, [695.0, 1494.0, 566.0, 36.0], 6CKW-Snz7P, 5682420]
[paragraph, [695.0, 1530.0, 566.0, 36.0], 6CKW-Snz7P, 5682420]
[paragraph, [695.0, 1566.0, 566.0, 36.0], 6CKW-Snz7P, 5682420]
[paragraph, [695.0, 1602.0, 566.0, 36.0], 6CKW-Snz7P, 5682420]
[paragraph, [695.0, 1638.0, 566.0, 36.0], 6CKW-Snz7P, 5682420]
[paragraph, [695.0, 1674.0, 566.0, 36.0], 6CKW-Snz7P, 5682420]
[paragraph, [97.0, 1503.0, 571.0, 36.0], eCft0ltpdM, 5682420]
[paragraph, [97.0, 1539.0, 571.0, 36.0], eCft0ltpdM, 5682420]
[paragraph, [97.0, 1575.0, 571.0, 36.0], eCft0ltpdM, 5682420]
[paragraph, [97.0, 1611.0, 571.0, 36.0], eCft0ltpdM, 5682420]
[paragraph, [147.0, 1671.0, 522.0, 36.0], Iss_ycYA_J, 5682420]
