[1606, 1056]
[folio, [96.0, 100.0, 232.0, 36.0], shoonya_7s58K9996MF4FF, 5683593]
[folio, [440.0, 100.0, 173.0, 36.0], shoonya_2sMR4ZZ1GBJIFP, 5683593]
[paragraph, [95.0, 158.0, 857.0, 36.0], shoonya_4s4ATE3AWAHPSI, 5683593]
[paragraph, [95.0, 194.0, 857.0, 36.0], shoonya_4s4ATE3AWAHPSI, 5683593]
[paragraph, [95.0, 230.0, 857.0, 36.0], shoonya_4s4ATE3AWAHPSI, 5683593]
[paragraph, [95.0, 266.0, 857.0, 36.0], shoonya_4s4ATE3AWAHPSI, 5683593]
[paragraph, [96.0, 335.0, 855.0, 36.0], shoonya_6sYQCVH6CPLJ2T, 5683593]
[paragraph, [96.0, 371.0, 855.0, 36.0], shoonya_6sYQCVH6CPLJ2T, 5683593]
[paragraph, [96.0, 407.0, 855.0, 36.0], shoonya_6sYQCVH6CPLJ2T, 5683593]
[paragraph, [96.0, 443.0, 855.0, 36.0], shoonya_6sYQCVH6CPLJ2T, 5683593]
[paragraph, [96.0, 479.0, 855.0, 36.0], shoonya_6sYQCVH6CPLJ2T, 5683593]
[paragraph, [96.0, 515.0, 855.0, 36.0], shoonya_6sYQCVH6CPLJ2T, 5683593]
[paragraph, [96.0, 551.0, 855.0, 36.0], shoonya_6sYQCVH6CPLJ2T, 5683593]
[paragraph, [96.0, 587.0, 855.0, 36.0], shoonya_6sYQCVH6CPLJ2T, 5683593]
[paragraph, [96.0, 623.0, 855.0, 36.0], shoonya_6sYQCVH6CPLJ2T, 5683593]
[paragraph, [96.0, 659.0, 855.0, 36.0], shoonya_6sYQCVH6CPLJ2T, 5683593]
[paragraph, [96.0, 695.0, 855.0, 36.0], shoonya_6sYQCVH6CPLJ2T, 5683593]
[paragraph, [96.0, 731.0, 855.0, 36.0], shoonya_6sYQCVH6CPLJ2T, 5683593]
[paragraph, [96.0, 767.0, 855.0, 36.0], shoonya_6sYQCVH6CPLJ2T, 5683593]
[paragraph, [96.0, 803.0, 855.0, 36.0], shoonya_6sYQCVH6CPLJ2T, 5683593]
[paragraph, [102.0, 872.0, 853.0, 36.0], shoonya_3sJV8DQ7KVTRAN, 5683593]
[paragraph, [102.0, 908.0, 853.0, 36.0], shoonya_3sJV8DQ7KVTRAN, 5683593]
[paragraph, [102.0, 944.0, 853.0, 36.0], shoonya_3sJV8DQ7KVTRAN, 5683593]
[paragraph, [102.0, 980.0, 853.0, 36.0], shoonya_3sJV8DQ7KVTRAN, 5683593]
[paragraph, [102.0, 1016.0, 853.0, 36.0], shoonya_3sJV8DQ7KVTRAN, 5683593]
[paragraph, [102.0, 1052.0, 853.0, 36.0], shoonya_3sJV8DQ7KVTRAN, 5683593]
[paragraph, [102.0, 1088.0, 853.0, 36.0], shoonya_3sJV8DQ7KVTRAN, 5683593]
[paragraph, [102.0, 1124.0, 853.0, 36.0], shoonya_3sJV8DQ7KVTRAN, 5683593]
[paragraph, [102.0, 1160.0, 853.0, 36.0], shoonya_3sJV8DQ7KVTRAN, 5683593]
[paragraph, [102.0, 1196.0, 853.0, 36.0], shoonya_3sJV8DQ7KVTRAN, 5683593]
[paragraph, [102.0, 1232.0, 853.0, 36.0], shoonya_3sJV8DQ7KVTRAN, 5683593]
[paragraph, [102.0, 1268.0, 853.0, 36.0], shoonya_3sJV8DQ7KVTRAN, 5683593]
[paragraph, [103.0, 1325.0, 850.0, 36.0], shoonya_1s4RUHWQCHD97T, 5683593]
[paragraph, [103.0, 1361.0, 850.0, 36.0], shoonya_1s4RUHWQCHD97T, 5683593]
[paragraph, [103.0, 1397.0, 850.0, 36.0], shoonya_1s4RUHWQCHD97T, 5683593]
[paragraph, [103.0, 1433.0, 850.0, 36.0], shoonya_1s4RUHWQCHD97T, 5683593]
[paragraph, [103.0, 1469.0, 850.0, 36.0], shoonya_1s4RUHWQCHD97T, 5683593]
