[1518, 1075]
[figure-caption, [540.0, 110.0, 85.0, 36.0], ilAuNubiI8, 5722070]
[ordered-list, [111.0, 165.0, 312.0, 36.0], I5MKTMPeyI, 5722070]
[ordered-list, [111.0, 201.0, 312.0, 36.0], I5MKTMPeyI, 5722070]
[ordered-list, [111.0, 237.0, 312.0, 36.0], I5MKTMPeyI, 5722070]
[ordered-list, [111.0, 273.0, 312.0, 36.0], I5MKTMPeyI, 5722070]
[ordered-list, [554.0, 169.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 205.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 241.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 277.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 313.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 349.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 385.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 421.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 457.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 493.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 529.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 565.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 601.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 637.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 673.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 709.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 745.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 781.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 817.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 853.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 889.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 925.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 961.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 997.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 1033.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [554.0, 1069.0, 350.0, 36.0], shoonya_1sZALLE9746KFQ, 5722070]
[ordered-list, [112.0, 352.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 388.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 424.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 460.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 496.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 532.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 568.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 604.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 640.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 676.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 712.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 748.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 784.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 820.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 856.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 892.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 928.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 964.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 1000.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 1036.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 1072.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 1108.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 1144.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 1180.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 1216.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 1252.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [112.0, 1288.0, 399.0, 36.0], shoonya_2sRYG775BXVYGT, 5722070]
[ordered-list, [557.0, 1164.0, 285.0, 36.0], llPlIqz7sp, 5722070]
[ordered-list, [557.0, 1200.0, 285.0, 36.0], llPlIqz7sp, 5722070]
[ordered-list, [557.0, 1236.0, 285.0, 36.0], llPlIqz7sp, 5722070]
[ordered-list, [557.0, 1272.0, 285.0, 36.0], llPlIqz7sp, 5722070]
[folio, [184.0, 1386.0, 426.0, 36.0], sIT5UrbFWR, 5722070]
